" ""local_time"": ""America/New_York""",electricity
1/1/2019 0:00,0
1/1/2019 1:00,0
1/1/2019 2:00,0
1/1/2019 3:00,0
1/1/2019 4:00,0
1/1/2019 5:00,0
1/1/2019 6:00,0
1/1/2019 7:00,0
1/1/2019 8:00,0
1/1/2019 9:00,0
1/1/2019 10:00,0
1/1/2019 11:00,0
1/1/2019 12:00,0
1/1/2019 13:00,0
1/1/2019 14:00,0.095
1/1/2019 15:00,0.262
1/1/2019 16:00,0.421
1/1/2019 17:00,0.474
1/1/2019 18:00,0.469
1/1/2019 19:00,0.559
1/1/2019 20:00,0.501
1/1/2019 21:00,0.23
1/1/2019 22:00,0.053
1/1/2019 23:00,0
1/2/2019 0:00,0
1/2/2019 1:00,0
1/2/2019 2:00,0
1/2/2019 3:00,0
1/2/2019 4:00,0
1/2/2019 5:00,0
1/2/2019 6:00,0
1/2/2019 7:00,0
1/2/2019 8:00,0
1/2/2019 9:00,0
1/2/2019 10:00,0
1/2/2019 11:00,0
1/2/2019 12:00,0
1/2/2019 13:00,0
1/2/2019 14:00,0.005
1/2/2019 15:00,0.028
1/2/2019 16:00,0.049
1/2/2019 17:00,0.063
1/2/2019 18:00,0.075
1/2/2019 19:00,0.097
1/2/2019 20:00,0.16
1/2/2019 21:00,0.08
1/2/2019 22:00,0.031
1/2/2019 23:00,0
1/3/2019 0:00,0
1/3/2019 1:00,0
1/3/2019 2:00,0
1/3/2019 3:00,0
1/3/2019 4:00,0
1/3/2019 5:00,0
1/3/2019 6:00,0
1/3/2019 7:00,0
1/3/2019 8:00,0
1/3/2019 9:00,0
1/3/2019 10:00,0
1/3/2019 11:00,0
1/3/2019 12:00,0
1/3/2019 13:00,0
1/3/2019 14:00,0.018
1/3/2019 15:00,0.15
1/3/2019 16:00,0.523
1/3/2019 17:00,0.783
1/3/2019 18:00,0.818
1/3/2019 19:00,0.788
1/3/2019 20:00,0.698
1/3/2019 21:00,0.541
1/3/2019 22:00,0.304
1/3/2019 23:00,0.023
1/4/2019 0:00,0
1/4/2019 1:00,0
1/4/2019 2:00,0
1/4/2019 3:00,0
1/4/2019 4:00,0
1/4/2019 5:00,0
1/4/2019 6:00,0
1/4/2019 7:00,0
1/4/2019 8:00,0
1/4/2019 9:00,0
1/4/2019 10:00,0
1/4/2019 11:00,0
1/4/2019 12:00,0
1/4/2019 13:00,0.024
1/4/2019 14:00,0.351
1/4/2019 15:00,0.572
1/4/2019 16:00,0.709
1/4/2019 17:00,0.781
1/4/2019 18:00,0.8
1/4/2019 19:00,0.768
1/4/2019 20:00,0.682
1/4/2019 21:00,0.533
1/4/2019 22:00,0.311
1/4/2019 23:00,0.028
1/5/2019 0:00,0
1/5/2019 1:00,0
1/5/2019 2:00,0
1/5/2019 3:00,0
1/5/2019 4:00,0
1/5/2019 5:00,0
1/5/2019 6:00,0
1/5/2019 7:00,0
1/5/2019 8:00,0
1/5/2019 9:00,0
1/5/2019 10:00,0
1/5/2019 11:00,0
1/5/2019 12:00,0
1/5/2019 13:00,0.027
1/5/2019 14:00,0.363
1/5/2019 15:00,0.581
1/5/2019 16:00,0.719
1/5/2019 17:00,0.788
1/5/2019 18:00,0.802
1/5/2019 19:00,0.768
1/5/2019 20:00,0.683
1/5/2019 21:00,0.536
1/5/2019 22:00,0.314
1/5/2019 23:00,0.026
1/6/2019 0:00,0
1/6/2019 1:00,0
1/6/2019 2:00,0
1/6/2019 3:00,0
1/6/2019 4:00,0
1/6/2019 5:00,0
1/6/2019 6:00,0
1/6/2019 7:00,0
1/6/2019 8:00,0
1/6/2019 9:00,0
1/6/2019 10:00,0
1/6/2019 11:00,0
1/6/2019 12:00,0
1/6/2019 13:00,0
1/6/2019 14:00,0.079
1/6/2019 15:00,0.267
1/6/2019 16:00,0.398
1/6/2019 17:00,0.42
1/6/2019 18:00,0.486
1/6/2019 19:00,0.492
1/6/2019 20:00,0.286
1/6/2019 21:00,0.152
1/6/2019 22:00,0.107
1/6/2019 23:00,0.005
1/7/2019 0:00,0
1/7/2019 1:00,0
1/7/2019 2:00,0
1/7/2019 3:00,0
1/7/2019 4:00,0
1/7/2019 5:00,0
1/7/2019 6:00,0
1/7/2019 7:00,0
1/7/2019 8:00,0
1/7/2019 9:00,0
1/7/2019 10:00,0
1/7/2019 11:00,0
1/7/2019 12:00,0
1/7/2019 13:00,0
1/7/2019 14:00,0.098
1/7/2019 15:00,0.307
1/7/2019 16:00,0.499
1/7/2019 17:00,0.569
1/7/2019 18:00,0.604
1/7/2019 19:00,0.541
1/7/2019 20:00,0.457
1/7/2019 21:00,0.321
1/7/2019 22:00,0.132
1/7/2019 23:00,0
1/8/2019 0:00,0
1/8/2019 1:00,0
1/8/2019 2:00,0
1/8/2019 3:00,0
1/8/2019 4:00,0
