" ""local_time"": ""America/New_York""",electricity
1/1/2019 0:00,0
1/1/2019 1:00,0
1/1/2019 2:00,0
1/1/2019 3:00,0
1/1/2019 4:00,0
1/1/2019 5:00,0
1/1/2019 6:00,0
1/1/2019 7:00,0
1/1/2019 8:00,0
1/1/2019 9:00,0
1/1/2019 10:00,0
1/1/2019 11:00,0
1/1/2019 12:00,0
1/1/2019 13:00,0.006
1/1/2019 14:00,0.188
1/1/2019 15:00,0.511
1/1/2019 16:00,0.546
1/1/2019 17:00,0.644
1/1/2019 18:00,0.581
1/1/2019 19:00,0.497
1/1/2019 20:00,0.34
1/1/2019 21:00,0.216
1/1/2019 22:00,0.08
1/1/2019 23:00,0.003
1/2/2019 0:00,0
1/2/2019 1:00,0
1/2/2019 2:00,0
1/2/2019 3:00,0
1/2/2019 4:00,0
1/2/2019 5:00,0
1/2/2019 6:00,0
1/2/2019 7:00,0
1/2/2019 8:00,0
1/2/2019 9:00,0
1/2/2019 10:00,0
1/2/2019 11:00,0
1/2/2019 12:00,0
1/2/2019 13:00,0
1/2/2019 14:00,0.024
1/2/2019 15:00,0.06
1/2/2019 16:00,0.07
1/2/2019 17:00,0.075
1/2/2019 18:00,0.083
1/2/2019 19:00,0.096
1/2/2019 20:00,0.071
1/2/2019 21:00,0.04
1/2/2019 22:00,0.021
1/2/2019 23:00,0
1/3/2019 0:00,0
1/3/2019 1:00,0
1/3/2019 2:00,0
1/3/2019 3:00,0
1/3/2019 4:00,0
1/3/2019 5:00,0
1/3/2019 6:00,0
1/3/2019 7:00,0
1/3/2019 8:00,0
1/3/2019 9:00,0
1/3/2019 10:00,0
1/3/2019 11:00,0
1/3/2019 12:00,0
1/3/2019 13:00,0
1/3/2019 14:00,0.031
1/3/2019 15:00,0.136
1/3/2019 16:00,0.512
1/3/2019 17:00,0.762
1/3/2019 18:00,0.802
1/3/2019 19:00,0.78
1/3/2019 20:00,0.699
1/3/2019 21:00,0.551
1/3/2019 22:00,0.329
1/3/2019 23:00,0.048
1/4/2019 0:00,0
1/4/2019 1:00,0
1/4/2019 2:00,0
1/4/2019 3:00,0
1/4/2019 4:00,0
1/4/2019 5:00,0
1/4/2019 6:00,0
1/4/2019 7:00,0
1/4/2019 8:00,0
1/4/2019 9:00,0
1/4/2019 10:00,0
1/4/2019 11:00,0
1/4/2019 12:00,0
1/4/2019 13:00,0.054
1/4/2019 14:00,0.393
1/4/2019 15:00,0.608
1/4/2019 16:00,0.741
1/4/2019 17:00,0.811
1/4/2019 18:00,0.824
1/4/2019 19:00,0.79
1/4/2019 20:00,0.704
1/4/2019 21:00,0.56
1/4/2019 22:00,0.344
1/4/2019 23:00,0.056
1/5/2019 0:00,0
1/5/2019 1:00,0
1/5/2019 2:00,0
1/5/2019 3:00,0
1/5/2019 4:00,0
1/5/2019 5:00,0
1/5/2019 6:00,0
1/5/2019 7:00,0
1/5/2019 8:00,0
1/5/2019 9:00,0
1/5/2019 10:00,0
1/5/2019 11:00,0
1/5/2019 12:00,0
1/5/2019 13:00,0.052
1/5/2019 14:00,0.378
1/5/2019 15:00,0.59
1/5/2019 16:00,0.723
1/5/2019 17:00,0.791
1/5/2019 18:00,0.806
1/5/2019 19:00,0.772
1/5/2019 20:00,0.688
1/5/2019 21:00,0.544
1/5/2019 22:00,0.33
1/5/2019 23:00,0.051
1/6/2019 0:00,0
1/6/2019 1:00,0
1/6/2019 2:00,0
1/6/2019 3:00,0
1/6/2019 4:00,0
1/6/2019 5:00,0
1/6/2019 6:00,0
1/6/2019 7:00,0
1/6/2019 8:00,0
1/6/2019 9:00,0
1/6/2019 10:00,0
1/6/2019 11:00,0
1/6/2019 12:00,0
1/6/2019 13:00,0.015
1/6/2019 14:00,0.129
1/6/2019 15:00,0.247
1/6/2019 16:00,0.391
1/6/2019 17:00,0.539
1/6/2019 18:00,0.663
1/6/2019 19:00,0.662
1/6/2019 20:00,0.491
1/6/2019 21:00,0.224
1/6/2019 22:00,0.096
1/6/2019 23:00,0.02
1/7/2019 0:00,0
1/7/2019 1:00,0
1/7/2019 2:00,0
1/7/2019 3:00,0
1/7/2019 4:00,0
1/7/2019 5:00,0
1/7/2019 6:00,0
1/7/2019 7:00,0
1/7/2019 8:00,0
1/7/2019 9:00,0
1/7/2019 10:00,0
1/7/2019 11:00,0
1/7/2019 12:00,0
1/7/2019 13:00,0.006
1/7/2019 14:00,0.099
1/7/2019 15:00,0.221
1/7/2019 16:00,0.25
1/7/2019 17:00,0.251
1/7/2019 18:00,0.251
1/7/2019 19:00,0.257
1/7/2019 20:00,0.202
1/7/2019 21:00,0.14
1/7/2019 22:00,0.075
1/7/2019 23:00,0.01
1/8/2019 0:00,0
1/8/2019 1:00,0
1/8/2019 2:00,0
1/8/2019 3:00,0
