" ""local_time"": ""America/New_York""",electricity
1/1/2019 0:00,0
1/1/2019 1:00,0
1/1/2019 2:00,0
1/1/2019 3:00,0
1/1/2019 4:00,0
1/1/2019 5:00,0
1/1/2019 6:00,0
1/1/2019 7:00,0
1/1/2019 8:00,0
1/1/2019 9:00,0
1/1/2019 10:00,0
1/1/2019 11:00,0
1/1/2019 12:00,0
1/1/2019 13:00,0.012
1/1/2019 14:00,0.193
1/1/2019 15:00,0.409
1/1/2019 16:00,0.693
1/1/2019 17:00,0.778
1/1/2019 18:00,0.786
1/1/2019 19:00,0.74
1/1/2019 20:00,0.566
1/1/2019 21:00,0.223
1/1/2019 22:00,0.049
1/1/2019 23:00,0
1/2/2019 0:00,0
1/2/2019 1:00,0
1/2/2019 2:00,0
1/2/2019 3:00,0
1/2/2019 4:00,0
1/2/2019 5:00,0
1/2/2019 6:00,0
1/2/2019 7:00,0
1/2/2019 8:00,0
1/2/2019 9:00,0
1/2/2019 10:00,0
1/2/2019 11:00,0
1/2/2019 12:00,0
1/2/2019 13:00,0
1/2/2019 14:00,0.016
1/2/2019 15:00,0.047
1/2/2019 16:00,0.079
1/2/2019 17:00,0.103
1/2/2019 18:00,0.112
1/2/2019 19:00,0.097
1/2/2019 20:00,0.095
1/2/2019 21:00,0.046
1/2/2019 22:00,0.013
1/2/2019 23:00,0
1/3/2019 0:00,0
1/3/2019 1:00,0
1/3/2019 2:00,0
1/3/2019 3:00,0
1/3/2019 4:00,0
1/3/2019 5:00,0
1/3/2019 6:00,0
1/3/2019 7:00,0
1/3/2019 8:00,0
1/3/2019 9:00,0
1/3/2019 10:00,0
1/3/2019 11:00,0
1/3/2019 12:00,0
1/3/2019 13:00,0
1/3/2019 14:00,0.029
1/3/2019 15:00,0.085
1/3/2019 16:00,0.139
1/3/2019 17:00,0.187
1/3/2019 18:00,0.24
1/3/2019 19:00,0.184
1/3/2019 20:00,0.121
1/3/2019 21:00,0.084
1/3/2019 22:00,0.037
1/3/2019 23:00,0
1/4/2019 0:00,0
1/4/2019 1:00,0
1/4/2019 2:00,0
1/4/2019 3:00,0
1/4/2019 4:00,0
1/4/2019 5:00,0
1/4/2019 6:00,0
1/4/2019 7:00,0
1/4/2019 8:00,0
1/4/2019 9:00,0
1/4/2019 10:00,0
1/4/2019 11:00,0
1/4/2019 12:00,0
1/4/2019 13:00,0.01
1/4/2019 14:00,0.304
1/4/2019 15:00,0.54
1/4/2019 16:00,0.687
1/4/2019 17:00,0.767
1/4/2019 18:00,0.787
1/4/2019 19:00,0.75
1/4/2019 20:00,0.655
1/4/2019 21:00,0.491
1/4/2019 22:00,0.254
1/4/2019 23:00,0.007
1/5/2019 0:00,0
1/5/2019 1:00,0
1/5/2019 2:00,0
1/5/2019 3:00,0
1/5/2019 4:00,0
1/5/2019 5:00,0
1/5/2019 6:00,0
1/5/2019 7:00,0
1/5/2019 8:00,0
1/5/2019 9:00,0
1/5/2019 10:00,0
1/5/2019 11:00,0
1/5/2019 12:00,0
1/5/2019 13:00,0.022
1/5/2019 14:00,0.333
1/5/2019 15:00,0.558
1/5/2019 16:00,0.7
1/5/2019 17:00,0.771
1/5/2019 18:00,0.785
1/5/2019 19:00,0.747
1/5/2019 20:00,0.654
1/5/2019 21:00,0.494
1/5/2019 22:00,0.257
1/5/2019 23:00,0.008
1/6/2019 0:00,0
1/6/2019 1:00,0
1/6/2019 2:00,0
1/6/2019 3:00,0
1/6/2019 4:00,0
1/6/2019 5:00,0
1/6/2019 6:00,0
1/6/2019 7:00,0
1/6/2019 8:00,0
1/6/2019 9:00,0
1/6/2019 10:00,0
1/6/2019 11:00,0
1/6/2019 12:00,0
1/6/2019 13:00,0.012
1/6/2019 14:00,0.208
1/6/2019 15:00,0.439
1/6/2019 16:00,0.598
1/6/2019 17:00,0.606
1/6/2019 18:00,0.406
1/6/2019 19:00,0.29
1/6/2019 20:00,0.18
1/6/2019 21:00,0.082
1/6/2019 22:00,0.039
1/6/2019 23:00,0.002
1/7/2019 0:00,0
1/7/2019 1:00,0
1/7/2019 2:00,0
1/7/2019 3:00,0
1/7/2019 4:00,0
1/7/2019 5:00,0
1/7/2019 6:00,0
1/7/2019 7:00,0
1/7/2019 8:00,0
1/7/2019 9:00,0
1/7/2019 10:00,0
1/7/2019 11:00,0
1/7/2019 12:00,0
1/7/2019 13:00,0.004
1/7/2019 14:00,0.173
1/7/2019 15:00,0.434
1/7/2019 16:00,0.543
1/7/2019 17:00,0.532
1/7/2019 18:00,0.436
1/7/2019 19:00,0.298
1/7/2019 20:00,0.156
1/7/2019 21:00,0.122
1/7/2019 22:00,0.084
1/7/2019 23:00,0.003
1/8/2019 0:00,0
1/8/2019 1:00,0
1/8/2019 2:00,0
1/8/2019 3:00,0
1/8/2019 4:00,0
