" ""local_time"": ""America/New_York""",electricity
1/1/2019 0:00,0
1/1/2019 1:00,0
1/1/2019 2:00,0
1/1/2019 3:00,0
1/1/2019 4:00,0
1/1/2019 5:00,0
1/1/2019 6:00,0
1/1/2019 7:00,0
1/1/2019 8:00,0
1/1/2019 9:00,0
1/1/2019 10:00,0
1/1/2019 11:00,0
1/1/2019 12:00,0
1/1/2019 13:00,0.003
1/1/2019 14:00,0.199
1/1/2019 15:00,0.424
1/1/2019 16:00,0.699
1/1/2019 17:00,0.787
1/1/2019 18:00,0.805
1/1/2019 19:00,0.766
1/1/2019 20:00,0.603
1/1/2019 21:00,0.27
1/1/2019 22:00,0.055
1/1/2019 23:00,0
1/2/2019 0:00,0
1/2/2019 1:00,0
1/2/2019 2:00,0
1/2/2019 3:00,0
1/2/2019 4:00,0
1/2/2019 5:00,0
1/2/2019 6:00,0
1/2/2019 7:00,0
1/2/2019 8:00,0
1/2/2019 9:00,0
1/2/2019 10:00,0
1/2/2019 11:00,0
1/2/2019 12:00,0
1/2/2019 13:00,0
1/2/2019 14:00,0.008
1/2/2019 15:00,0.041
1/2/2019 16:00,0.076
1/2/2019 17:00,0.099
1/2/2019 18:00,0.107
1/2/2019 19:00,0.097
1/2/2019 20:00,0.107
1/2/2019 21:00,0.044
1/2/2019 22:00,0.006
1/2/2019 23:00,0
1/3/2019 0:00,0
1/3/2019 1:00,0
1/3/2019 2:00,0
1/3/2019 3:00,0
1/3/2019 4:00,0
1/3/2019 5:00,0
1/3/2019 6:00,0
1/3/2019 7:00,0
1/3/2019 8:00,0
1/3/2019 9:00,0
1/3/2019 10:00,0
1/3/2019 11:00,0
1/3/2019 12:00,0
1/3/2019 13:00,0
1/3/2019 14:00,0.024
1/3/2019 15:00,0.084
1/3/2019 16:00,0.174
1/3/2019 17:00,0.287
1/3/2019 18:00,0.327
1/3/2019 19:00,0.264
1/3/2019 20:00,0.189
1/3/2019 21:00,0.129
1/3/2019 22:00,0.054
1/3/2019 23:00,0
1/4/2019 0:00,0
1/4/2019 1:00,0
1/4/2019 2:00,0
1/4/2019 3:00,0
1/4/2019 4:00,0
1/4/2019 5:00,0
1/4/2019 6:00,0
1/4/2019 7:00,0
1/4/2019 8:00,0
1/4/2019 9:00,0
1/4/2019 10:00,0
1/4/2019 11:00,0
1/4/2019 12:00,0
1/4/2019 13:00,0.003
1/4/2019 14:00,0.303
1/4/2019 15:00,0.543
1/4/2019 16:00,0.695
1/4/2019 17:00,0.775
1/4/2019 18:00,0.795
1/4/2019 19:00,0.759
1/4/2019 20:00,0.668
1/4/2019 21:00,0.509
1/4/2019 22:00,0.274
1/4/2019 23:00,0.007
1/5/2019 0:00,0
1/5/2019 1:00,0
1/5/2019 2:00,0
1/5/2019 3:00,0
1/5/2019 4:00,0
1/5/2019 5:00,0
1/5/2019 6:00,0
1/5/2019 7:00,0
1/5/2019 8:00,0
1/5/2019 9:00,0
1/5/2019 10:00,0
1/5/2019 11:00,0
1/5/2019 12:00,0
1/5/2019 13:00,0.012
1/5/2019 14:00,0.332
1/5/2019 15:00,0.561
1/5/2019 16:00,0.705
1/5/2019 17:00,0.778
1/5/2019 18:00,0.79
1/5/2019 19:00,0.754
1/5/2019 20:00,0.662
1/5/2019 21:00,0.504
1/5/2019 22:00,0.27
1/5/2019 23:00,0.007
1/6/2019 0:00,0
1/6/2019 1:00,0
1/6/2019 2:00,0
1/6/2019 3:00,0
1/6/2019 4:00,0
1/6/2019 5:00,0
1/6/2019 6:00,0
1/6/2019 7:00,0
1/6/2019 8:00,0
1/6/2019 9:00,0
1/6/2019 10:00,0
1/6/2019 11:00,0
1/6/2019 12:00,0
1/6/2019 13:00,0.003
1/6/2019 14:00,0.228
1/6/2019 15:00,0.446
1/6/2019 16:00,0.531
1/6/2019 17:00,0.373
1/6/2019 18:00,0.286
1/6/2019 19:00,0.218
1/6/2019 20:00,0.142
1/6/2019 21:00,0.085
1/6/2019 22:00,0.114
1/6/2019 23:00,0
1/7/2019 0:00,0
1/7/2019 1:00,0
1/7/2019 2:00,0
1/7/2019 3:00,0
1/7/2019 4:00,0
1/7/2019 5:00,0
1/7/2019 6:00,0
1/7/2019 7:00,0
1/7/2019 8:00,0
1/7/2019 9:00,0
1/7/2019 10:00,0
1/7/2019 11:00,0
1/7/2019 12:00,0
1/7/2019 13:00,0
1/7/2019 14:00,0.147
1/7/2019 15:00,0.307
1/7/2019 16:00,0.453
1/7/2019 17:00,0.416
1/7/2019 18:00,0.334
1/7/2019 19:00,0.229
1/7/2019 20:00,0.169
1/7/2019 21:00,0.179
1/7/2019 22:00,0.113
1/7/2019 23:00,0
1/8/2019 0:00,0
1/8/2019 1:00,0
1/8/2019 2:00,0
1/8/2019 3:00,0
1/8/2019 4:00,0
