" ""local_time"": ""America/New_York""",electricity
1/1/2019 0:00,0
1/1/2019 1:00,0
1/1/2019 2:00,0
1/1/2019 3:00,0
1/1/2019 4:00,0
1/1/2019 5:00,0
1/1/2019 6:00,0
1/1/2019 7:00,0
1/1/2019 8:00,0
1/1/2019 9:00,0
1/1/2019 10:00,0
1/1/2019 11:00,0
1/1/2019 12:00,0
1/1/2019 13:00,0.011
1/1/2019 14:00,0.104
1/1/2019 15:00,0.403
1/1/2019 16:00,0.618
1/1/2019 17:00,0.668
1/1/2019 18:00,0.601
1/1/2019 19:00,0.438
1/1/2019 20:00,0.305
1/1/2019 21:00,0.165
1/1/2019 22:00,0.047
1/1/2019 23:00,0
1/2/2019 0:00,0
1/2/2019 1:00,0
1/2/2019 2:00,0
1/2/2019 3:00,0
1/2/2019 4:00,0
1/2/2019 5:00,0
1/2/2019 6:00,0
1/2/2019 7:00,0
1/2/2019 8:00,0
1/2/2019 9:00,0
1/2/2019 10:00,0
1/2/2019 11:00,0
1/2/2019 12:00,0
1/2/2019 13:00,0.001
1/2/2019 14:00,0.028
1/2/2019 15:00,0.071
1/2/2019 16:00,0.087
1/2/2019 17:00,0.1
1/2/2019 18:00,0.089
1/2/2019 19:00,0.057
1/2/2019 20:00,0.044
1/2/2019 21:00,0.033
1/2/2019 22:00,0.013
1/2/2019 23:00,0
1/3/2019 0:00,0
1/3/2019 1:00,0
1/3/2019 2:00,0
1/3/2019 3:00,0
1/3/2019 4:00,0
1/3/2019 5:00,0
1/3/2019 6:00,0
1/3/2019 7:00,0
1/3/2019 8:00,0
1/3/2019 9:00,0
1/3/2019 10:00,0
1/3/2019 11:00,0
1/3/2019 12:00,0
1/3/2019 13:00,0
1/3/2019 14:00,0.021
1/3/2019 15:00,0.057
1/3/2019 16:00,0.088
1/3/2019 17:00,0.164
1/3/2019 18:00,0.275
1/3/2019 19:00,0.409
1/3/2019 20:00,0.528
1/3/2019 21:00,0.404
1/3/2019 22:00,0.184
1/3/2019 23:00,0.004
1/4/2019 0:00,0
1/4/2019 1:00,0
1/4/2019 2:00,0
1/4/2019 3:00,0
1/4/2019 4:00,0
1/4/2019 5:00,0
1/4/2019 6:00,0
1/4/2019 7:00,0
1/4/2019 8:00,0
1/4/2019 9:00,0
1/4/2019 10:00,0
1/4/2019 11:00,0
1/4/2019 12:00,0
1/4/2019 13:00,0.015
1/4/2019 14:00,0.262
1/4/2019 15:00,0.587
1/4/2019 16:00,0.719
1/4/2019 17:00,0.787
1/4/2019 18:00,0.797
1/4/2019 19:00,0.755
1/4/2019 20:00,0.658
1/4/2019 21:00,0.496
1/4/2019 22:00,0.258
1/4/2019 23:00,0.009
1/5/2019 0:00,0
1/5/2019 1:00,0
1/5/2019 2:00,0
1/5/2019 3:00,0
1/5/2019 4:00,0
1/5/2019 5:00,0
1/5/2019 6:00,0
1/5/2019 7:00,0
1/5/2019 8:00,0
1/5/2019 9:00,0
1/5/2019 10:00,0
1/5/2019 11:00,0
1/5/2019 12:00,0
1/5/2019 13:00,0.073
1/5/2019 14:00,0.386
1/5/2019 15:00,0.593
1/5/2019 16:00,0.721
1/5/2019 17:00,0.784
1/5/2019 18:00,0.795
1/5/2019 19:00,0.754
1/5/2019 20:00,0.658
1/5/2019 21:00,0.502
1/5/2019 22:00,0.267
1/5/2019 23:00,0.011
1/6/2019 0:00,0
1/6/2019 1:00,0
1/6/2019 2:00,0
1/6/2019 3:00,0
1/6/2019 4:00,0
1/6/2019 5:00,0
1/6/2019 6:00,0
1/6/2019 7:00,0
1/6/2019 8:00,0
1/6/2019 9:00,0
1/6/2019 10:00,0
1/6/2019 11:00,0
1/6/2019 12:00,0
1/6/2019 13:00,0.066
1/6/2019 14:00,0.361
1/6/2019 15:00,0.554
1/6/2019 16:00,0.673
1/6/2019 17:00,0.737
1/6/2019 18:00,0.748
1/6/2019 19:00,0.69
1/6/2019 20:00,0.508
1/6/2019 21:00,0.234
1/6/2019 22:00,0.058
1/6/2019 23:00,0
1/7/2019 0:00,0
1/7/2019 1:00,0
1/7/2019 2:00,0
1/7/2019 3:00,0
1/7/2019 4:00,0
1/7/2019 5:00,0
1/7/2019 6:00,0
1/7/2019 7:00,0
1/7/2019 8:00,0
1/7/2019 9:00,0
1/7/2019 10:00,0
1/7/2019 11:00,0
1/7/2019 12:00,0
1/7/2019 13:00,0.032
1/7/2019 14:00,0.192
1/7/2019 15:00,0.263
1/7/2019 16:00,0.313
1/7/2019 17:00,0.34
1/7/2019 18:00,0.361
1/7/2019 19:00,0.343
1/7/2019 20:00,0.271
1/7/2019 21:00,0.167
1/7/2019 22:00,0.064
1/7/2019 23:00,0.001
1/8/2019 0:00,0
1/8/2019 1:00,0
1/8/2019 2:00,0
1/8/2019 3:00,0
1/8/2019 4:00,0
