" ""local_time"": ""America/New_York""",electricity
1/1/2019 0:00,0
1/1/2019 1:00,0
1/1/2019 2:00,0
1/1/2019 3:00,0
1/1/2019 4:00,0
1/1/2019 5:00,0
1/1/2019 6:00,0
1/1/2019 7:00,0
1/1/2019 8:00,0
1/1/2019 9:00,0
1/1/2019 10:00,0
1/1/2019 11:00,0
1/1/2019 12:00,0
1/1/2019 13:00,0.08
1/1/2019 14:00,0.328
1/1/2019 15:00,0.549
1/1/2019 16:00,0.647
1/1/2019 17:00,0.622
1/1/2019 18:00,0.509
1/1/2019 19:00,0.514
1/1/2019 20:00,0.396
1/1/2019 21:00,0.192
1/1/2019 22:00,0.06
1/1/2019 23:00,0
1/2/2019 0:00,0
1/2/2019 1:00,0
1/2/2019 2:00,0
1/2/2019 3:00,0
1/2/2019 4:00,0
1/2/2019 5:00,0
1/2/2019 6:00,0
1/2/2019 7:00,0
1/2/2019 8:00,0
1/2/2019 9:00,0
1/2/2019 10:00,0
1/2/2019 11:00,0
1/2/2019 12:00,0
1/2/2019 13:00,0.02
1/2/2019 14:00,0.064
1/2/2019 15:00,0.085
1/2/2019 16:00,0.101
1/2/2019 17:00,0.093
1/2/2019 18:00,0.066
1/2/2019 19:00,0.073
1/2/2019 20:00,0.09
1/2/2019 21:00,0.073
1/2/2019 22:00,0.011
1/2/2019 23:00,0
1/3/2019 0:00,0
1/3/2019 1:00,0
1/3/2019 2:00,0
1/3/2019 3:00,0
1/3/2019 4:00,0
1/3/2019 5:00,0
1/3/2019 6:00,0
1/3/2019 7:00,0
1/3/2019 8:00,0
1/3/2019 9:00,0
1/3/2019 10:00,0
1/3/2019 11:00,0
1/3/2019 12:00,0
1/3/2019 13:00,0.013
1/3/2019 14:00,0.063
1/3/2019 15:00,0.128
1/3/2019 16:00,0.189
1/3/2019 17:00,0.125
1/3/2019 18:00,0.096
1/3/2019 19:00,0.09
1/3/2019 20:00,0.092
1/3/2019 21:00,0.048
1/3/2019 22:00,0.004
1/3/2019 23:00,0
1/4/2019 0:00,0
1/4/2019 1:00,0
1/4/2019 2:00,0
1/4/2019 3:00,0
1/4/2019 4:00,0
1/4/2019 5:00,0
1/4/2019 6:00,0
1/4/2019 7:00,0
1/4/2019 8:00,0
1/4/2019 9:00,0
1/4/2019 10:00,0
1/4/2019 11:00,0
1/4/2019 12:00,0
1/4/2019 13:00,0.01
1/4/2019 14:00,0.074
1/4/2019 15:00,0.237
1/4/2019 16:00,0.347
1/4/2019 17:00,0.422
1/4/2019 18:00,0.424
1/4/2019 19:00,0.325
1/4/2019 20:00,0.156
1/4/2019 21:00,0.083
1/4/2019 22:00,0.02
1/4/2019 23:00,0
1/5/2019 0:00,0
1/5/2019 1:00,0
1/5/2019 2:00,0
1/5/2019 3:00,0
1/5/2019 4:00,0
1/5/2019 5:00,0
1/5/2019 6:00,0
1/5/2019 7:00,0
1/5/2019 8:00,0
1/5/2019 9:00,0
1/5/2019 10:00,0
1/5/2019 11:00,0
1/5/2019 12:00,0
1/5/2019 13:00,0.004
1/5/2019 14:00,0.036
1/5/2019 15:00,0.083
1/5/2019 16:00,0.152
1/5/2019 17:00,0.342
1/5/2019 18:00,0.559
1/5/2019 19:00,0.639
1/5/2019 20:00,0.563
1/5/2019 21:00,0.384
1/5/2019 22:00,0.116
1/5/2019 23:00,0
1/6/2019 0:00,0
1/6/2019 1:00,0
1/6/2019 2:00,0
1/6/2019 3:00,0
1/6/2019 4:00,0
1/6/2019 5:00,0
1/6/2019 6:00,0
1/6/2019 7:00,0
1/6/2019 8:00,0
1/6/2019 9:00,0
1/6/2019 10:00,0
1/6/2019 11:00,0
1/6/2019 12:00,0
1/6/2019 13:00,0.092
1/6/2019 14:00,0.19
1/6/2019 15:00,0.315
1/6/2019 16:00,0.383
1/6/2019 17:00,0.561
1/6/2019 18:00,0.74
1/6/2019 19:00,0.707
1/6/2019 20:00,0.589
1/6/2019 21:00,0.391
1/6/2019 22:00,0.13
1/6/2019 23:00,0
1/7/2019 0:00,0
1/7/2019 1:00,0
1/7/2019 2:00,0
1/7/2019 3:00,0
1/7/2019 4:00,0
1/7/2019 5:00,0
1/7/2019 6:00,0
1/7/2019 7:00,0
1/7/2019 8:00,0
1/7/2019 9:00,0
1/7/2019 10:00,0
1/7/2019 11:00,0
1/7/2019 12:00,0
1/7/2019 13:00,0.047
1/7/2019 14:00,0.263
1/7/2019 15:00,0.537
1/7/2019 16:00,0.669
1/7/2019 17:00,0.737
1/7/2019 18:00,0.735
1/7/2019 19:00,0.641
1/7/2019 20:00,0.464
1/7/2019 21:00,0.253
1/7/2019 22:00,0.048
1/7/2019 23:00,0
1/8/2019 0:00,0
1/8/2019 1:00,0
1/8/2019 2:00,0
1/8/2019 3:00,0
1/8/2019 4:00,0
