" ""local_time"": ""America/New_York""",electricity
1/1/2019 0:00,0
1/1/2019 1:00,0
1/1/2019 2:00,0
1/1/2019 3:00,0
1/1/2019 4:00,0
1/1/2019 5:00,0
1/1/2019 6:00,0
1/1/2019 7:00,0
1/1/2019 8:00,0
1/1/2019 9:00,0
1/1/2019 10:00,0
1/1/2019 11:00,0
1/1/2019 12:00,0
1/1/2019 13:00,0.003
1/1/2019 14:00,0.133
1/1/2019 15:00,0.208
1/1/2019 16:00,0.602
1/1/2019 17:00,0.647
1/1/2019 18:00,0.611
1/1/2019 19:00,0.453
1/1/2019 20:00,0.313
1/1/2019 21:00,0.172
1/1/2019 22:00,0.076
1/1/2019 23:00,0.015
1/2/2019 0:00,0
1/2/2019 1:00,0
1/2/2019 2:00,0
1/2/2019 3:00,0
1/2/2019 4:00,0
1/2/2019 5:00,0
1/2/2019 6:00,0
1/2/2019 7:00,0
1/2/2019 8:00,0
1/2/2019 9:00,0
1/2/2019 10:00,0
1/2/2019 11:00,0
1/2/2019 12:00,0
1/2/2019 13:00,0
1/2/2019 14:00,0.031
1/2/2019 15:00,0.069
1/2/2019 16:00,0.095
1/2/2019 17:00,0.128
1/2/2019 18:00,0.129
1/2/2019 19:00,0.101
1/2/2019 20:00,0.086
1/2/2019 21:00,0.09
1/2/2019 22:00,0.049
1/2/2019 23:00,0.001
1/3/2019 0:00,0
1/3/2019 1:00,0
1/3/2019 2:00,0
1/3/2019 3:00,0
1/3/2019 4:00,0
1/3/2019 5:00,0
1/3/2019 6:00,0
1/3/2019 7:00,0
1/3/2019 8:00,0
1/3/2019 9:00,0
1/3/2019 10:00,0
1/3/2019 11:00,0
1/3/2019 12:00,0
1/3/2019 13:00,0
1/3/2019 14:00,0.134
1/3/2019 15:00,0.46
1/3/2019 16:00,0.716
1/3/2019 17:00,0.803
1/3/2019 18:00,0.833
1/3/2019 19:00,0.808
1/3/2019 20:00,0.729
1/3/2019 21:00,0.59
1/3/2019 22:00,0.382
1/3/2019 23:00,0.097
1/4/2019 0:00,0
1/4/2019 1:00,0
1/4/2019 2:00,0
1/4/2019 3:00,0
1/4/2019 4:00,0
1/4/2019 5:00,0
1/4/2019 6:00,0
1/4/2019 7:00,0
1/4/2019 8:00,0
1/4/2019 9:00,0
1/4/2019 10:00,0
1/4/2019 11:00,0
1/4/2019 12:00,0
1/4/2019 13:00,0.025
1/4/2019 14:00,0.369
1/4/2019 15:00,0.588
1/4/2019 16:00,0.729
1/4/2019 17:00,0.804
1/4/2019 18:00,0.823
1/4/2019 19:00,0.797
1/4/2019 20:00,0.722
1/4/2019 21:00,0.588
1/4/2019 22:00,0.386
1/4/2019 23:00,0.105
1/5/2019 0:00,0
1/5/2019 1:00,0
1/5/2019 2:00,0
1/5/2019 3:00,0
1/5/2019 4:00,0
1/5/2019 5:00,0
1/5/2019 6:00,0
1/5/2019 7:00,0
1/5/2019 8:00,0
1/5/2019 9:00,0
1/5/2019 10:00,0
1/5/2019 11:00,0
1/5/2019 12:00,0
1/5/2019 13:00,0.023
1/5/2019 14:00,0.35
1/5/2019 15:00,0.568
1/5/2019 16:00,0.704
1/5/2019 17:00,0.773
1/5/2019 18:00,0.789
1/5/2019 19:00,0.762
1/5/2019 20:00,0.685
1/5/2019 21:00,0.546
1/5/2019 22:00,0.335
1/5/2019 23:00,0.071
1/6/2019 0:00,0
1/6/2019 1:00,0
1/6/2019 2:00,0
1/6/2019 3:00,0
1/6/2019 4:00,0
1/6/2019 5:00,0
1/6/2019 6:00,0
1/6/2019 7:00,0
1/6/2019 8:00,0
1/6/2019 9:00,0
1/6/2019 10:00,0
1/6/2019 11:00,0
1/6/2019 12:00,0
1/6/2019 13:00,0
1/6/2019 14:00,0.092
1/6/2019 15:00,0.19
1/6/2019 16:00,0.243
1/6/2019 17:00,0.308
1/6/2019 18:00,0.404
1/6/2019 19:00,0.482
1/6/2019 20:00,0.527
1/6/2019 21:00,0.495
1/6/2019 22:00,0.287
1/6/2019 23:00,0.049
1/7/2019 0:00,0
1/7/2019 1:00,0
1/7/2019 2:00,0
1/7/2019 3:00,0
1/7/2019 4:00,0
1/7/2019 5:00,0
1/7/2019 6:00,0
1/7/2019 7:00,0
1/7/2019 8:00,0
1/7/2019 9:00,0
1/7/2019 10:00,0
1/7/2019 11:00,0
1/7/2019 12:00,0
1/7/2019 13:00,0
1/7/2019 14:00,0.067
1/7/2019 15:00,0.186
1/7/2019 16:00,0.281
1/7/2019 17:00,0.328
1/7/2019 18:00,0.323
1/7/2019 19:00,0.335
1/7/2019 20:00,0.34
1/7/2019 21:00,0.289
1/7/2019 22:00,0.177
1/7/2019 23:00,0.024
1/8/2019 0:00,0
1/8/2019 1:00,0
1/8/2019 2:00,0
1/8/2019 3:00,0
1/8/2019 4:00,0
