" ""local_time"": ""America/New_York""",electricity
1/1/2019 0:00,0
1/1/2019 1:00,0
1/1/2019 2:00,0
1/1/2019 3:00,0
1/1/2019 4:00,0
1/1/2019 5:00,0
1/1/2019 6:00,0
1/1/2019 7:00,0
1/1/2019 8:00,0
1/1/2019 9:00,0
1/1/2019 10:00,0
1/1/2019 11:00,0
1/1/2019 12:00,0
1/1/2019 13:00,0.02
1/1/2019 14:00,0.108
1/1/2019 15:00,0.229
1/1/2019 16:00,0.354
1/1/2019 17:00,0.401
1/1/2019 18:00,0.405
1/1/2019 19:00,0.352
1/1/2019 20:00,0.296
1/1/2019 21:00,0.19
1/1/2019 22:00,0.043
1/1/2019 23:00,0
1/2/2019 0:00,0
1/2/2019 1:00,0
1/2/2019 2:00,0
1/2/2019 3:00,0
1/2/2019 4:00,0
1/2/2019 5:00,0
1/2/2019 6:00,0
1/2/2019 7:00,0
1/2/2019 8:00,0
1/2/2019 9:00,0
1/2/2019 10:00,0
1/2/2019 11:00,0
1/2/2019 12:00,0
1/2/2019 13:00,0.053
1/2/2019 14:00,0.196
1/2/2019 15:00,0.363
1/2/2019 16:00,0.491
1/2/2019 17:00,0.443
1/2/2019 18:00,0.347
1/2/2019 19:00,0.245
1/2/2019 20:00,0.212
1/2/2019 21:00,0.233
1/2/2019 22:00,0.072
1/2/2019 23:00,0
1/3/2019 0:00,0
1/3/2019 1:00,0
1/3/2019 2:00,0
1/3/2019 3:00,0
1/3/2019 4:00,0
1/3/2019 5:00,0
1/3/2019 6:00,0
1/3/2019 7:00,0
1/3/2019 8:00,0
1/3/2019 9:00,0
1/3/2019 10:00,0
1/3/2019 11:00,0
1/3/2019 12:00,0
1/3/2019 13:00,0.005
1/3/2019 14:00,0.039
1/3/2019 15:00,0.071
1/3/2019 16:00,0.1
1/3/2019 17:00,0.136
1/3/2019 18:00,0.127
1/3/2019 19:00,0.097
1/3/2019 20:00,0.064
1/3/2019 21:00,0.024
1/3/2019 22:00,0.002
1/3/2019 23:00,0
1/4/2019 0:00,0
1/4/2019 1:00,0
1/4/2019 2:00,0
1/4/2019 3:00,0
1/4/2019 4:00,0
1/4/2019 5:00,0
1/4/2019 6:00,0
1/4/2019 7:00,0
1/4/2019 8:00,0
1/4/2019 9:00,0
1/4/2019 10:00,0
1/4/2019 11:00,0
1/4/2019 12:00,0
1/4/2019 13:00,0.187
1/4/2019 14:00,0.449
1/4/2019 15:00,0.627
1/4/2019 16:00,0.742
1/4/2019 17:00,0.797
1/4/2019 18:00,0.793
1/4/2019 19:00,0.731
1/4/2019 20:00,0.61
1/4/2019 21:00,0.42
1/4/2019 22:00,0.149
1/4/2019 23:00,0
1/5/2019 0:00,0
1/5/2019 1:00,0
1/5/2019 2:00,0
1/5/2019 3:00,0
1/5/2019 4:00,0
1/5/2019 5:00,0
1/5/2019 6:00,0
1/5/2019 7:00,0
1/5/2019 8:00,0
1/5/2019 9:00,0
1/5/2019 10:00,0
1/5/2019 11:00,0
1/5/2019 12:00,0
1/5/2019 13:00,0.172
1/5/2019 14:00,0.434
1/5/2019 15:00,0.624
1/5/2019 16:00,0.752
1/5/2019 17:00,0.802
1/5/2019 18:00,0.794
1/5/2019 19:00,0.732
1/5/2019 20:00,0.612
1/5/2019 21:00,0.424
1/5/2019 22:00,0.157
1/5/2019 23:00,0
1/6/2019 0:00,0
1/6/2019 1:00,0
1/6/2019 2:00,0
1/6/2019 3:00,0
1/6/2019 4:00,0
1/6/2019 5:00,0
1/6/2019 6:00,0
1/6/2019 7:00,0
1/6/2019 8:00,0
1/6/2019 9:00,0
1/6/2019 10:00,0
1/6/2019 11:00,0
1/6/2019 12:00,0
1/6/2019 13:00,0.194
1/6/2019 14:00,0.448
1/6/2019 15:00,0.635
1/6/2019 16:00,0.741
1/6/2019 17:00,0.791
1/6/2019 18:00,0.788
1/6/2019 19:00,0.732
1/6/2019 20:00,0.616
1/6/2019 21:00,0.429
1/6/2019 22:00,0.162
1/6/2019 23:00,0
1/7/2019 0:00,0
1/7/2019 1:00,0
1/7/2019 2:00,0
1/7/2019 3:00,0
1/7/2019 4:00,0
1/7/2019 5:00,0
1/7/2019 6:00,0
1/7/2019 7:00,0
1/7/2019 8:00,0
1/7/2019 9:00,0
1/7/2019 10:00,0
1/7/2019 11:00,0
1/7/2019 12:00,0
1/7/2019 13:00,0.208
1/7/2019 14:00,0.452
1/7/2019 15:00,0.61
1/7/2019 16:00,0.707
1/7/2019 17:00,0.759
1/7/2019 18:00,0.75
1/7/2019 19:00,0.691
1/7/2019 20:00,0.558
1/7/2019 21:00,0.321
1/7/2019 22:00,0.071
1/7/2019 23:00,0
1/8/2019 0:00,0
1/8/2019 1:00,0
1/8/2019 2:00,0
1/8/2019 3:00,0
1/8/2019 4:00,0
