" ""local_time"": ""America/New_York""",electricity
1/1/2019 0:00,0
1/1/2019 1:00,0
1/1/2019 2:00,0
1/1/2019 3:00,0
1/1/2019 4:00,0
1/1/2019 5:00,0
1/1/2019 6:00,0
1/1/2019 7:00,0
1/1/2019 8:00,0
1/1/2019 9:00,0
1/1/2019 10:00,0
1/1/2019 11:00,0
1/1/2019 12:00,0
1/1/2019 13:00,0.003
1/1/2019 14:00,0.206
1/1/2019 15:00,0.335
1/1/2019 16:00,0.373
1/1/2019 17:00,0.467
1/1/2019 18:00,0.572
1/1/2019 19:00,0.6
1/1/2019 20:00,0.409
1/1/2019 21:00,0.164
1/1/2019 22:00,0.049
1/1/2019 23:00,0.002
1/2/2019 0:00,0
1/2/2019 1:00,0
1/2/2019 2:00,0
1/2/2019 3:00,0
1/2/2019 4:00,0
1/2/2019 5:00,0
1/2/2019 6:00,0
1/2/2019 7:00,0
1/2/2019 8:00,0
1/2/2019 9:00,0
1/2/2019 10:00,0
1/2/2019 11:00,0
1/2/2019 12:00,0
1/2/2019 13:00,0
1/2/2019 14:00,0.011
1/2/2019 15:00,0.036
1/2/2019 16:00,0.061
1/2/2019 17:00,0.082
1/2/2019 18:00,0.1
1/2/2019 19:00,0.141
1/2/2019 20:00,0.154
1/2/2019 21:00,0.106
1/2/2019 22:00,0.048
1/2/2019 23:00,0.002
1/3/2019 0:00,0
1/3/2019 1:00,0
1/3/2019 2:00,0
1/3/2019 3:00,0
1/3/2019 4:00,0
1/3/2019 5:00,0
1/3/2019 6:00,0
1/3/2019 7:00,0
1/3/2019 8:00,0
1/3/2019 9:00,0
1/3/2019 10:00,0
1/3/2019 11:00,0
1/3/2019 12:00,0
1/3/2019 13:00,0
1/3/2019 14:00,0.122
1/3/2019 15:00,0.492
1/3/2019 16:00,0.709
1/3/2019 17:00,0.8
1/3/2019 18:00,0.825
1/3/2019 19:00,0.794
1/3/2019 20:00,0.707
1/3/2019 21:00,0.558
1/3/2019 22:00,0.338
1/3/2019 23:00,0.051
1/4/2019 0:00,0
1/4/2019 1:00,0
1/4/2019 2:00,0
1/4/2019 3:00,0
1/4/2019 4:00,0
1/4/2019 5:00,0
1/4/2019 6:00,0
1/4/2019 7:00,0
1/4/2019 8:00,0
1/4/2019 9:00,0
1/4/2019 10:00,0
1/4/2019 11:00,0
1/4/2019 12:00,0
1/4/2019 13:00,0.029
1/4/2019 14:00,0.361
1/4/2019 15:00,0.58
1/4/2019 16:00,0.719
1/4/2019 17:00,0.789
1/4/2019 18:00,0.808
1/4/2019 19:00,0.78
1/4/2019 20:00,0.699
1/4/2019 21:00,0.557
1/4/2019 22:00,0.345
1/4/2019 23:00,0.057
1/5/2019 0:00,0
1/5/2019 1:00,0
1/5/2019 2:00,0
1/5/2019 3:00,0
1/5/2019 4:00,0
1/5/2019 5:00,0
1/5/2019 6:00,0
1/5/2019 7:00,0
1/5/2019 8:00,0
1/5/2019 9:00,0
1/5/2019 10:00,0
1/5/2019 11:00,0
1/5/2019 12:00,0
1/5/2019 13:00,0.028
1/5/2019 14:00,0.352
1/5/2019 15:00,0.568
1/5/2019 16:00,0.708
1/5/2019 17:00,0.784
1/5/2019 18:00,0.803
1/5/2019 19:00,0.774
1/5/2019 20:00,0.693
1/5/2019 21:00,0.548
1/5/2019 22:00,0.328
1/5/2019 23:00,0.043
1/6/2019 0:00,0
1/6/2019 1:00,0
1/6/2019 2:00,0
1/6/2019 3:00,0
1/6/2019 4:00,0
1/6/2019 5:00,0
1/6/2019 6:00,0
1/6/2019 7:00,0
1/6/2019 8:00,0
1/6/2019 9:00,0
1/6/2019 10:00,0
1/6/2019 11:00,0
1/6/2019 12:00,0
1/6/2019 13:00,0.005
1/6/2019 14:00,0.088
1/6/2019 15:00,0.202
1/6/2019 16:00,0.383
1/6/2019 17:00,0.527
1/6/2019 18:00,0.398
1/6/2019 19:00,0.246
1/6/2019 20:00,0.245
1/6/2019 21:00,0.223
1/6/2019 22:00,0.142
1/6/2019 23:00,0.02
1/7/2019 0:00,0
1/7/2019 1:00,0
1/7/2019 2:00,0
1/7/2019 3:00,0
1/7/2019 4:00,0
1/7/2019 5:00,0
1/7/2019 6:00,0
1/7/2019 7:00,0
1/7/2019 8:00,0
1/7/2019 9:00,0
1/7/2019 10:00,0
1/7/2019 11:00,0
1/7/2019 12:00,0
1/7/2019 13:00,0.001
1/7/2019 14:00,0.061
1/7/2019 15:00,0.216
1/7/2019 16:00,0.421
1/7/2019 17:00,0.514
1/7/2019 18:00,0.577
1/7/2019 19:00,0.526
1/7/2019 20:00,0.455
1/7/2019 21:00,0.321
1/7/2019 22:00,0.148
1/7/2019 23:00,0.013
1/8/2019 0:00,0
1/8/2019 1:00,0
1/8/2019 2:00,0
1/8/2019 3:00,0
