" ""local_time"": ""America/New_York""",electricity
1/1/2019 0:00,0
1/1/2019 1:00,0
1/1/2019 2:00,0
1/1/2019 3:00,0
1/1/2019 4:00,0
1/1/2019 5:00,0
1/1/2019 6:00,0
1/1/2019 7:00,0
1/1/2019 8:00,0
1/1/2019 9:00,0
1/1/2019 10:00,0
1/1/2019 11:00,0
1/1/2019 12:00,0
1/1/2019 13:00,0.012
1/1/2019 14:00,0.136
1/1/2019 15:00,0.345
1/1/2019 16:00,0.302
1/1/2019 17:00,0.554
1/1/2019 18:00,0.728
1/1/2019 19:00,0.636
1/1/2019 20:00,0.313
1/1/2019 21:00,0.193
1/1/2019 22:00,0.092
1/1/2019 23:00,0
1/2/2019 0:00,0
1/2/2019 1:00,0
1/2/2019 2:00,0
1/2/2019 3:00,0
1/2/2019 4:00,0
1/2/2019 5:00,0
1/2/2019 6:00,0
1/2/2019 7:00,0
1/2/2019 8:00,0
1/2/2019 9:00,0
1/2/2019 10:00,0
1/2/2019 11:00,0
1/2/2019 12:00,0
1/2/2019 13:00,0.001
1/2/2019 14:00,0.023
1/2/2019 15:00,0.055
1/2/2019 16:00,0.067
1/2/2019 17:00,0.062
1/2/2019 18:00,0.052
1/2/2019 19:00,0.047
1/2/2019 20:00,0.047
1/2/2019 21:00,0.033
1/2/2019 22:00,0.006
1/2/2019 23:00,0
1/3/2019 0:00,0
1/3/2019 1:00,0
1/3/2019 2:00,0
1/3/2019 3:00,0
1/3/2019 4:00,0
1/3/2019 5:00,0
1/3/2019 6:00,0
1/3/2019 7:00,0
1/3/2019 8:00,0
1/3/2019 9:00,0
1/3/2019 10:00,0
1/3/2019 11:00,0
1/3/2019 12:00,0
1/3/2019 13:00,0.005
1/3/2019 14:00,0.023
1/3/2019 15:00,0.087
1/3/2019 16:00,0.136
1/3/2019 17:00,0.321
1/3/2019 18:00,0.324
1/3/2019 19:00,0.224
1/3/2019 20:00,0.272
1/3/2019 21:00,0.07
1/3/2019 22:00,0.01
1/3/2019 23:00,0
1/4/2019 0:00,0
1/4/2019 1:00,0
1/4/2019 2:00,0
1/4/2019 3:00,0
1/4/2019 4:00,0
1/4/2019 5:00,0
1/4/2019 6:00,0
1/4/2019 7:00,0
1/4/2019 8:00,0
1/4/2019 9:00,0
1/4/2019 10:00,0
1/4/2019 11:00,0
1/4/2019 12:00,0
1/4/2019 13:00,0.013
1/4/2019 14:00,0.192
1/4/2019 15:00,0.447
1/4/2019 16:00,0.615
1/4/2019 17:00,0.682
1/4/2019 18:00,0.68
1/4/2019 19:00,0.681
1/4/2019 20:00,0.591
1/4/2019 21:00,0.423
1/4/2019 22:00,0.17
1/4/2019 23:00,0
1/5/2019 0:00,0
1/5/2019 1:00,0
1/5/2019 2:00,0
1/5/2019 3:00,0
1/5/2019 4:00,0
1/5/2019 5:00,0
1/5/2019 6:00,0
1/5/2019 7:00,0
1/5/2019 8:00,0
1/5/2019 9:00,0
1/5/2019 10:00,0
1/5/2019 11:00,0
1/5/2019 12:00,0
1/5/2019 13:00,0.007
1/5/2019 14:00,0.103
1/5/2019 15:00,0.387
1/5/2019 16:00,0.707
1/5/2019 17:00,0.769
1/5/2019 18:00,0.776
1/5/2019 19:00,0.728
1/5/2019 20:00,0.624
1/5/2019 21:00,0.453
1/5/2019 22:00,0.2
1/5/2019 23:00,0
1/6/2019 0:00,0
1/6/2019 1:00,0
1/6/2019 2:00,0
1/6/2019 3:00,0
1/6/2019 4:00,0
1/6/2019 5:00,0
1/6/2019 6:00,0
1/6/2019 7:00,0
1/6/2019 8:00,0
1/6/2019 9:00,0
1/6/2019 10:00,0
1/6/2019 11:00,0
1/6/2019 12:00,0
1/6/2019 13:00,0.005
1/6/2019 14:00,0.105
1/6/2019 15:00,0.531
1/6/2019 16:00,0.707
1/6/2019 17:00,0.763
1/6/2019 18:00,0.744
1/6/2019 19:00,0.68
1/6/2019 20:00,0.574
1/6/2019 21:00,0.386
1/6/2019 22:00,0.088
1/6/2019 23:00,0
1/7/2019 0:00,0
1/7/2019 1:00,0
1/7/2019 2:00,0
1/7/2019 3:00,0
1/7/2019 4:00,0
1/7/2019 5:00,0
1/7/2019 6:00,0
1/7/2019 7:00,0
1/7/2019 8:00,0
1/7/2019 9:00,0
1/7/2019 10:00,0
1/7/2019 11:00,0
1/7/2019 12:00,0
1/7/2019 13:00,0.013
1/7/2019 14:00,0.088
1/7/2019 15:00,0.189
1/7/2019 16:00,0.281
1/7/2019 17:00,0.306
1/7/2019 18:00,0.309
1/7/2019 19:00,0.301
1/7/2019 20:00,0.252
1/7/2019 21:00,0.177
1/7/2019 22:00,0.056
1/7/2019 23:00,0
1/8/2019 0:00,0
1/8/2019 1:00,0
1/8/2019 2:00,0
1/8/2019 3:00,0
1/8/2019 4:00,0
