" ""local_time"": ""America/New_York""",electricity
1/1/2019 0:00,0
1/1/2019 1:00,0
1/1/2019 2:00,0
1/1/2019 3:00,0
1/1/2019 4:00,0
1/1/2019 5:00,0
1/1/2019 6:00,0
1/1/2019 7:00,0
1/1/2019 8:00,0
1/1/2019 9:00,0
1/1/2019 10:00,0
1/1/2019 11:00,0
1/1/2019 12:00,0
1/1/2019 13:00,0
1/1/2019 14:00,0.007
1/1/2019 15:00,0.255
1/1/2019 16:00,0.499
1/1/2019 17:00,0.66
1/1/2019 18:00,0.744
1/1/2019 19:00,0.773
1/1/2019 20:00,0.747
1/1/2019 21:00,0.649
1/1/2019 22:00,0.487
1/1/2019 23:00,0.241
1/2/2019 0:00,0.007
1/2/2019 1:00,0
1/2/2019 2:00,0
1/2/2019 3:00,0
1/2/2019 4:00,0
1/2/2019 5:00,0
1/2/2019 6:00,0
1/2/2019 7:00,0
1/2/2019 8:00,0
1/2/2019 9:00,0
1/2/2019 10:00,0
1/2/2019 11:00,0
1/2/2019 12:00,0
1/2/2019 13:00,0
1/2/2019 14:00,0.016
1/2/2019 15:00,0.312
1/2/2019 16:00,0.55
1/2/2019 17:00,0.696
1/2/2019 18:00,0.766
1/2/2019 19:00,0.781
1/2/2019 20:00,0.739
1/2/2019 21:00,0.643
1/2/2019 22:00,0.476
1/2/2019 23:00,0.233
1/3/2019 0:00,0.006
1/3/2019 1:00,0
1/3/2019 2:00,0
1/3/2019 3:00,0
1/3/2019 4:00,0
1/3/2019 5:00,0
1/3/2019 6:00,0
1/3/2019 7:00,0
1/3/2019 8:00,0
1/3/2019 9:00,0
1/3/2019 10:00,0
1/3/2019 11:00,0
1/3/2019 12:00,0
1/3/2019 13:00,0
1/3/2019 14:00,0.017
1/3/2019 15:00,0.307
1/3/2019 16:00,0.542
1/3/2019 17:00,0.688
1/3/2019 18:00,0.761
1/3/2019 19:00,0.779
1/3/2019 20:00,0.742
1/3/2019 21:00,0.636
1/3/2019 22:00,0.474
1/3/2019 23:00,0.234
1/4/2019 0:00,0.006
1/4/2019 1:00,0
1/4/2019 2:00,0
1/4/2019 3:00,0
1/4/2019 4:00,0
1/4/2019 5:00,0
1/4/2019 6:00,0
1/4/2019 7:00,0
1/4/2019 8:00,0
1/4/2019 9:00,0
1/4/2019 10:00,0
1/4/2019 11:00,0
1/4/2019 12:00,0
1/4/2019 13:00,0
1/4/2019 14:00,0.017
1/4/2019 15:00,0.301
1/4/2019 16:00,0.53
1/4/2019 17:00,0.673
1/4/2019 18:00,0.738
1/4/2019 19:00,0.755
1/4/2019 20:00,0.719
1/4/2019 21:00,0.618
1/4/2019 22:00,0.459
1/4/2019 23:00,0.223
1/5/2019 0:00,0.003
1/5/2019 1:00,0
1/5/2019 2:00,0
1/5/2019 3:00,0
1/5/2019 4:00,0
1/5/2019 5:00,0
1/5/2019 6:00,0
1/5/2019 7:00,0
1/5/2019 8:00,0
1/5/2019 9:00,0
1/5/2019 10:00,0
1/5/2019 11:00,0
1/5/2019 12:00,0
1/5/2019 13:00,0
1/5/2019 14:00,0
1/5/2019 15:00,0.031
1/5/2019 16:00,0.069
1/5/2019 17:00,0.159
1/5/2019 18:00,0.409
1/5/2019 19:00,0.183
1/5/2019 20:00,0.116
1/5/2019 21:00,0.156
1/5/2019 22:00,0.135
1/5/2019 23:00,0.036
1/6/2019 0:00,0
1/6/2019 1:00,0
1/6/2019 2:00,0
1/6/2019 3:00,0
1/6/2019 4:00,0
1/6/2019 5:00,0
1/6/2019 6:00,0
1/6/2019 7:00,0
1/6/2019 8:00,0
1/6/2019 9:00,0
1/6/2019 10:00,0
1/6/2019 11:00,0
1/6/2019 12:00,0
1/6/2019 13:00,0
1/6/2019 14:00,0
1/6/2019 15:00,0.006
1/6/2019 16:00,0.033
1/6/2019 17:00,0.125
1/6/2019 18:00,0.271
1/6/2019 19:00,0.326
1/6/2019 20:00,0.332
1/6/2019 21:00,0.329
1/6/2019 22:00,0.28
1/6/2019 23:00,0.142
1/7/2019 0:00,0.003
1/7/2019 1:00,0
1/7/2019 2:00,0
1/7/2019 3:00,0
1/7/2019 4:00,0
1/7/2019 5:00,0
1/7/2019 6:00,0
1/7/2019 7:00,0
1/7/2019 8:00,0
1/7/2019 9:00,0
1/7/2019 10:00,0
1/7/2019 11:00,0
1/7/2019 12:00,0
1/7/2019 13:00,0
1/7/2019 14:00,0.013
1/7/2019 15:00,0.248
1/7/2019 16:00,0.483
1/7/2019 17:00,0.637
1/7/2019 18:00,0.712
1/7/2019 19:00,0.735
1/7/2019 20:00,0.698
1/7/2019 21:00,0.599
1/7/2019 22:00,0.439
1/7/2019 23:00,0.199
1/8/2019 0:00,0.006
1/8/2019 1:00,0
1/8/2019 2:00,0
1/8/2019 3:00,0
