" ""local_time"": ""America/New_York""",electricity
1/1/2019 0:00,0.388
1/1/2019 1:00,0.505
1/1/2019 2:00,0.535
1/1/2019 3:00,0.504
1/1/2019 4:00,0.466
1/1/2019 5:00,0.38
1/1/2019 6:00,0.28
1/1/2019 7:00,0.187
1/1/2019 8:00,0.083
1/1/2019 9:00,0.003
1/1/2019 10:00,0
1/1/2019 11:00,0
1/1/2019 12:00,0
1/1/2019 13:00,0
1/1/2019 14:00,0
1/1/2019 15:00,0
1/1/2019 16:00,0
1/1/2019 17:00,0
1/1/2019 18:00,0
1/1/2019 19:00,0
1/1/2019 20:00,0
1/1/2019 21:00,0
1/1/2019 22:00,0.068
1/1/2019 23:00,0.281
1/2/2019 0:00,0.505
1/2/2019 1:00,0.644
1/2/2019 2:00,0.723
1/2/2019 3:00,0.747
1/2/2019 4:00,0.719
1/2/2019 5:00,0.641
1/2/2019 6:00,0.508
1/2/2019 7:00,0.331
1/2/2019 8:00,0.121
1/2/2019 9:00,0.005
1/2/2019 10:00,0
1/2/2019 11:00,0
1/2/2019 12:00,0
1/2/2019 13:00,0
1/2/2019 14:00,0
1/2/2019 15:00,0
1/2/2019 16:00,0
1/2/2019 17:00,0
1/2/2019 18:00,0
1/2/2019 19:00,0
1/2/2019 20:00,0
1/2/2019 21:00,0
1/2/2019 22:00,0.073
1/2/2019 23:00,0.275
1/3/2019 0:00,0.476
1/3/2019 1:00,0.613
1/3/2019 2:00,0.703
1/3/2019 3:00,0.75
1/3/2019 4:00,0.743
1/3/2019 5:00,0.69
1/3/2019 6:00,0.589
1/3/2019 7:00,0.424
1/3/2019 8:00,0.225
1/3/2019 9:00,0.016
1/3/2019 10:00,0
1/3/2019 11:00,0
1/3/2019 12:00,0
1/3/2019 13:00,0
1/3/2019 14:00,0
1/3/2019 15:00,0
1/3/2019 16:00,0
1/3/2019 17:00,0
1/3/2019 18:00,0
1/3/2019 19:00,0
1/3/2019 20:00,0
1/3/2019 21:00,0
1/3/2019 22:00,0.098
1/3/2019 23:00,0.312
1/4/2019 0:00,0.508
1/4/2019 1:00,0.653
1/4/2019 2:00,0.725
1/4/2019 3:00,0.75
1/4/2019 4:00,0.692
1/4/2019 5:00,0.572
1/4/2019 6:00,0.402
1/4/2019 7:00,0.167
1/4/2019 8:00,0.05
1/4/2019 9:00,0.001
1/4/2019 10:00,0
1/4/2019 11:00,0
1/4/2019 12:00,0
1/4/2019 13:00,0
1/4/2019 14:00,0
1/4/2019 15:00,0
1/4/2019 16:00,0
1/4/2019 17:00,0
1/4/2019 18:00,0
1/4/2019 19:00,0
1/4/2019 20:00,0
1/4/2019 21:00,0
1/4/2019 22:00,0.103
1/4/2019 23:00,0.26
1/5/2019 0:00,0.423
1/5/2019 1:00,0.531
1/5/2019 2:00,0.603
1/5/2019 3:00,0.6
1/5/2019 4:00,0.566
1/5/2019 5:00,0.515
1/5/2019 6:00,0.421
1/5/2019 7:00,0.259
1/5/2019 8:00,0.105
1/5/2019 9:00,0.004
1/5/2019 10:00,0
1/5/2019 11:00,0
1/5/2019 12:00,0
1/5/2019 13:00,0
1/5/2019 14:00,0
1/5/2019 15:00,0
1/5/2019 16:00,0
1/5/2019 17:00,0
1/5/2019 18:00,0
1/5/2019 19:00,0
1/5/2019 20:00,0
1/5/2019 21:00,0
1/5/2019 22:00,0.107
1/5/2019 23:00,0.311
1/6/2019 0:00,0.515
1/6/2019 1:00,0.64
1/6/2019 2:00,0.72
1/6/2019 3:00,0.75
1/6/2019 4:00,0.732
1/6/2019 5:00,0.677
1/6/2019 6:00,0.57
1/6/2019 7:00,0.4
1/6/2019 8:00,0.194
1/6/2019 9:00,0.014
1/6/2019 10:00,0
1/6/2019 11:00,0
1/6/2019 12:00,0
1/6/2019 13:00,0
1/6/2019 14:00,0
1/6/2019 15:00,0
1/6/2019 16:00,0
1/6/2019 17:00,0
1/6/2019 18:00,0
1/6/2019 19:00,0
1/6/2019 20:00,0
1/6/2019 21:00,0
1/6/2019 22:00,0.127
1/6/2019 23:00,0.329
1/7/2019 0:00,0.515
1/7/2019 1:00,0.657
1/7/2019 2:00,0.73
1/7/2019 3:00,0.758
1/7/2019 4:00,0.737
1/7/2019 5:00,0.675
1/7/2019 6:00,0.57
1/7/2019 7:00,0.393
1/7/2019 8:00,0.201
1/7/2019 9:00,0.017
1/7/2019 10:00,0
1/7/2019 11:00,0
1/7/2019 12:00,0
1/7/2019 13:00,0
1/7/2019 14:00,0
1/7/2019 15:00,0
1/7/2019 16:00,0
1/7/2019 17:00,0
1/7/2019 18:00,0
1/7/2019 19:00,0
1/7/2019 20:00,0
1/7/2019 21:00,0
1/7/2019 22:00,0.15
1/7/2019 23:00,0.353
1/8/2019 0:00,0.548
1/8/2019 1:00,0.672
1/8/2019 2:00,0.746
1/8/2019 3:00,0.771
1/8/2019 4:00,0.754
1/8/2019 5:00,0.698
1/8/2019 6:00,0.593
1/8/2019 7:00,0.429
1/8/2019 8:00,0.216
1/8/2019 9:00,0.018
1/8/2019 10:00,0
1/8/2019 11:00,0
1/8/2019 12:00,0
1/8/2019 13:00,0
1/8/2019 14:00,0
1/8/2019 15:00,0
1/8/2019 16:00,0
1/8/2019 17:00,0
1/8/2019 18:00,0
1/8/2019 19:00,0
1/8/2019 20:00,0
1/8/2019 21:00,0
1/8/2019 22:00,0.176
1/8/2019 23:00,0.383
1/9/2019 0:00,0.562
1/9/2019 1:00,0.684
1/9/2019 2:00,0.757
1/9/2019 3:00,0.788
1/9/2019 4:00,0.774
1/9/2019 5:00,0.715
1/9/2019 6:00,0.611
1/9/2019 7:00,0.446
1/9/2019 8:00,0.232
1/9/2019 9:00,0.018
1/9/2019 10:00,0
1/9/2019 11:00,0
1/9/2019 12:00,0
1/9/2019 13:00,0
1/9/2019 14:00,0
1/9/2019 15:00,0
1/9/2019 16:00,0
1/9/2019 17:00,0
1/9/2019 18:00,0
1/9/2019 19:00,0
1/9/2019 20:00,0
1/9/2019 21:00,0
1/9/2019 22:00,0.147
1/9/2019 23:00,0.347
1/10/2019 0:00,0.519
1/10/2019 1:00,0.639
1/10/2019 2:00,0.705
1/10/2019 3:00,0.724
1/10/2019 4:00,0.688
1/10/2019 5:00,0.574
1/10/2019 6:00,0.381
1/10/2019 7:00,0.221
1/10/2019 8:00,0.105
1/10/2019 9:00,0.006
1/10/2019 10:00,0
1/10/2019 11:00,0
1/10/2019 12:00,0
1/10/2019 13:00,0
1/10/2019 14:00,0
1/10/2019 15:00,0
1/10/2019 16:00,0
1/10/2019 17:00,0
1/10/2019 18:00,0
1/10/2019 19:00,0
1/10/2019 20:00,0
1/10/2019 21:00,0
1/10/2019 22:00,0.006
1/10/2019 23:00,0.049
1/11/2019 0:00,0.11
1/11/2019 1:00,0.168
1/11/2019 2:00,0.241
1/11/2019 3:00,0.298
1/11/2019 4:00,0.296
1/11/2019 5:00,0.249
1/11/2019 6:00,0.176
1/11/2019 7:00,0.097
1/11/2019 8:00,0.036
1/11/2019 9:00,0
1/11/2019 10:00,0
1/11/2019 11:00,0
1/11/2019 12:00,0
1/11/2019 13:00,0
1/11/2019 14:00,0
1/11/2019 15:00,0
1/11/2019 16:00,0
1/11/2019 17:00,0
1/11/2019 18:00,0
1/11/2019 19:00,0
1/11/2019 20:00,0
1/11/2019 21:00,0
1/11/2019 22:00,0.061
1/11/2019 23:00,0.234
1/12/2019 0:00,0.406
1/12/2019 1:00,0.514
1/12/2019 2:00,0.561
1/12/2019 3:00,0.541
1/12/2019 4:00,0.48
1/12/2019 5:00,0.387
1/12/2019 6:00,0.255
1/12/2019 7:00,0.138
1/12/2019 8:00,0.049
1/12/2019 9:00,0.001
1/12/2019 10:00,0
1/12/2019 11:00,0
1/12/2019 12:00,0
1/12/2019 13:00,0
1/12/2019 14:00,0
1/12/2019 15:00,0
1/12/2019 16:00,0
1/12/2019 17:00,0
1/12/2019 18:00,0
1/12/2019 19:00,0
1/12/2019 20:00,0
1/12/2019 21:00,0
1/12/2019 22:00,0.066
1/12/2019 23:00,0.23
1/13/2019 0:00,0.408
1/13/2019 1:00,0.545
1/13/2019 2:00,0.594
1/13/2019 3:00,0.602
1/13/2019 4:00,0.6
1/13/2019 5:00,0.523
1/13/2019 6:00,0.415
1/13/2019 7:00,0.288
1/13/2019 8:00,0.124
1/13/2019 9:00,0.006
1/13/2019 10:00,0
1/13/2019 11:00,0
1/13/2019 12:00,0
1/13/2019 13:00,0
1/13/2019 14:00,0
1/13/2019 15:00,0
1/13/2019 16:00,0
1/13/2019 17:00,0
1/13/2019 18:00,0
1/13/2019 19:00,0
1/13/2019 20:00,0
1/13/2019 21:00,0
1/13/2019 22:00,0.039
1/13/2019 23:00,0.162
1/14/2019 0:00,0.311
1/14/2019 1:00,0.426
1/14/2019 2:00,0.52
1/14/2019 3:00,0.592
1/14/2019 4:00,0.624
1/14/2019 5:00,0.602
1/14/2019 6:00,0.5
1/14/2019 7:00,0.323
1/14/2019 8:00,0.146
1/14/2019 9:00,0.008
1/14/2019 10:00,0
1/14/2019 11:00,0
1/14/2019 12:00,0
1/14/2019 13:00,0
1/14/2019 14:00,0
1/14/2019 15:00,0
1/14/2019 16:00,0
1/14/2019 17:00,0
1/14/2019 18:00,0
1/14/2019 19:00,0
1/14/2019 20:00,0
1/14/2019 21:00,0
1/14/2019 22:00,0.147
1/14/2019 23:00,0.347
1/15/2019 0:00,0.546
1/15/2019 1:00,0.667
1/15/2019 2:00,0.74
1/15/2019 3:00,0.772
1/15/2019 4:00,0.763
1/15/2019 5:00,0.706
1/15/2019 6:00,0.605
1/15/2019 7:00,0.445
1/15/2019 8:00,0.219
1/15/2019 9:00,0.017
1/15/2019 10:00,0
1/15/2019 11:00,0
1/15/2019 12:00,0
1/15/2019 13:00,0
1/15/2019 14:00,0
1/15/2019 15:00,0
1/15/2019 16:00,0
1/15/2019 17:00,0
1/15/2019 18:00,0
1/15/2019 19:00,0
1/15/2019 20:00,0
1/15/2019 21:00,0
1/15/2019 22:00,0.089
1/15/2019 23:00,0.256
1/16/2019 0:00,0.457
1/16/2019 1:00,0.599
1/16/2019 2:00,0.652
1/16/2019 3:00,0.672
1/16/2019 4:00,0.637
1/16/2019 5:00,0.549
1/16/2019 6:00,0.421
1/16/2019 7:00,0.287
1/16/2019 8:00,0.131
1/16/2019 9:00,0.005
1/16/2019 10:00,0
1/16/2019 11:00,0
1/16/2019 12:00,0
1/16/2019 13:00,0
1/16/2019 14:00,0
1/16/2019 15:00,0
1/16/2019 16:00,0
1/16/2019 17:00,0
1/16/2019 18:00,0
1/16/2019 19:00,0
1/16/2019 20:00,0
1/16/2019 21:00,0
1/16/2019 22:00,0.091
1/16/2019 23:00,0.294
1/17/2019 0:00,0.515
1/17/2019 1:00,0.65
1/17/2019 2:00,0.727
1/17/2019 3:00,0.754
1/17/2019 4:00,0.74
1/17/2019 5:00,0.68
1/17/2019 6:00,0.572
1/17/2019 7:00,0.4
1/17/2019 8:00,0.17
1/17/2019 9:00,0.01
1/17/2019 10:00,0
1/17/2019 11:00,0
1/17/2019 12:00,0
1/17/2019 13:00,0
1/17/2019 14:00,0
1/17/2019 15:00,0
1/17/2019 16:00,0
1/17/2019 17:00,0
1/17/2019 18:00,0
1/17/2019 19:00,0
1/17/2019 20:00,0
1/17/2019 21:00,0
1/17/2019 22:00,0.075
1/17/2019 23:00,0.265
