" ""local_time"": ""America/New_York"""," ""electricity"": ""kW""}"
1/1/2019 0:00,0.259
1/1/2019 1:00,0.189
1/1/2019 2:00,0.187
1/1/2019 3:00,0.175
1/1/2019 4:00,0.17
1/1/2019 5:00,0.121
1/1/2019 6:00,0.059
1/1/2019 7:00,0.008
1/1/2019 8:00,0
1/1/2019 9:00,0.001
1/1/2019 10:00,0.041
1/1/2019 11:00,0.076
1/1/2019 12:00,0.076
1/1/2019 13:00,0.055
1/1/2019 14:00,0.041
1/1/2019 15:00,0.024
1/1/2019 16:00,0.02
1/1/2019 17:00,0.047
1/1/2019 18:00,0.112
1/1/2019 19:00,0.158
1/1/2019 20:00,0.169
1/1/2019 21:00,0.138
1/1/2019 22:00,0.107
1/1/2019 23:00,0.096
1/2/2019 0:00,0.086
1/2/2019 1:00,0.082
1/2/2019 2:00,0.083
1/2/2019 3:00,0.085
1/2/2019 4:00,0.072
1/2/2019 5:00,0.088
1/2/2019 6:00,0.104
1/2/2019 7:00,0.061
1/2/2019 8:00,0.041
1/2/2019 9:00,0.001
1/2/2019 10:00,0
1/2/2019 11:00,0.001
1/2/2019 12:00,0.001
1/2/2019 13:00,0
1/2/2019 14:00,0
1/2/2019 15:00,0.007
1/2/2019 16:00,0.024
1/2/2019 17:00,0.034
1/2/2019 18:00,0.053
1/2/2019 19:00,0.059
1/2/2019 20:00,0.05
1/2/2019 21:00,0.054
1/2/2019 22:00,0.039
1/2/2019 23:00,0.025
1/3/2019 0:00,0.005
1/3/2019 1:00,0.016
1/3/2019 2:00,0.03
1/3/2019 3:00,0.034
1/3/2019 4:00,0.024
1/3/2019 5:00,0.041
1/3/2019 6:00,0.071
1/3/2019 7:00,0.084
1/3/2019 8:00,0.045
1/3/2019 9:00,0.02
1/3/2019 10:00,0.01
1/3/2019 11:00,0.006
1/3/2019 12:00,0.008
1/3/2019 13:00,0.005
1/3/2019 14:00,0.003
1/3/2019 15:00,0.008
1/3/2019 16:00,0.017
1/3/2019 17:00,0.017
1/3/2019 18:00,0.009
1/3/2019 19:00,0.012
1/3/2019 20:00,0.013
1/3/2019 21:00,0.058
1/3/2019 22:00,0.089
1/3/2019 23:00,0.139
1/4/2019 0:00,0.149
1/4/2019 1:00,0.203
1/4/2019 2:00,0.334
1/4/2019 3:00,0.432
1/4/2019 4:00,0.49
1/4/2019 5:00,0.547
1/4/2019 6:00,0.676
1/4/2019 7:00,0.68
1/4/2019 8:00,0.636
1/4/2019 9:00,0.615
1/4/2019 10:00,0.56
1/4/2019 11:00,0.467
1/4/2019 12:00,0.619
1/4/2019 13:00,0.765
1/4/2019 14:00,0.806
1/4/2019 15:00,0.826
1/4/2019 16:00,0.826
1/4/2019 17:00,0.785
1/4/2019 18:00,0.669
1/4/2019 19:00,0.526
1/4/2019 20:00,0.464
1/4/2019 21:00,0.538
1/4/2019 22:00,0.607
1/4/2019 23:00,0.574
1/5/2019 0:00,0.522
1/5/2019 1:00,0.492
1/5/2019 2:00,0.558
1/5/2019 3:00,0.59
1/5/2019 4:00,0.592
1/5/2019 5:00,0.57
1/5/2019 6:00,0.55
1/5/2019 7:00,0.565
1/5/2019 8:00,0.479
1/5/2019 9:00,0.366
1/5/2019 10:00,0.355
1/5/2019 11:00,0.426
1/5/2019 12:00,0.466
1/5/2019 13:00,0.486
1/5/2019 14:00,0.465
1/5/2019 15:00,0.401
1/5/2019 16:00,0.407
1/5/2019 17:00,0.519
1/5/2019 18:00,0.504
1/5/2019 19:00,0.434
1/5/2019 20:00,0.415
1/5/2019 21:00,0.413
1/5/2019 22:00,0.481
1/5/2019 23:00,0.429
1/6/2019 0:00,0.371
1/6/2019 1:00,0.341
1/6/2019 2:00,0.337
1/6/2019 3:00,0.305
1/6/2019 4:00,0.296
1/6/2019 5:00,0.313
1/6/2019 6:00,0.339
1/6/2019 7:00,0.295
1/6/2019 8:00,0.156
1/6/2019 9:00,0.02
1/6/2019 10:00,0.002
1/6/2019 11:00,0.001
1/6/2019 12:00,0.001
1/6/2019 13:00,0
1/6/2019 14:00,0
1/6/2019 15:00,0.002
1/6/2019 16:00,0.012
1/6/2019 17:00,0.021
1/6/2019 18:00,0.021
1/6/2019 19:00,0.022
1/6/2019 20:00,0.017
1/6/2019 21:00,0.013
1/6/2019 22:00,0.002
1/6/2019 23:00,0
1/7/2019 0:00,0
1/7/2019 1:00,0.001
1/7/2019 2:00,0.006
1/7/2019 3:00,0.018
1/7/2019 4:00,0.045
1/7/2019 5:00,0.07
1/7/2019 6:00,0.072
1/7/2019 7:00,0.085
1/7/2019 8:00,0.106
1/7/2019 9:00,0.03
1/7/2019 10:00,0.027
1/7/2019 11:00,0.133
1/7/2019 12:00,0.199
1/7/2019 13:00,0.224
1/7/2019 14:00,0.235
1/7/2019 15:00,0.228
1/7/2019 16:00,0.278
1/7/2019 17:00,0.449
1/7/2019 18:00,0.524
1/7/2019 19:00,0.464
1/7/2019 20:00,0.391
1/7/2019 21:00,0.4
1/7/2019 22:00,0.364
1/7/2019 23:00,0.211
1/8/2019 0:00,0.148
1/8/2019 1:00,0.146
1/8/2019 2:00,0.181
1/8/2019 3:00,0.185
1/8/2019 4:00,0.214
1/8/2019 5:00,0.179
1/8/2019 6:00,0.243
1/8/2019 7:00,0.274
1/8/2019 8:00,0.168
1/8/2019 9:00,0.125
1/8/2019 10:00,0.114
1/8/2019 11:00,0.168
1/8/2019 12:00,0.223
1/8/2019 13:00,0.303
1/8/2019 14:00,0.429
1/8/2019 15:00,0.379
1/8/2019 16:00,0.403
1/8/2019 17:00,0.571
1/8/2019 18:00,0.622
1/8/2019 19:00,0.638
1/8/2019 20:00,0.661
1/8/2019 21:00,0.678
1/8/2019 22:00,0.767
1/8/2019 23:00,0.772
1/9/2019 0:00,0.74
1/9/2019 1:00,0.708
1/9/2019 2:00,0.668
1/9/2019 3:00,0.647
1/9/2019 4:00,0.64
1/9/2019 5:00,0.61
1/9/2019 6:00,0.523
1/9/2019 7:00,0.421
1/9/2019 8:00,0.271
1/9/2019 9:00,0.41
1/9/2019 10:00,0.697
1/9/2019 11:00,0.748
1/9/2019 12:00,0.79
1/9/2019 13:00,0.803
1/9/2019 14:00,0.78
1/9/2019 15:00,0.762
1/9/2019 16:00,0.759
1/9/2019 17:00,0.773
1/9/2019 18:00,0.782
1/9/2019 19:00,0.785
1/9/2019 20:00,0.781
1/9/2019 21:00,0.762
1/9/2019 22:00,0.739
1/9/2019 23:00,0.72
1/10/2019 0:00,0.69
1/10/2019 1:00,0.65
1/10/2019 2:00,0.601
1/10/2019 3:00,0.571
1/10/2019 4:00,0.54
1/10/2019 5:00,0.494
1/10/2019 6:00,0.444
1/10/2019 7:00,0.404
1/10/2019 8:00,0.312
1/10/2019 9:00,0.361
1/10/2019 10:00,0.294
1/10/2019 11:00,0.236
1/10/2019 12:00,0.218
1/10/2019 13:00,0.233
1/10/2019 14:00,0.272
1/10/2019 15:00,0.285
1/10/2019 16:00,0.233
1/10/2019 17:00,0.348
1/10/2019 18:00,0.444
1/10/2019 19:00,0.383
1/10/2019 20:00,0.346
1/10/2019 21:00,0.313
1/10/2019 22:00,0.289
1/10/2019 23:00,0.274
1/11/2019 0:00,0.253
1/11/2019 1:00,0.227
1/11/2019 2:00,0.204
1/11/2019 3:00,0.188
1/11/2019 4:00,0.204
1/11/2019 5:00,0.207
1/11/2019 6:00,0.199
1/11/2019 7:00,0.204
1/11/2019 8:00,0.112
1/11/2019 9:00,0.07
1/11/2019 10:00,0.134
1/11/2019 11:00,0.098
1/11/2019 12:00,0.063
1/11/2019 13:00,0.049
1/11/2019 14:00,0.048
1/11/2019 15:00,0.054
1/11/2019 16:00,0.08
1/11/2019 17:00,0.161
1/11/2019 18:00,0.359
1/11/2019 19:00,0.521
1/11/2019 20:00,0.43
1/11/2019 21:00,0.342
1/11/2019 22:00,0.284
1/11/2019 23:00,0.238
1/12/2019 0:00,0.217
1/12/2019 1:00,0.217
1/12/2019 2:00,0.222
1/12/2019 3:00,0.247
1/12/2019 4:00,0.305
1/12/2019 5:00,0.393
1/12/2019 6:00,0.408
1/12/2019 7:00,0.409
1/12/2019 8:00,0.399
1/12/2019 9:00,0.434
1/12/2019 10:00,0.479
1/12/2019 11:00,0.432
1/12/2019 12:00,0.359
1/12/2019 13:00,0.341
1/12/2019 14:00,0.337
1/12/2019 15:00,0.361
1/12/2019 16:00,0.391
1/12/2019 17:00,0.417
1/12/2019 18:00,0.472
1/12/2019 19:00,0.596
1/12/2019 20:00,0.583
1/12/2019 21:00,0.598
1/12/2019 22:00,0.626
1/12/2019 23:00,0.622
1/13/2019 0:00,0.575
1/13/2019 1:00,0.453
1/13/2019 2:00,0.249
1/13/2019 3:00,0.122
1/13/2019 4:00,0.054
1/13/2019 5:00,0.019
1/13/2019 6:00,0.012
1/13/2019 7:00,0.008
1/13/2019 8:00,0.001
1/13/2019 9:00,0
1/13/2019 10:00,0.001
1/13/2019 11:00,0.013
1/13/2019 12:00,0.049
1/13/2019 13:00,0.098
1/13/2019 14:00,0.124
1/13/2019 15:00,0.12
1/13/2019 16:00,0.079
1/13/2019 17:00,0.133
1/13/2019 18:00,0.204
1/13/2019 19:00,0.282
1/13/2019 20:00,0.322
1/13/2019 21:00,0.317
1/13/2019 22:00,0.276
1/13/2019 23:00,0.228
1/14/2019 0:00,0.227
1/14/2019 1:00,0.21
1/14/2019 2:00,0.188
1/14/2019 3:00,0.19
1/14/2019 4:00,0.22
1/14/2019 5:00,0.234
1/14/2019 6:00,0.247
1/14/2019 7:00,0.282
1/14/2019 8:00,0.257
1/14/2019 9:00,0.256
1/14/2019 10:00,0.212
1/14/2019 11:00,0.168
1/14/2019 12:00,0.148
1/14/2019 13:00,0.152
1/14/2019 14:00,0.174
1/14/2019 15:00,0.207
1/14/2019 16:00,0.199
1/14/2019 17:00,0.259
1/14/2019 18:00,0.33
1/14/2019 19:00,0.323
1/14/2019 20:00,0.285
1/14/2019 21:00,0.252
1/14/2019 22:00,0.237
1/14/2019 23:00,0.258
1/15/2019 0:00,0.233
1/15/2019 1:00,0.207
1/15/2019 2:00,0.179
1/15/2019 3:00,0.158
1/15/2019 4:00,0.149
1/15/2019 5:00,0.152
1/15/2019 6:00,0.164
1/15/2019 7:00,0.184
1/15/2019 8:00,0.179
1/15/2019 9:00,0.177
1/15/2019 10:00,0.111
1/15/2019 11:00,0.068
1/15/2019 12:00,0.062
1/15/2019 13:00,0.078
1/15/2019 14:00,0.096
1/15/2019 15:00,0.096
1/15/2019 16:00,0.081
1/15/2019 17:00,0.161
1/15/2019 18:00,0.311
1/15/2019 19:00,0.305
1/15/2019 20:00,0.255
1/15/2019 21:00,0.187
1/15/2019 22:00,0.128
1/15/2019 23:00,0.087
1/16/2019 0:00,0.068
1/16/2019 1:00,0.072
1/16/2019 2:00,0.079
1/16/2019 3:00,0.07
1/16/2019 4:00,0.067
1/16/2019 5:00,0.068
1/16/2019 6:00,0.073
1/16/2019 7:00,0.094
1/16/2019 8:00,0.109
1/16/2019 9:00,0.101
1/16/2019 10:00,0.076
1/16/2019 11:00,0.059
1/16/2019 12:00,0.046
1/16/2019 13:00,0.05
1/16/2019 14:00,0.056
1/16/2019 15:00,0.044
1/16/2019 16:00,0.054
1/16/2019 17:00,0.12
1/16/2019 18:00,0.174
1/16/2019 19:00,0.185
1/16/2019 20:00,0.138
1/16/2019 21:00,0.099
1/16/2019 22:00,0.054
1/16/2019 23:00,0.038
1/17/2019 0:00,0.044
1/17/2019 1:00,0.038
1/17/2019 2:00,0.026
1/17/2019 3:00,0.017
1/17/2019 4:00,0.013
1/17/2019 5:00,0.014
1/17/2019 6:00,0.018
1/17/2019 7:00,0.03
1/17/2019 8:00,0.063
1/17/2019 9:00,0.019
1/17/2019 10:00,0.008
1/17/2019 11:00,0.076
1/17/2019 12:00,0.133
1/17/2019 13:00,0.181
1/17/2019 14:00,0.085
1/17/2019 15:00,0.034
1/17/2019 16:00,0.021
1/17/2019 17:00,0.097
1/17/2019 18:00,0.155
1/17/2019 19:00,0.154
1/17/2019 20:00,0.134
1/17/2019 21:00,0.14
1/17/2019 22:00,0.126
1/17/2019 23:00,0.103
1/18/2019 0:00,0.101
1/18/2019 1:00,0.101
1/18/2019 2:00,0.101
1/18/2019 3:00,0.078
1/18/2019 4:00,0.058
1/18/2019 5:00,0.057
1/18/2019 6:00,0.046
1/18/2019 7:00,0.028
1/18/2019 8:00,0.009
1/18/2019 9:00,0.001
1/18/2019 10:00,0
1/18/2019 11:00,0
1/18/2019 12:00,0.004
1/18/2019 13:00,0.007
1/18/2019 14:00,0.003
1/18/2019 15:00,0
1/18/2019 16:00,0
1/18/2019 17:00,0
1/18/2019 18:00,0.007
1/18/2019 19:00,0.057
1/18/2019 20:00,0.131
1/18/2019 21:00,0.204
1/18/2019 22:00,0.229
1/18/2019 23:00,0.2
1/19/2019 0:00,0.18
1/19/2019 1:00,0.2
1/19/2019 2:00,0.275
1/19/2019 3:00,0.305
1/19/2019 4:00,0.251
1/19/2019 5:00,0.243
1/19/2019 6:00,0.27
1/19/2019 7:00,0.359
1/19/2019 8:00,0.456
1/19/2019 9:00,0.558
1/19/2019 10:00,0.657
1/19/2019 11:00,0.778
1/19/2019 12:00,0.863
