" ""local_time"": ""America/New_York"""," ""electricity"": ""kW""}"
1/1/2019 0:00,0.971
1/1/2019 1:00,0.974
1/1/2019 2:00,0.974
1/1/2019 3:00,0.964
1/1/2019 4:00,0.947
1/1/2019 5:00,0.942
1/1/2019 6:00,0.959
1/1/2019 7:00,0.96
1/1/2019 8:00,0.955
1/1/2019 9:00,0.947
1/1/2019 10:00,0.935
1/1/2019 11:00,0.912
1/1/2019 12:00,0.884
1/1/2019 13:00,0.852
1/1/2019 14:00,0.816
1/1/2019 15:00,0.763
1/1/2019 16:00,0.712
1/1/2019 17:00,0.705
1/1/2019 18:00,0.642
1/1/2019 19:00,0.543
1/1/2019 20:00,0.456
1/1/2019 21:00,0.348
1/1/2019 22:00,0.272
1/1/2019 23:00,0.218
1/2/2019 0:00,0.171
1/2/2019 1:00,0.141
1/2/2019 2:00,0.126
1/2/2019 3:00,0.133
1/2/2019 4:00,0.118
1/2/2019 5:00,0.087
1/2/2019 6:00,0.065
1/2/2019 7:00,0.058
1/2/2019 8:00,0.056
1/2/2019 9:00,0.032
1/2/2019 10:00,0.018
1/2/2019 11:00,0.029
1/2/2019 12:00,0.058
1/2/2019 13:00,0.073
1/2/2019 14:00,0.114
1/2/2019 15:00,0.168
1/2/2019 16:00,0.219
1/2/2019 17:00,0.274
1/2/2019 18:00,0.32
1/2/2019 19:00,0.358
1/2/2019 20:00,0.355
1/2/2019 21:00,0.314
1/2/2019 22:00,0.277
1/2/2019 23:00,0.268
1/3/2019 0:00,0.27
1/3/2019 1:00,0.233
1/3/2019 2:00,0.256
1/3/2019 3:00,0.28
1/3/2019 4:00,0.328
1/3/2019 5:00,0.343
1/3/2019 6:00,0.4
1/3/2019 7:00,0.484
1/3/2019 8:00,0.446
1/3/2019 9:00,0.395
1/3/2019 10:00,0.501
1/3/2019 11:00,0.529
1/3/2019 12:00,0.416
1/3/2019 13:00,0.281
1/3/2019 14:00,0.187
1/3/2019 15:00,0.167
1/3/2019 16:00,0.174
1/3/2019 17:00,0.119
1/3/2019 18:00,0.053
1/3/2019 19:00,0.032
1/3/2019 20:00,0.018
1/3/2019 21:00,0.005
1/3/2019 22:00,0
1/3/2019 23:00,0
1/4/2019 0:00,0
1/4/2019 1:00,0.009
1/4/2019 2:00,0.025
1/4/2019 3:00,0.044
1/4/2019 4:00,0.072
1/4/2019 5:00,0.124
1/4/2019 6:00,0.159
1/4/2019 7:00,0.152
1/4/2019 8:00,0.155
1/4/2019 9:00,0.096
1/4/2019 10:00,0.05
1/4/2019 11:00,0.059
1/4/2019 12:00,0.1
1/4/2019 13:00,0.084
1/4/2019 14:00,0.127
1/4/2019 15:00,0.196
1/4/2019 16:00,0.249
1/4/2019 17:00,0.294
1/4/2019 18:00,0.294
1/4/2019 19:00,0.29
1/4/2019 20:00,0.272
1/4/2019 21:00,0.212
1/4/2019 22:00,0.149
1/4/2019 23:00,0.212
1/5/2019 0:00,0.304
1/5/2019 1:00,0.422
1/5/2019 2:00,0.292
1/5/2019 3:00,0.151
1/5/2019 4:00,0.102
1/5/2019 5:00,0.128
1/5/2019 6:00,0.269
1/5/2019 7:00,0.3
1/5/2019 8:00,0.232
1/5/2019 9:00,0.176
1/5/2019 10:00,0.261
1/5/2019 11:00,0.527
1/5/2019 12:00,0.73
1/5/2019 13:00,0.809
1/5/2019 14:00,0.87
1/5/2019 15:00,0.902
1/5/2019 16:00,0.913
1/5/2019 17:00,0.896
1/5/2019 18:00,0.805
1/5/2019 19:00,0.714
1/5/2019 20:00,0.673
1/5/2019 21:00,0.656
1/5/2019 22:00,0.659
1/5/2019 23:00,0.663
1/6/2019 0:00,0.649
1/6/2019 1:00,0.638
1/6/2019 2:00,0.637
1/6/2019 3:00,0.627
1/6/2019 4:00,0.61
1/6/2019 5:00,0.639
1/6/2019 6:00,0.661
1/6/2019 7:00,0.675
1/6/2019 8:00,0.631
1/6/2019 9:00,0.595
1/6/2019 10:00,0.79
1/6/2019 11:00,0.829
1/6/2019 12:00,0.829
1/6/2019 13:00,0.809
1/6/2019 14:00,0.785
1/6/2019 15:00,0.752
1/6/2019 16:00,0.762
1/6/2019 17:00,0.783
1/6/2019 18:00,0.776
1/6/2019 19:00,0.735
1/6/2019 20:00,0.678
1/6/2019 21:00,0.618
1/6/2019 22:00,0.59
1/6/2019 23:00,0.537
1/7/2019 0:00,0.459
1/7/2019 1:00,0.386
1/7/2019 2:00,0.313
1/7/2019 3:00,0.236
1/7/2019 4:00,0.184
1/7/2019 5:00,0.171
1/7/2019 6:00,0.179
1/7/2019 7:00,0.182
1/7/2019 8:00,0.154
1/7/2019 9:00,0.125
1/7/2019 10:00,0.078
1/7/2019 11:00,0.061
1/7/2019 12:00,0.071
1/7/2019 13:00,0.118
1/7/2019 14:00,0.182
1/7/2019 15:00,0.141
1/7/2019 16:00,0.188
1/7/2019 17:00,0.359
1/7/2019 18:00,0.438
1/7/2019 19:00,0.472
1/7/2019 20:00,0.502
1/7/2019 21:00,0.488
1/7/2019 22:00,0.435
1/7/2019 23:00,0.4
1/8/2019 0:00,0.463
1/8/2019 1:00,0.42
1/8/2019 2:00,0.319
1/8/2019 3:00,0.313
1/8/2019 4:00,0.305
1/8/2019 5:00,0.3
1/8/2019 6:00,0.293
1/8/2019 7:00,0.233
1/8/2019 8:00,0.145
1/8/2019 9:00,0.089
1/8/2019 10:00,0.061
1/8/2019 11:00,0.048
1/8/2019 12:00,0.065
1/8/2019 13:00,0.092
1/8/2019 14:00,0.113
1/8/2019 15:00,0.13
1/8/2019 16:00,0.219
1/8/2019 17:00,0.337
1/8/2019 18:00,0.431
1/8/2019 19:00,0.559
1/8/2019 20:00,0.704
1/8/2019 21:00,0.844
1/8/2019 22:00,0.942
1/8/2019 23:00,0.981
1/9/2019 0:00,0.989
1/9/2019 1:00,0.985
1/9/2019 2:00,0.971
1/9/2019 3:00,0.94
1/9/2019 4:00,0.833
1/9/2019 5:00,0.674
1/9/2019 6:00,0.702
1/9/2019 7:00,0.8
1/9/2019 8:00,0.809
1/9/2019 9:00,0.779
1/9/2019 10:00,0.873
1/9/2019 11:00,0.921
1/9/2019 12:00,0.933
1/9/2019 13:00,0.93
1/9/2019 14:00,0.908
1/9/2019 15:00,0.893
1/9/2019 16:00,0.893
1/9/2019 17:00,0.906
1/9/2019 18:00,0.923
1/9/2019 19:00,0.935
1/9/2019 20:00,0.935
1/9/2019 21:00,0.929
1/9/2019 22:00,0.924
1/9/2019 23:00,0.927
1/10/2019 0:00,0.931
1/10/2019 1:00,0.935
1/10/2019 2:00,0.943
1/10/2019 3:00,0.951
1/10/2019 4:00,0.951
1/10/2019 5:00,0.935
1/10/2019 6:00,0.933
1/10/2019 7:00,0.948
1/10/2019 8:00,0.953
1/10/2019 9:00,0.971
1/10/2019 10:00,0.977
1/10/2019 11:00,0.978
1/10/2019 12:00,0.975
1/10/2019 13:00,0.969
1/10/2019 14:00,0.961
1/10/2019 15:00,0.942
1/10/2019 16:00,0.909
1/10/2019 17:00,0.886
1/10/2019 18:00,0.877
1/10/2019 19:00,0.872
1/10/2019 20:00,0.871
1/10/2019 21:00,0.864
1/10/2019 22:00,0.856
1/10/2019 23:00,0.849
1/11/2019 0:00,0.842
1/11/2019 1:00,0.839
1/11/2019 2:00,0.819
1/11/2019 3:00,0.779
1/11/2019 4:00,0.739
1/11/2019 5:00,0.707
1/11/2019 6:00,0.688
1/11/2019 7:00,0.684
1/11/2019 8:00,0.69
1/11/2019 9:00,0.714
1/11/2019 10:00,0.679
1/11/2019 11:00,0.628
1/11/2019 12:00,0.583
1/11/2019 13:00,0.519
1/11/2019 14:00,0.425
1/11/2019 15:00,0.331
1/11/2019 16:00,0.273
1/11/2019 17:00,0.233
1/11/2019 18:00,0.183
1/11/2019 19:00,0.158
1/11/2019 20:00,0.134
1/11/2019 21:00,0.12
1/11/2019 22:00,0.12
1/11/2019 23:00,0.124
1/12/2019 0:00,0.112
1/12/2019 1:00,0.076
1/12/2019 2:00,0.058
1/12/2019 3:00,0.054
1/12/2019 4:00,0.057
1/12/2019 5:00,0.061
1/12/2019 6:00,0.067
1/12/2019 7:00,0.073
1/12/2019 8:00,0.068
1/12/2019 9:00,0.053
1/12/2019 10:00,0.036
1/12/2019 11:00,0.013
1/12/2019 12:00,0.003
1/12/2019 13:00,0
1/12/2019 14:00,0.001
1/12/2019 15:00,0.003
1/12/2019 16:00,0.008
1/12/2019 17:00,0.021
1/12/2019 18:00,0.03
1/12/2019 19:00,0.028
1/12/2019 20:00,0.023
1/12/2019 21:00,0.018
1/12/2019 22:00,0.027
1/12/2019 23:00,0.037
1/13/2019 0:00,0.037
1/13/2019 1:00,0.055
1/13/2019 2:00,0.086
1/13/2019 3:00,0.134
1/13/2019 4:00,0.179
1/13/2019 5:00,0.173
1/13/2019 6:00,0.212
1/13/2019 7:00,0.259
1/13/2019 8:00,0.347
1/13/2019 9:00,0.42
1/13/2019 10:00,0.438
1/13/2019 11:00,0.453
1/13/2019 12:00,0.484
1/13/2019 13:00,0.538
1/13/2019 14:00,0.604
1/13/2019 15:00,0.613
1/13/2019 16:00,0.511
1/13/2019 17:00,0.435
1/13/2019 18:00,0.42
1/13/2019 19:00,0.4
1/13/2019 20:00,0.369
1/13/2019 21:00,0.341
1/13/2019 22:00,0.304
1/13/2019 23:00,0.285
1/14/2019 0:00,0.299
1/14/2019 1:00,0.336
1/14/2019 2:00,0.362
1/14/2019 3:00,0.343
1/14/2019 4:00,0.334
1/14/2019 5:00,0.338
1/14/2019 6:00,0.33
1/14/2019 7:00,0.302
1/14/2019 8:00,0.275
1/14/2019 9:00,0.209
1/14/2019 10:00,0.132
1/14/2019 11:00,0.075
1/14/2019 12:00,0.046
1/14/2019 13:00,0.035
1/14/2019 14:00,0.029
1/14/2019 15:00,0.028
1/14/2019 16:00,0.034
1/14/2019 17:00,0.049
1/14/2019 18:00,0.079
1/14/2019 19:00,0.131
1/14/2019 20:00,0.181
1/14/2019 21:00,0.22
1/14/2019 22:00,0.237
1/14/2019 23:00,0.259
1/15/2019 0:00,0.305
1/15/2019 1:00,0.377
1/15/2019 2:00,0.432
1/15/2019 3:00,0.425
1/15/2019 4:00,0.4
1/15/2019 5:00,0.412
1/15/2019 6:00,0.436
1/15/2019 7:00,0.436
1/15/2019 8:00,0.314
1/15/2019 9:00,0.25
1/15/2019 10:00,0.245
1/15/2019 11:00,0.148
1/15/2019 12:00,0.102
1/15/2019 13:00,0.081
1/15/2019 14:00,0.073
1/15/2019 15:00,0.09
1/15/2019 16:00,0.116
1/15/2019 17:00,0.1
1/15/2019 18:00,0.079
1/15/2019 19:00,0.078
1/15/2019 20:00,0.099
1/15/2019 21:00,0.134
1/15/2019 22:00,0.18
1/15/2019 23:00,0.243
1/16/2019 0:00,0.311
1/16/2019 1:00,0.329
1/16/2019 2:00,0.278
1/16/2019 3:00,0.231
1/16/2019 4:00,0.22
1/16/2019 5:00,0.216
1/16/2019 6:00,0.218
1/16/2019 7:00,0.236
1/16/2019 8:00,0.186
1/16/2019 9:00,0.093
1/16/2019 10:00,0.246
1/16/2019 11:00,0.449
1/16/2019 12:00,0.513
1/16/2019 13:00,0.532
1/16/2019 14:00,0.465
1/16/2019 15:00,0.441
1/16/2019 16:00,0.516
1/16/2019 17:00,0.548
1/16/2019 18:00,0.55
1/16/2019 19:00,0.535
1/16/2019 20:00,0.523
1/16/2019 21:00,0.502
1/16/2019 22:00,0.451
1/16/2019 23:00,0.41
1/17/2019 0:00,0.344
1/17/2019 1:00,0.267
1/17/2019 2:00,0.189
1/17/2019 3:00,0.137
1/17/2019 4:00,0.131
1/17/2019 5:00,0.159
1/17/2019 6:00,0.198
1/17/2019 7:00,0.233
1/17/2019 8:00,0.182
1/17/2019 9:00,0.16
1/17/2019 10:00,0.16
1/17/2019 11:00,0.146
1/17/2019 12:00,0.109
1/17/2019 13:00,0.086
