" ""local_time"": ""America/Chicago"""," ""electricity"": ""kW""}"
1/1/2019 0:00,0.003
1/1/2019 1:00,0.005
1/1/2019 2:00,0.011
1/1/2019 3:00,0.01
1/1/2019 4:00,0.015
1/1/2019 5:00,0.025
1/1/2019 6:00,0.037
1/1/2019 7:00,0.035
1/1/2019 8:00,0.006
1/1/2019 9:00,0.001
1/1/2019 10:00,0.001
1/1/2019 11:00,0
1/1/2019 12:00,0
1/1/2019 13:00,0.001
1/1/2019 14:00,0.003
1/1/2019 15:00,0.019
1/1/2019 16:00,0.106
1/1/2019 17:00,0.227
1/1/2019 18:00,0.261
1/1/2019 19:00,0.215
1/1/2019 20:00,0.183
1/1/2019 21:00,0.164
1/1/2019 22:00,0.154
1/1/2019 23:00,0.127
1/2/2019 0:00,0.111
1/2/2019 1:00,0.092
1/2/2019 2:00,0.059
1/2/2019 3:00,0.054
1/2/2019 4:00,0.046
1/2/2019 5:00,0.022
1/2/2019 6:00,0.024
1/2/2019 7:00,0.007
1/2/2019 8:00,0
1/2/2019 9:00,0
1/2/2019 10:00,0.002
1/2/2019 11:00,0.012
1/2/2019 12:00,0.015
1/2/2019 13:00,0.014
1/2/2019 14:00,0.027
1/2/2019 15:00,0.026
1/2/2019 16:00,0.005
1/2/2019 17:00,0.034
1/2/2019 18:00,0.054
1/2/2019 19:00,0.055
1/2/2019 20:00,0.05
1/2/2019 21:00,0.073
1/2/2019 22:00,0.074
1/2/2019 23:00,0.058
1/3/2019 0:00,0.034
1/3/2019 1:00,0.009
1/3/2019 2:00,0.027
1/3/2019 3:00,0.067
1/3/2019 4:00,0.071
1/3/2019 5:00,0.091
1/3/2019 6:00,0.099
1/3/2019 7:00,0.088
1/3/2019 8:00,0.062
1/3/2019 9:00,0.055
1/3/2019 10:00,0.078
1/3/2019 11:00,0.083
1/3/2019 12:00,0.058
1/3/2019 13:00,0.046
1/3/2019 14:00,0.032
1/3/2019 15:00,0.043
1/3/2019 16:00,0.157
1/3/2019 17:00,0.158
1/3/2019 18:00,0.135
1/3/2019 19:00,0.179
1/3/2019 20:00,0.211
1/3/2019 21:00,0.237
1/3/2019 22:00,0.323
1/3/2019 23:00,0.397
1/4/2019 0:00,0.379
1/4/2019 1:00,0.501
1/4/2019 2:00,0.661
1/4/2019 3:00,0.758
1/4/2019 4:00,0.618
1/4/2019 5:00,0.595
1/4/2019 6:00,0.542
1/4/2019 7:00,0.449
1/4/2019 8:00,0.395
1/4/2019 9:00,0.499
1/4/2019 10:00,0.601
