" ""local_time"": ""America/New_York"""," ""electricity"": ""kW""}"
1/1/2019 0:00,0.722
1/1/2019 1:00,0.644
1/1/2019 2:00,0.586
1/1/2019 3:00,0.478
1/1/2019 4:00,0.447
1/1/2019 5:00,0.417
1/1/2019 6:00,0.399
1/1/2019 7:00,0.326
1/1/2019 8:00,0.245
1/1/2019 9:00,0.112
1/1/2019 10:00,0.058
1/1/2019 11:00,0.084
1/1/2019 12:00,0.084
1/1/2019 13:00,0.087
1/1/2019 14:00,0.056
1/1/2019 15:00,0.031
1/1/2019 16:00,0.022
1/1/2019 17:00,0.022
1/1/2019 18:00,0.043
1/1/2019 19:00,0.105
1/1/2019 20:00,0.188
1/1/2019 21:00,0.259
1/1/2019 22:00,0.276
1/1/2019 23:00,0.243
1/2/2019 0:00,0.22
1/2/2019 1:00,0.233
1/2/2019 2:00,0.257
1/2/2019 3:00,0.245
1/2/2019 4:00,0.247
1/2/2019 5:00,0.263
1/2/2019 6:00,0.282
1/2/2019 7:00,0.267
1/2/2019 8:00,0.167
1/2/2019 9:00,0.155
1/2/2019 10:00,0.122
1/2/2019 11:00,0.044
1/2/2019 12:00,0.023
1/2/2019 13:00,0.015
1/2/2019 14:00,0.005
1/2/2019 15:00,0
1/2/2019 16:00,0
1/2/2019 17:00,0.019
1/2/2019 18:00,0.042
1/2/2019 19:00,0.017
1/2/2019 20:00,0.012
1/2/2019 21:00,0.01
1/2/2019 22:00,0.002
1/2/2019 23:00,0
1/3/2019 0:00,0.001
1/3/2019 1:00,0.016
1/3/2019 2:00,0.025
1/3/2019 3:00,0.026
1/3/2019 4:00,0.025
1/3/2019 5:00,0.013
1/3/2019 6:00,0.005
1/3/2019 7:00,0.003
1/3/2019 8:00,0
1/3/2019 9:00,0.002
1/3/2019 10:00,0.01
1/3/2019 11:00,0.005
1/3/2019 12:00,0.004
1/3/2019 13:00,0.005
1/3/2019 14:00,0
1/3/2019 15:00,0
1/3/2019 16:00,0
1/3/2019 17:00,0
1/3/2019 18:00,0.002
1/3/2019 19:00,0.016
1/3/2019 20:00,0.041
1/3/2019 21:00,0.054
1/3/2019 22:00,0.037
1/3/2019 23:00,0.043
1/4/2019 0:00,0.058
1/4/2019 1:00,0.078
1/4/2019 2:00,0.054
1/4/2019 3:00,0.058
1/4/2019 4:00,0.106
1/4/2019 5:00,0.119
1/4/2019 6:00,0.153
1/4/2019 7:00,0.244
1/4/2019 8:00,0.37
1/4/2019 9:00,0.238
1/4/2019 10:00,0.112
1/4/2019 11:00,0.071
1/4/2019 12:00,0.154
1/4/2019 13:00,0.243
1/4/2019 14:00,0.271
1/4/2019 15:00,0.347
1/4/2019 16:00,0.413
1/4/2019 17:00,0.724
1/4/2019 18:00,0.831
1/4/2019 19:00,0.866
1/4/2019 20:00,0.851
1/4/2019 21:00,0.814
1/4/2019 22:00,0.837
1/4/2019 23:00,0.835
1/5/2019 0:00,0.788
1/5/2019 1:00,0.722
1/5/2019 2:00,0.616
1/5/2019 3:00,0.586
1/5/2019 4:00,0.574
1/5/2019 5:00,0.602
1/5/2019 6:00,0.596
1/5/2019 7:00,0.591
1/5/2019 8:00,0.552
1/5/2019 9:00,0.593
1/5/2019 10:00,0.652
1/5/2019 11:00,0.58
1/5/2019 12:00,0.543
1/5/2019 13:00,0.516
1/5/2019 14:00,0.469
1/5/2019 15:00,0.408
1/5/2019 16:00,0.504
1/5/2019 17:00,0.656
1/5/2019 18:00,0.647
1/5/2019 19:00,0.578
1/5/2019 20:00,0.558
1/5/2019 21:00,0.529
1/5/2019 22:00,0.485
1/5/2019 23:00,0.444
1/6/2019 0:00,0.395
1/6/2019 1:00,0.358
1/6/2019 2:00,0.344
1/6/2019 3:00,0.329
1/6/2019 4:00,0.272
1/6/2019 5:00,0.265
1/6/2019 6:00,0.328
1/6/2019 7:00,0.332
1/6/2019 8:00,0.206
1/6/2019 9:00,0.03
1/6/2019 10:00,0.01
1/6/2019 11:00,0.01
1/6/2019 12:00,0.007
1/6/2019 13:00,0.006
1/6/2019 14:00,0.013
1/6/2019 15:00,0.026
1/6/2019 16:00,0.034
1/6/2019 17:00,0.029
1/6/2019 18:00,0.008
1/6/2019 19:00,0.001
1/6/2019 20:00,0
1/6/2019 21:00,0
1/6/2019 22:00,0.002
1/6/2019 23:00,0.017
1/7/2019 0:00,0.065
1/7/2019 1:00,0.148
1/7/2019 2:00,0.22
1/7/2019 3:00,0.303
1/7/2019 4:00,0.309
1/7/2019 5:00,0.245
1/7/2019 6:00,0.231
1/7/2019 7:00,0.234
1/7/2019 8:00,0.175
1/7/2019 9:00,0.21
