" ""local_time"": ""America/New_York"""," ""electricity"": ""kW""}"
1/1/2019 0:00,0.504
1/1/2019 1:00,0.254
1/1/2019 2:00,0.185
1/1/2019 3:00,0.169
1/1/2019 4:00,0.137
1/1/2019 5:00,0.143
1/1/2019 6:00,0.093
1/1/2019 7:00,0.048
1/1/2019 8:00,0.043
1/1/2019 9:00,0.017
1/1/2019 10:00,0.006
1/1/2019 11:00,0.002
1/1/2019 12:00,0.005
1/1/2019 13:00,0.006
1/1/2019 14:00,0.005
1/1/2019 15:00,0.013
1/1/2019 16:00,0.051
1/1/2019 17:00,0.159
1/1/2019 18:00,0.187
1/1/2019 19:00,0.144
1/1/2019 20:00,0.086
1/1/2019 21:00,0.049
1/1/2019 22:00,0.029
1/1/2019 23:00,0.015
1/2/2019 0:00,0.013
1/2/2019 1:00,0.016
1/2/2019 2:00,0.015
1/2/2019 3:00,0.012
1/2/2019 4:00,0.01
1/2/2019 5:00,0.008
1/2/2019 6:00,0.008
1/2/2019 7:00,0.014
1/2/2019 8:00,0.003
1/2/2019 9:00,0
1/2/2019 10:00,0
1/2/2019 11:00,0
1/2/2019 12:00,0.014
1/2/2019 13:00,0.055
1/2/2019 14:00,0.037
1/2/2019 15:00,0.019
1/2/2019 16:00,0.012
1/2/2019 17:00,0.051
1/2/2019 18:00,0.145
1/2/2019 19:00,0.163
1/2/2019 20:00,0.122
1/2/2019 21:00,0.071
1/2/2019 22:00,0.047
1/2/2019 23:00,0.015
1/3/2019 0:00,0.012
1/3/2019 1:00,0.005
1/3/2019 2:00,0.002
1/3/2019 3:00,0.01
1/3/2019 4:00,0.02
1/3/2019 5:00,0.018
1/3/2019 6:00,0.012
1/3/2019 7:00,0.003
1/3/2019 8:00,0.001
1/3/2019 9:00,0
1/3/2019 10:00,0
1/3/2019 11:00,0
1/3/2019 12:00,0
1/3/2019 13:00,0
1/3/2019 14:00,0
1/3/2019 15:00,0.001
1/3/2019 16:00,0.001
1/3/2019 17:00,0.001
1/3/2019 18:00,0.008
1/3/2019 19:00,0.04
1/3/2019 20:00,0.055
1/3/2019 21:00,0.025
1/3/2019 22:00,0.025
1/3/2019 23:00,0.046
1/4/2019 0:00,0.05
1/4/2019 1:00,0.036
1/4/2019 2:00,0.069
1/4/2019 3:00,0.065
1/4/2019 4:00,0.038
1/4/2019 5:00,0.094
1/4/2019 6:00,0.311
1/4/2019 7:00,0.282
1/4/2019 8:00,0.192
1/4/2019 9:00,0.183
1/4/2019 10:00,0.338
1/4/2019 11:00,0.563
1/4/2019 12:00,0.473
1/4/2019 13:00,0.47
1/4/2019 14:00,0.407
1/4/2019 15:00,0.325
1/4/2019 16:00,0.42
1/4/2019 17:00,0.746
1/4/2019 18:00,0.792
1/4/2019 19:00,0.454
1/4/2019 20:00,0.336
1/4/2019 21:00,0.364
1/4/2019 22:00,0.462
1/4/2019 23:00,0.554
1/5/2019 0:00,0.587
1/5/2019 1:00,0.583
1/5/2019 2:00,0.614
1/5/2019 3:00,0.645
1/5/2019 4:00,0.56
1/5/2019 5:00,0.376
1/5/2019 6:00,0.261
1/5/2019 7:00,0.226
1/5/2019 8:00,0.148
1/5/2019 9:00,0.137
1/5/2019 10:00,0.19
1/5/2019 11:00,0.21
1/5/2019 12:00,0.212
1/5/2019 13:00,0.201
1/5/2019 14:00,0.167
1/5/2019 15:00,0.12
1/5/2019 16:00,0.127
1/5/2019 17:00,0.179
1/5/2019 18:00,0.187
1/5/2019 19:00,0.17
1/5/2019 20:00,0.159
1/5/2019 21:00,0.191
1/5/2019 22:00,0.235
1/5/2019 23:00,0.234
1/6/2019 0:00,0.207
1/6/2019 1:00,0.18
1/6/2019 2:00,0.134
1/6/2019 3:00,0.096
1/6/2019 4:00,0.045
1/6/2019 5:00,0.015
1/6/2019 6:00,0.004
1/6/2019 7:00,0.001
1/6/2019 8:00,0.001
1/6/2019 9:00,0
1/6/2019 10:00,0
1/6/2019 11:00,0
1/6/2019 12:00,0
1/6/2019 13:00,0
1/6/2019 14:00,0
1/6/2019 15:00,0
1/6/2019 16:00,0
1/6/2019 17:00,0
1/6/2019 18:00,0
1/6/2019 19:00,0
1/6/2019 20:00,0.002
1/6/2019 21:00,0.017
1/6/2019 22:00,0.072
1/6/2019 23:00,0.101
1/7/2019 0:00,0.097
1/7/2019 1:00,0.117
1/7/2019 2:00,0.175
1/7/2019 3:00,0.27
1/7/2019 4:00,0.328
1/7/2019 5:00,0.332
1/7/2019 6:00,0.342
1/7/2019 7:00,0.469
1/7/2019 8:00,0.368
1/7/2019 9:00,0.094
1/7/2019 10:00,0.105
1/7/2019 11:00,0.319
1/7/2019 12:00,0.492
1/7/2019 13:00,0.647
1/7/2019 14:00,0.69
1/7/2019 15:00,0.668
1/7/2019 16:00,0.684
1/7/2019 17:00,0.712
1/7/2019 18:00,0.709
1/7/2019 19:00,0.723
1/7/2019 20:00,0.758
1/7/2019 21:00,0.752
1/7/2019 22:00,0.655
1/7/2019 23:00,0.568
1/8/2019 0:00,0.524
1/8/2019 1:00,0.486
1/8/2019 2:00,0.451
1/8/2019 3:00,0.427
1/8/2019 4:00,0.41
1/8/2019 5:00,0.38
1/8/2019 6:00,0.338
1/8/2019 7:00,0.355
1/8/2019 8:00,0.338
1/8/2019 9:00,0.265
1/8/2019 10:00,0.322
1/8/2019 11:00,0.452
1/8/2019 12:00,0.63
1/8/2019 13:00,0.732
1/8/2019 14:00,0.733
1/8/2019 15:00,0.726
1/8/2019 16:00,0.69
1/8/2019 17:00,0.702
1/8/2019 18:00,0.753
1/8/2019 19:00,0.813
1/8/2019 20:00,0.74
1/8/2019 21:00,0.529
1/8/2019 22:00,0.491
1/8/2019 23:00,0.504
1/9/2019 0:00,0.471
1/9/2019 1:00,0.451
1/9/2019 2:00,0.473
1/9/2019 3:00,0.54
1/9/2019 4:00,0.579
1/9/2019 5:00,0.566
1/9/2019 6:00,0.532
1/9/2019 7:00,0.497
1/9/2019 8:00,0.433
1/9/2019 9:00,0.532
1/9/2019 10:00,0.593
1/9/2019 11:00,0.58
1/9/2019 12:00,0.563
1/9/2019 13:00,0.558
1/9/2019 14:00,0.583
1/9/2019 15:00,0.592
1/9/2019 16:00,0.583
1/9/2019 17:00,0.533
1/9/2019 18:00,0.491
1/9/2019 19:00,0.454
1/9/2019 20:00,0.433
1/9/2019 21:00,0.443
1/9/2019 22:00,0.391
1/9/2019 23:00,0.376
1/10/2019 0:00,0.352
1/10/2019 1:00,0.319
1/10/2019 2:00,0.275
1/10/2019 3:00,0.236
1/10/2019 4:00,0.225
1/10/2019 5:00,0.212
1/10/2019 6:00,0.205
1/10/2019 7:00,0.191
1/10/2019 8:00,0.178
1/10/2019 9:00,0.165
1/10/2019 10:00,0.133
1/10/2019 11:00,0.096
1/10/2019 12:00,0.078
1/10/2019 13:00,0.083
1/10/2019 14:00,0.077
1/10/2019 15:00,0.072
1/10/2019 16:00,0.082
1/10/2019 17:00,0.173
1/10/2019 18:00,0.254
1/10/2019 19:00,0.231
1/10/2019 20:00,0.162
1/10/2019 21:00,0.114
1/10/2019 22:00,0.1
1/10/2019 23:00,0.087
1/11/2019 0:00,0.079
1/11/2019 1:00,0.076
1/11/2019 2:00,0.073
1/11/2019 3:00,0.072
1/11/2019 4:00,0.067
1/11/2019 5:00,0.061
1/11/2019 6:00,0.056
1/11/2019 7:00,0.058
1/11/2019 8:00,0.04
1/11/2019 9:00,0.032
1/11/2019 10:00,0.013
1/11/2019 11:00,0.003
1/11/2019 12:00,0
1/11/2019 13:00,0
1/11/2019 14:00,0
1/11/2019 15:00,0
1/11/2019 16:00,0.012
1/11/2019 17:00,0.068
1/11/2019 18:00,0.098
1/11/2019 19:00,0.127
1/11/2019 20:00,0.095
1/11/2019 21:00,0.023
1/11/2019 22:00,0.008
1/11/2019 23:00,0.009
1/12/2019 0:00,0.016
1/12/2019 1:00,0.062
1/12/2019 2:00,0.128
1/12/2019 3:00,0.14
1/12/2019 4:00,0.11
1/12/2019 5:00,0.11
1/12/2019 6:00,0.16
1/12/2019 7:00,0.167
1/12/2019 8:00,0.084
1/12/2019 9:00,0.101
1/12/2019 10:00,0.112
1/12/2019 11:00,0.151
1/12/2019 12:00,0.156
1/12/2019 13:00,0.167
1/12/2019 14:00,0.177
1/12/2019 15:00,0.28
1/12/2019 16:00,0.391
1/12/2019 17:00,0.417
1/12/2019 18:00,0.353
1/12/2019 19:00,0.231
1/12/2019 20:00,0.205
1/12/2019 21:00,0.277
1/12/2019 22:00,0.281
1/12/2019 23:00,0.266
1/13/2019 0:00,0.212
1/13/2019 1:00,0.145
1/13/2019 2:00,0.099
1/13/2019 3:00,0.082
1/13/2019 4:00,0.09
1/13/2019 5:00,0.091
1/13/2019 6:00,0.084
1/13/2019 7:00,0.08
1/13/2019 8:00,0.055
1/13/2019 9:00,0.035
1/13/2019 10:00,0.035
1/13/2019 11:00,0.041
1/13/2019 12:00,0.046
1/13/2019 13:00,0.054
1/13/2019 14:00,0.051
1/13/2019 15:00,0.049
1/13/2019 16:00,0.074
1/13/2019 17:00,0.083
1/13/2019 18:00,0.105
1/13/2019 19:00,0.103
1/13/2019 20:00,0.104
1/13/2019 21:00,0.082
1/13/2019 22:00,0.065
1/13/2019 23:00,0.059
1/14/2019 0:00,0.049
1/14/2019 1:00,0.042
1/14/2019 2:00,0.041
1/14/2019 3:00,0.041
1/14/2019 4:00,0.032
1/14/2019 5:00,0.029
1/14/2019 6:00,0.022
1/14/2019 7:00,0.021
1/14/2019 8:00,0.013
1/14/2019 9:00,0.017
1/14/2019 10:00,0.018
1/14/2019 11:00,0.018
1/14/2019 12:00,0.023
1/14/2019 13:00,0.03
1/14/2019 14:00,0.037
1/14/2019 15:00,0.047
1/14/2019 16:00,0.045
1/14/2019 17:00,0.06
1/14/2019 18:00,0.098
1/14/2019 19:00,0.112
1/14/2019 20:00,0.108
1/14/2019 21:00,0.081
1/14/2019 22:00,0.066
1/14/2019 23:00,0.046
1/15/2019 0:00,0.027
1/15/2019 1:00,0.014
1/15/2019 2:00,0.015
1/15/2019 3:00,0.013
1/15/2019 4:00,0.014
1/15/2019 5:00,0.018
1/15/2019 6:00,0.021
1/15/2019 7:00,0.015
1/15/2019 8:00,0.005
1/15/2019 9:00,0.002
1/15/2019 10:00,0.001
1/15/2019 11:00,0.001
1/15/2019 12:00,0.002
1/15/2019 13:00,0.003
1/15/2019 14:00,0.005
1/15/2019 15:00,0.005
1/15/2019 16:00,0.004
1/15/2019 17:00,0.003
1/15/2019 18:00,0.004
1/15/2019 19:00,0.006
1/15/2019 20:00,0.012
1/15/2019 21:00,0.007
1/15/2019 22:00,0.002
1/15/2019 23:00,0.014
1/16/2019 0:00,0.048
1/16/2019 1:00,0.061
1/16/2019 2:00,0.03
1/16/2019 3:00,0.015
1/16/2019 4:00,0.021
1/16/2019 5:00,0.024
1/16/2019 6:00,0.024
1/16/2019 7:00,0.031
1/16/2019 8:00,0.017
1/16/2019 9:00,0.005
1/16/2019 10:00,0.002
1/16/2019 11:00,0.002
1/16/2019 12:00,0.002
1/16/2019 13:00,0.003
1/16/2019 14:00,0.004
1/16/2019 15:00,0.002
1/16/2019 16:00,0.002
1/16/2019 17:00,0.001
1/16/2019 18:00,0
1/16/2019 19:00,0.001
1/16/2019 20:00,0.003
