" ""local_time"": ""Etc/GMT+5"""," ""electricity"": ""kW""}"
1/1/2019 0:00,0.881
1/1/2019 1:00,0.863
1/1/2019 2:00,0.867
1/1/2019 3:00,0.871
1/1/2019 4:00,0.897
1/1/2019 5:00,0.93
1/1/2019 6:00,0.958
1/1/2019 7:00,0.972
1/1/2019 8:00,0.982
1/1/2019 9:00,0.986
1/1/2019 10:00,0.987
1/1/2019 11:00,0.986
1/1/2019 12:00,0.982
1/1/2019 13:00,0.98
1/1/2019 14:00,0.966
1/1/2019 15:00,0.931
1/1/2019 16:00,0.864
1/1/2019 17:00,0.786
1/1/2019 18:00,0.653
1/1/2019 19:00,0.571
1/1/2019 20:00,0.573
1/1/2019 21:00,0.59
1/1/2019 22:00,0.591
1/1/2019 23:00,0.507
1/2/2019 0:00,0.398
1/2/2019 1:00,0.244
1/2/2019 2:00,0.078
1/2/2019 3:00,0
1/2/2019 4:00,0
1/2/2019 5:00,0
1/2/2019 6:00,0
1/2/2019 7:00,0
1/2/2019 8:00,0.001
1/2/2019 9:00,0.018
1/2/2019 10:00,0.049
1/2/2019 11:00,0.081
1/2/2019 12:00,0.13
1/2/2019 13:00,0.184
1/2/2019 14:00,0.209
1/2/2019 15:00,0.286
1/2/2019 16:00,0.371
1/2/2019 17:00,0.422
1/2/2019 18:00,0.461
1/2/2019 19:00,0.491
1/2/2019 20:00,0.489
1/2/2019 21:00,0.456
1/2/2019 22:00,0.374
1/2/2019 23:00,0.302
1/3/2019 0:00,0.272
1/3/2019 1:00,0.298
1/3/2019 2:00,0.314
1/3/2019 3:00,0.34
1/3/2019 4:00,0.547
1/3/2019 5:00,0.826
1/3/2019 6:00,0.955
1/3/2019 7:00,0.975
1/3/2019 8:00,0.964
1/3/2019 9:00,0.927
1/3/2019 10:00,0.889
1/3/2019 11:00,0.879
1/3/2019 12:00,0.855
1/3/2019 13:00,0.817
1/3/2019 14:00,0.737
1/3/2019 15:00,0.641
1/3/2019 16:00,0.534
1/3/2019 17:00,0.376
1/3/2019 18:00,0.308
1/3/2019 19:00,0.349
1/3/2019 20:00,0.339
1/3/2019 21:00,0.238
1/3/2019 22:00,0.196
1/3/2019 23:00,0.176
1/4/2019 0:00,0.135
1/4/2019 1:00,0.107
1/4/2019 2:00,0.083
1/4/2019 3:00,0.056
1/4/2019 4:00,0.032
1/4/2019 5:00,0.012
1/4/2019 6:00,0.003
1/4/2019 7:00,0.002
1/4/2019 8:00,0.006
1/4/2019 9:00,0.021
1/4/2019 10:00,0.061
1/4/2019 11:00,0.097
1/4/2019 12:00,0.149
1/4/2019 13:00,0.21
1/4/2019 14:00,0.285
1/4/2019 15:00,0.355
1/4/2019 16:00,0.428
1/4/2019 17:00,0.491
1/4/2019 18:00,0.51
1/4/2019 19:00,0.508
1/4/2019 20:00,0.601
1/4/2019 21:00,0.744
1/4/2019 22:00,0.852
1/4/2019 23:00,0.898
1/5/2019 0:00,0.898
1/5/2019 1:00,0.888
1/5/2019 2:00,0.945
1/5/2019 3:00,0.977
1/5/2019 4:00,0.988
1/5/2019 5:00,0.989
1/5/2019 6:00,0.988
1/5/2019 7:00,0.983
1/5/2019 8:00,0.984
1/5/2019 9:00,0.98
1/5/2019 10:00,0.961
1/5/2019 11:00,0.974
1/5/2019 12:00,0.985
1/5/2019 13:00,0.991
1/5/2019 14:00,0.991
1/5/2019 15:00,0.991
1/5/2019 16:00,0.991
1/5/2019 17:00,0.988
1/5/2019 18:00,0.984
1/5/2019 19:00,0.98
1/5/2019 20:00,0.973
1/5/2019 21:00,0.969
1/5/2019 22:00,0.965
1/5/2019 23:00,0.949
1/6/2019 0:00,0.921
1/6/2019 1:00,0.893
1/6/2019 2:00,0.873
1/6/2019 3:00,0.831
1/6/2019 4:00,0.725
1/6/2019 5:00,0.564
1/6/2019 6:00,0.451
1/6/2019 7:00,0.4
1/6/2019 8:00,0.41
1/6/2019 9:00,0.447
1/6/2019 10:00,0.506
1/6/2019 11:00,0.561
1/6/2019 12:00,0.617
1/6/2019 13:00,0.627
1/6/2019 14:00,0.662
1/6/2019 15:00,0.679
1/6/2019 16:00,0.678
1/6/2019 17:00,0.701
1/6/2019 18:00,0.724
1/6/2019 19:00,0.762
1/6/2019 20:00,0.807
1/6/2019 21:00,0.847
1/6/2019 22:00,0.839
1/6/2019 23:00,0.84
1/7/2019 0:00,0.84
1/7/2019 1:00,0.835
1/7/2019 2:00,0.822
1/7/2019 3:00,0.818
1/7/2019 4:00,0.826
1/7/2019 5:00,0.815
1/7/2019 6:00,0.796
1/7/2019 7:00,0.763
1/7/2019 8:00,0.706
1/7/2019 9:00,0.638
1/7/2019 10:00,0.574
1/7/2019 11:00,0.475
1/7/2019 12:00,0.385
1/7/2019 13:00,0.289
1/7/2019 14:00,0.196
1/7/2019 15:00,0.178
1/7/2019 16:00,0.18
1/7/2019 17:00,0.158
1/7/2019 18:00,0.112
1/7/2019 19:00,0.074
