" ""local_time"": ""America/New_York"""," ""electricity"": ""kW""}"
1/1/2019 0:00,0.265
1/1/2019 1:00,0.268
1/1/2019 2:00,0.256
1/1/2019 3:00,0.237
1/1/2019 4:00,0.227
1/1/2019 5:00,0.195
1/1/2019 6:00,0.193
1/1/2019 7:00,0.183
1/1/2019 8:00,0.077
1/1/2019 9:00,0.027
1/1/2019 10:00,0.043
1/1/2019 11:00,0.076
1/1/2019 12:00,0.074
1/1/2019 13:00,0.059
1/1/2019 14:00,0.042
1/1/2019 15:00,0.034
1/1/2019 16:00,0.05
1/1/2019 17:00,0.1
1/1/2019 18:00,0.16
1/1/2019 19:00,0.196
1/1/2019 20:00,0.207
1/1/2019 21:00,0.2
1/1/2019 22:00,0.188
1/1/2019 23:00,0.175
1/2/2019 0:00,0.157
1/2/2019 1:00,0.132
1/2/2019 2:00,0.1
1/2/2019 3:00,0.067
1/2/2019 4:00,0.025
1/2/2019 5:00,0.003
1/2/2019 6:00,0
1/2/2019 7:00,0
1/2/2019 8:00,0
1/2/2019 9:00,0
1/2/2019 10:00,0
1/2/2019 11:00,0
1/2/2019 12:00,0.006
1/2/2019 13:00,0.017
1/2/2019 14:00,0.017
1/2/2019 15:00,0.012
1/2/2019 16:00,0.008
1/2/2019 17:00,0.013
1/2/2019 18:00,0.061
1/2/2019 19:00,0.156
1/2/2019 20:00,0.241
1/2/2019 21:00,0.3
1/2/2019 22:00,0.31
1/2/2019 23:00,0.308
1/3/2019 0:00,0.31
1/3/2019 1:00,0.289
1/3/2019 2:00,0.282
1/3/2019 3:00,0.295
1/3/2019 4:00,0.297
1/3/2019 5:00,0.307
1/3/2019 6:00,0.274
1/3/2019 7:00,0.236
1/3/2019 8:00,0.112
1/3/2019 9:00,0.074
1/3/2019 10:00,0.196
1/3/2019 11:00,0.292
1/3/2019 12:00,0.3
1/3/2019 13:00,0.272
1/3/2019 14:00,0.225
1/3/2019 15:00,0.166
1/3/2019 16:00,0.128
1/3/2019 17:00,0.169
1/3/2019 18:00,0.241
1/3/2019 19:00,0.269
1/3/2019 20:00,0.242
1/3/2019 21:00,0.196
1/3/2019 22:00,0.144
1/3/2019 23:00,0.1
1/4/2019 0:00,0.095
1/4/2019 1:00,0.112
1/4/2019 2:00,0.113
1/4/2019 3:00,0.097
