" ""local_time"": ""America/New_York"""," ""electricity"": ""kW""}"
1/1/2019 0:00,0.153
1/1/2019 1:00,0.134
1/1/2019 2:00,0.121
1/1/2019 3:00,0.111
1/1/2019 4:00,0.114
1/1/2019 5:00,0.144
1/1/2019 6:00,0.193
1/1/2019 7:00,0.253
1/1/2019 8:00,0.3
1/1/2019 9:00,0.356
1/1/2019 10:00,0.353
1/1/2019 11:00,0.302
1/1/2019 12:00,0.25
1/1/2019 13:00,0.206
1/1/2019 14:00,0.169
1/1/2019 15:00,0.135
1/1/2019 16:00,0.112
1/1/2019 17:00,0.108
1/1/2019 18:00,0.112
1/1/2019 19:00,0.128
1/1/2019 20:00,0.16
1/1/2019 21:00,0.206
1/1/2019 22:00,0.246
1/1/2019 23:00,0.278
1/2/2019 0:00,0.318
1/2/2019 1:00,0.358
1/2/2019 2:00,0.377
1/2/2019 3:00,0.376
1/2/2019 4:00,0.341
1/2/2019 5:00,0.291
1/2/2019 6:00,0.254
1/2/2019 7:00,0.23
1/2/2019 8:00,0.199
1/2/2019 9:00,0.185
1/2/2019 10:00,0.18
1/2/2019 11:00,0.17
1/2/2019 12:00,0.159
1/2/2019 13:00,0.133
1/2/2019 14:00,0.094
1/2/2019 15:00,0.074
1/2/2019 16:00,0.088
1/2/2019 17:00,0.145
1/2/2019 18:00,0.233
1/2/2019 19:00,0.334
1/2/2019 20:00,0.427
1/2/2019 21:00,0.504
1/2/2019 22:00,0.571
1/2/2019 23:00,0.63
1/3/2019 0:00,0.663
1/3/2019 1:00,0.668
1/3/2019 2:00,0.61
1/3/2019 3:00,0.535
1/3/2019 4:00,0.43
1/3/2019 5:00,0.334
1/3/2019 6:00,0.274
1/3/2019 7:00,0.261
1/3/2019 8:00,0.251
1/3/2019 9:00,0.259
1/3/2019 10:00,0.246
1/3/2019 11:00,0.211
1/3/2019 12:00,0.175
1/3/2019 13:00,0.148
1/3/2019 14:00,0.152
1/3/2019 15:00,0.196
1/3/2019 16:00,0.242
1/3/2019 17:00,0.245
1/3/2019 18:00,0.22
1/3/2019 19:00,0.196
1/3/2019 20:00,0.183
1/3/2019 21:00,0.177
1/3/2019 22:00,0.184
1/3/2019 23:00,0.207
1/4/2019 0:00,0.245
1/4/2019 1:00,0.264
1/4/2019 2:00,0.255
1/4/2019 3:00,0.227
1/4/2019 4:00,0.207
1/4/2019 5:00,0.209
1/4/2019 6:00,0.233
1/4/2019 7:00,0.272
1/4/2019 8:00,0.3
1/4/2019 9:00,0.349
1/4/2019 10:00,0.355
1/4/2019 11:00,0.343
1/4/2019 12:00,0.359
1/4/2019 13:00,0.407
1/4/2019 14:00,0.466
1/4/2019 15:00,0.523
1/4/2019 16:00,0.523
1/4/2019 17:00,0.448
1/4/2019 18:00,0.352
1/4/2019 19:00,0.26
1/4/2019 20:00,0.198
1/4/2019 21:00,0.177
1/4/2019 22:00,0.223
1/4/2019 23:00,0.305
1/5/2019 0:00,0.389
1/5/2019 1:00,0.435
1/5/2019 2:00,0.445
1/5/2019 3:00,0.434
1/5/2019 4:00,0.417
1/5/2019 5:00,0.398
1/5/2019 6:00,0.379
1/5/2019 7:00,0.316
1/5/2019 8:00,0.253
1/5/2019 9:00,0.22
1/5/2019 10:00,0.215
1/5/2019 11:00,0.208
1/5/2019 12:00,0.192
1/5/2019 13:00,0.187
1/5/2019 14:00,0.192
1/5/2019 15:00,0.201
1/5/2019 16:00,0.201
1/5/2019 17:00,0.21
1/5/2019 18:00,0.245
1/5/2019 19:00,0.285
1/5/2019 20:00,0.324
1/5/2019 21:00,0.355
1/5/2019 22:00,0.403
1/5/2019 23:00,0.457
1/6/2019 0:00,0.459
1/6/2019 1:00,0.422
1/6/2019 2:00,0.358
1/6/2019 3:00,0.272
1/6/2019 4:00,0.199
1/6/2019 5:00,0.175
1/6/2019 6:00,0.185
1/6/2019 7:00,0.164
1/6/2019 8:00,0.099
1/6/2019 9:00,0.046
1/6/2019 10:00,0.017
1/6/2019 11:00,0.006
1/6/2019 12:00,0.007
1/6/2019 13:00,0.023
1/6/2019 14:00,0.051
1/6/2019 15:00,0.077
1/6/2019 16:00,0.085
1/6/2019 17:00,0.084
1/6/2019 18:00,0.089
1/6/2019 19:00,0.09
1/6/2019 20:00,0.081
1/6/2019 21:00,0.071
1/6/2019 22:00,0.078
1/6/2019 23:00,0.101
1/7/2019 0:00,0.128
1/7/2019 1:00,0.144
1/7/2019 2:00,0.152
1/7/2019 3:00,0.157
1/7/2019 4:00,0.159
1/7/2019 5:00,0.16
1/7/2019 6:00,0.164
1/7/2019 7:00,0.171
1/7/2019 8:00,0.165
1/7/2019 9:00,0.157
1/7/2019 10:00,0.135
1/7/2019 11:00,0.109
1/7/2019 12:00,0.092
1/7/2019 13:00,0.084
1/7/2019 14:00,0.088
1/7/2019 15:00,0.101
1/7/2019 16:00,0.118
1/7/2019 17:00,0.146
1/7/2019 18:00,0.164
1/7/2019 19:00,0.167
1/7/2019 20:00,0.155
1/7/2019 21:00,0.125
1/7/2019 22:00,0.084
1/7/2019 23:00,0.042
1/8/2019 0:00,0.017
1/8/2019 1:00,0.008
1/8/2019 2:00,0.008
1/8/2019 3:00,0.012
1/8/2019 4:00,0.021
1/8/2019 5:00,0.029
1/8/2019 6:00,0.024
1/8/2019 7:00,0.011
1/8/2019 8:00,0.004
1/8/2019 9:00,0.002
1/8/2019 10:00,0.001
1/8/2019 11:00,0.001
1/8/2019 12:00,0
1/8/2019 13:00,0
1/8/2019 14:00,0
1/8/2019 15:00,0.001
1/8/2019 16:00,0.003
1/8/2019 17:00,0.003
1/8/2019 18:00,0.002
1/8/2019 19:00,0.001
1/8/2019 20:00,0.001
1/8/2019 21:00,0.001
1/8/2019 22:00,0
1/8/2019 23:00,0
1/9/2019 0:00,0
1/9/2019 1:00,0.004
1/9/2019 2:00,0.017
1/9/2019 3:00,0.052
1/9/2019 4:00,0.114
