" ""local_time"": ""America/Chicago"""," ""electricity"": ""kW""}"
1/1/2019 0:00,0.304
1/1/2019 1:00,0.231
1/1/2019 2:00,0.17
1/1/2019 3:00,0.113
1/1/2019 4:00,0.07
1/1/2019 5:00,0.044
1/1/2019 6:00,0.036
1/1/2019 7:00,0.046
1/1/2019 8:00,0.031
1/1/2019 9:00,0.035
1/1/2019 10:00,0.063
1/1/2019 11:00,0.057
1/1/2019 12:00,0.027
1/1/2019 13:00,0.01
1/1/2019 14:00,0.002
1/1/2019 15:00,0
1/1/2019 16:00,0
1/1/2019 17:00,0.007
1/1/2019 18:00,0.015
1/1/2019 19:00,0.035
1/1/2019 20:00,0.048
1/1/2019 21:00,0.058
1/1/2019 22:00,0.07
1/1/2019 23:00,0.063
1/2/2019 0:00,0.057
1/2/2019 1:00,0.055
1/2/2019 2:00,0.061
1/2/2019 3:00,0.063
1/2/2019 4:00,0.076
1/2/2019 5:00,0.087
1/2/2019 6:00,0.076
1/2/2019 7:00,0.026
1/2/2019 8:00,0.002
1/2/2019 9:00,0
1/2/2019 10:00,0
1/2/2019 11:00,0
1/2/2019 12:00,0.001
1/2/2019 13:00,0.001
1/2/2019 14:00,0.003
1/2/2019 15:00,0.005
1/2/2019 16:00,0.003
1/2/2019 17:00,0.015
1/2/2019 18:00,0.039
1/2/2019 19:00,0.058
1/2/2019 20:00,0.1
1/2/2019 21:00,0.166
1/2/2019 22:00,0.199
1/2/2019 23:00,0.263
1/3/2019 0:00,0.254
1/3/2019 1:00,0.22
1/3/2019 2:00,0.104
1/3/2019 3:00,0.023
1/3/2019 4:00,0.004
1/3/2019 5:00,0.007
1/3/2019 6:00,0.011
1/3/2019 7:00,0.014
1/3/2019 8:00,0.03
1/3/2019 9:00,0.026
1/3/2019 10:00,0.022
1/3/2019 11:00,0.018
1/3/2019 12:00,0.026
1/3/2019 13:00,0.044
1/3/2019 14:00,0.057
1/3/2019 15:00,0.101
1/3/2019 16:00,0.207
1/3/2019 17:00,0.321
1/3/2019 18:00,0.565
1/3/2019 19:00,0.683
1/3/2019 20:00,0.799
1/3/2019 21:00,0.889
1/3/2019 22:00,0.936
1/3/2019 23:00,0.925
1/4/2019 0:00,0.854
1/4/2019 1:00,0.792
1/4/2019 2:00,0.659
1/4/2019 3:00,0.578
1/4/2019 4:00,0.613
1/4/2019 5:00,0.682
1/4/2019 6:00,0.641
1/4/2019 7:00,0.642
1/4/2019 8:00,0.678
1/4/2019 9:00,0.677
1/4/2019 10:00,0.744
1/4/2019 11:00,0.794
1/4/2019 12:00,0.763
1/4/2019 13:00,0.756
1/4/2019 14:00,0.703
1/4/2019 15:00,0.586
1/4/2019 16:00,0.506
1/4/2019 17:00,0.498
1/4/2019 18:00,0.432
1/4/2019 19:00,0.375
1/4/2019 20:00,0.374
1/4/2019 21:00,0.417
1/4/2019 22:00,0.473
1/4/2019 23:00,0.443
1/5/2019 0:00,0.382
1/5/2019 1:00,0.317
