" ""local_time"": ""America/New_York"""," ""electricity"": ""kW""}"
1/1/2019 0:00,0.832
1/1/2019 1:00,0.891
1/1/2019 2:00,0.91
1/1/2019 3:00,0.889
1/1/2019 4:00,0.927
1/1/2019 5:00,0.969
1/1/2019 6:00,0.962
1/1/2019 7:00,0.966
1/1/2019 8:00,0.972
1/1/2019 9:00,0.971
1/1/2019 10:00,0.97
1/1/2019 11:00,0.969
1/1/2019 12:00,0.938
1/1/2019 13:00,0.898
1/1/2019 14:00,0.863
1/1/2019 15:00,0.812
1/1/2019 16:00,0.759
1/1/2019 17:00,0.725
1/1/2019 18:00,0.678
1/1/2019 19:00,0.599
1/1/2019 20:00,0.525
1/1/2019 21:00,0.446
1/1/2019 22:00,0.367
1/1/2019 23:00,0.323
1/2/2019 0:00,0.312
1/2/2019 1:00,0.308
1/2/2019 2:00,0.301
1/2/2019 3:00,0.29
1/2/2019 4:00,0.272
1/2/2019 5:00,0.252
1/2/2019 6:00,0.236
1/2/2019 7:00,0.223
1/2/2019 8:00,0.167
1/2/2019 9:00,0.141
1/2/2019 10:00,0.064
1/2/2019 11:00,0.009
1/2/2019 12:00,0.001
1/2/2019 13:00,0
1/2/2019 14:00,0.001
1/2/2019 15:00,0.028
1/2/2019 16:00,0.109
1/2/2019 17:00,0.154
1/2/2019 18:00,0.181
1/2/2019 19:00,0.218
1/2/2019 20:00,0.259
1/2/2019 21:00,0.272
1/2/2019 22:00,0.341
1/2/2019 23:00,0.377
1/3/2019 0:00,0.341
1/3/2019 1:00,0.246
1/3/2019 2:00,0.211
1/3/2019 3:00,0.212
1/3/2019 4:00,0.236
1/3/2019 5:00,0.231
1/3/2019 6:00,0.231
1/3/2019 7:00,0.299
1/3/2019 8:00,0.31
1/3/2019 9:00,0.321
1/3/2019 10:00,0.566
1/3/2019 11:00,0.693
1/3/2019 12:00,0.633
1/3/2019 13:00,0.501
1/3/2019 14:00,0.381
1/3/2019 15:00,0.323
1/3/2019 16:00,0.343
1/3/2019 17:00,0.324
1/3/2019 18:00,0.229
1/3/2019 19:00,0.17
1/3/2019 20:00,0.142
1/3/2019 21:00,0.093
1/3/2019 22:00,0.064
1/3/2019 23:00,0.116
1/4/2019 0:00,0.197
1/4/2019 1:00,0.245
1/4/2019 2:00,0.32
1/4/2019 3:00,0.319
1/4/2019 4:00,0.305
1/4/2019 5:00,0.261
1/4/2019 6:00,0.232
1/4/2019 7:00,0.261
1/4/2019 8:00,0.24
1/4/2019 9:00,0.233
1/4/2019 10:00,0.362
1/4/2019 11:00,0.376
1/4/2019 12:00,0.383
1/4/2019 13:00,0.351
1/4/2019 14:00,0.307
1/4/2019 15:00,0.305
1/4/2019 16:00,0.398
1/4/2019 17:00,0.385
1/4/2019 18:00,0.285
1/4/2019 19:00,0.235
1/4/2019 20:00,0.185
1/4/2019 21:00,0.181
1/4/2019 22:00,0.208
1/4/2019 23:00,0.109
1/5/2019 0:00,0.068
1/5/2019 1:00,0.118
1/5/2019 2:00,0.227
1/5/2019 3:00,0.315
1/5/2019 4:00,0.408
1/5/2019 5:00,0.506
1/5/2019 6:00,0.504
1/5/2019 7:00,0.563
1/5/2019 8:00,0.55
1/5/2019 9:00,0.401
1/5/2019 10:00,0.524
1/5/2019 11:00,0.642
1/5/2019 12:00,0.661
1/5/2019 13:00,0.535
1/5/2019 14:00,0.437
1/5/2019 15:00,0.484
1/5/2019 16:00,0.566
1/5/2019 17:00,0.6
1/5/2019 18:00,0.599
1/5/2019 19:00,0.579
1/5/2019 20:00,0.55
1/5/2019 21:00,0.544
1/5/2019 22:00,0.519
1/5/2019 23:00,0.467
1/6/2019 0:00,0.401
1/6/2019 1:00,0.365
1/6/2019 2:00,0.341
1/6/2019 3:00,0.32
1/6/2019 4:00,0.274
1/6/2019 5:00,0.291
1/6/2019 6:00,0.374
1/6/2019 7:00,0.452
1/6/2019 8:00,0.495
1/6/2019 9:00,0.469
1/6/2019 10:00,0.695
1/6/2019 11:00,0.821
1/6/2019 12:00,0.868
1/6/2019 13:00,0.867
1/6/2019 14:00,0.842
1/6/2019 15:00,0.824
1/6/2019 16:00,0.858
1/6/2019 17:00,0.89
1/6/2019 18:00,0.894
1/6/2019 19:00,0.881
1/6/2019 20:00,0.854
1/6/2019 21:00,0.802
1/6/2019 22:00,0.73
1/6/2019 23:00,0.672
1/7/2019 0:00,0.606
1/7/2019 1:00,0.566
1/7/2019 2:00,0.522
1/7/2019 3:00,0.488
1/7/2019 4:00,0.429
1/7/2019 5:00,0.365
1/7/2019 6:00,0.316
1/7/2019 7:00,0.334
1/7/2019 8:00,0.352
1/7/2019 9:00,0.307
