" ""local_time"": ""America/New_York"""," ""electricity"": ""kW""}"
1/1/2019 0:00,0.093
1/1/2019 1:00,0.074
1/1/2019 2:00,0.063
1/1/2019 3:00,0.056
1/1/2019 4:00,0.058
1/1/2019 5:00,0.073
1/1/2019 6:00,0.094
1/1/2019 7:00,0.119
1/1/2019 8:00,0.119
1/1/2019 9:00,0.203
1/1/2019 10:00,0.237
1/1/2019 11:00,0.219
1/1/2019 12:00,0.191
1/1/2019 13:00,0.16
1/1/2019 14:00,0.122
1/1/2019 15:00,0.088
1/1/2019 16:00,0.068
1/1/2019 17:00,0.093
1/1/2019 18:00,0.132
1/1/2019 19:00,0.168
1/1/2019 20:00,0.204
1/1/2019 21:00,0.234
1/1/2019 22:00,0.245
1/1/2019 23:00,0.249
1/2/2019 0:00,0.259
1/2/2019 1:00,0.27
1/2/2019 2:00,0.261
1/2/2019 3:00,0.238
1/2/2019 4:00,0.197
1/2/2019 5:00,0.153
1/2/2019 6:00,0.118
1/2/2019 7:00,0.095
1/2/2019 8:00,0.07
1/2/2019 9:00,0.086
1/2/2019 10:00,0.068
1/2/2019 11:00,0.062
1/2/2019 12:00,0.065
1/2/2019 13:00,0.048
1/2/2019 14:00,0.025
1/2/2019 15:00,0.021
1/2/2019 16:00,0.066
1/2/2019 17:00,0.233
1/2/2019 18:00,0.413
1/2/2019 19:00,0.459
1/2/2019 20:00,0.453
1/2/2019 21:00,0.464
1/2/2019 22:00,0.498
1/2/2019 23:00,0.513
1/3/2019 0:00,0.476
1/3/2019 1:00,0.448
1/3/2019 2:00,0.441
1/3/2019 3:00,0.367
1/3/2019 4:00,0.292
1/3/2019 5:00,0.296
1/3/2019 6:00,0.337
1/3/2019 7:00,0.349
1/3/2019 8:00,0.245
1/3/2019 9:00,0.258
1/3/2019 10:00,0.23
1/3/2019 11:00,0.176
1/3/2019 12:00,0.146
1/3/2019 13:00,0.133
1/3/2019 14:00,0.143
1/3/2019 15:00,0.191
1/3/2019 16:00,0.218
1/3/2019 17:00,0.247
1/3/2019 18:00,0.27
1/3/2019 19:00,0.26
1/3/2019 20:00,0.231
1/3/2019 21:00,0.203
1/3/2019 22:00,0.174
1/3/2019 23:00,0.157
1/4/2019 0:00,0.165
1/4/2019 1:00,0.179
1/4/2019 2:00,0.185
1/4/2019 3:00,0.194
1/4/2019 4:00,0.221
1/4/2019 5:00,0.272
1/4/2019 6:00,0.332
1/4/2019 7:00,0.377
1/4/2019 8:00,0.302
1/4/2019 9:00,0.398
1/4/2019 10:00,0.394
1/4/2019 11:00,0.364
1/4/2019 12:00,0.391
1/4/2019 13:00,0.456
1/4/2019 14:00,0.538
1/4/2019 15:00,0.628
1/4/2019 16:00,0.663
1/4/2019 17:00,0.647
1/4/2019 18:00,0.583
1/4/2019 19:00,0.472
1/4/2019 20:00,0.413
1/4/2019 21:00,0.445
1/4/2019 22:00,0.524
1/4/2019 23:00,0.559
1/5/2019 0:00,0.549
1/5/2019 1:00,0.504
1/5/2019 2:00,0.497
1/5/2019 3:00,0.424
1/5/2019 4:00,0.407
1/5/2019 5:00,0.386
1/5/2019 6:00,0.309
1/5/2019 7:00,0.237
1/5/2019 8:00,0.195
1/5/2019 9:00,0.236
1/5/2019 10:00,0.314
1/5/2019 11:00,0.375
1/5/2019 12:00,0.417
1/5/2019 13:00,0.448
1/5/2019 14:00,0.462
1/5/2019 15:00,0.454
1/5/2019 16:00,0.419
1/5/2019 17:00,0.404
1/5/2019 18:00,0.437
1/5/2019 19:00,0.45
1/5/2019 20:00,0.468
1/5/2019 21:00,0.459
1/5/2019 22:00,0.457
1/5/2019 23:00,0.436
1/6/2019 0:00,0.395
1/6/2019 1:00,0.348
1/6/2019 2:00,0.3
1/6/2019 3:00,0.26
1/6/2019 4:00,0.254
1/6/2019 5:00,0.289
1/6/2019 6:00,0.294
1/6/2019 7:00,0.228
1/6/2019 8:00,0.106
1/6/2019 9:00,0.039
1/6/2019 10:00,0.012
1/6/2019 11:00,0.008
1/6/2019 12:00,0.022
1/6/2019 13:00,0.042
