" ""local_time"": ""America/New_York"""," ""electricity"": ""kW""}"
1/1/2019 0:00,0.942
1/1/2019 1:00,0.951
1/1/2019 2:00,0.947
1/1/2019 3:00,0.948
1/1/2019 4:00,0.954
1/1/2019 5:00,0.973
1/1/2019 6:00,0.975
1/1/2019 7:00,0.972
1/1/2019 8:00,0.966
1/1/2019 9:00,0.949
1/1/2019 10:00,0.939
1/1/2019 11:00,0.923
1/1/2019 12:00,0.888
1/1/2019 13:00,0.845
1/1/2019 14:00,0.808
1/1/2019 15:00,0.748
1/1/2019 16:00,0.682
1/1/2019 17:00,0.645
1/1/2019 18:00,0.599
1/1/2019 19:00,0.531
1/1/2019 20:00,0.462
1/1/2019 21:00,0.374
1/1/2019 22:00,0.311
1/1/2019 23:00,0.282
1/2/2019 0:00,0.248
1/2/2019 1:00,0.228
1/2/2019 2:00,0.228
1/2/2019 3:00,0.235
1/2/2019 4:00,0.207
1/2/2019 5:00,0.172
1/2/2019 6:00,0.148
1/2/2019 7:00,0.147
1/2/2019 8:00,0.118
1/2/2019 9:00,0.06
1/2/2019 10:00,0.041
1/2/2019 11:00,0.021
1/2/2019 12:00,0.012
1/2/2019 13:00,0.008
1/2/2019 14:00,0.028
1/2/2019 15:00,0.089
1/2/2019 16:00,0.174
1/2/2019 17:00,0.231
1/2/2019 18:00,0.239
1/2/2019 19:00,0.259
1/2/2019 20:00,0.291
1/2/2019 21:00,0.282
1/2/2019 22:00,0.37
1/2/2019 23:00,0.423
1/3/2019 0:00,0.386
1/3/2019 1:00,0.315
1/3/2019 2:00,0.321
1/3/2019 3:00,0.247
1/3/2019 4:00,0.28
1/3/2019 5:00,0.347
1/3/2019 6:00,0.348
1/3/2019 7:00,0.333
1/3/2019 8:00,0.34
1/3/2019 9:00,0.305
1/3/2019 10:00,0.494
1/3/2019 11:00,0.547
1/3/2019 12:00,0.438
1/3/2019 13:00,0.304
1/3/2019 14:00,0.211
1/3/2019 15:00,0.182
1/3/2019 16:00,0.233
1/3/2019 17:00,0.238
1/3/2019 18:00,0.148
1/3/2019 19:00,0.108
1/3/2019 20:00,0.102
1/3/2019 21:00,0.076
1/3/2019 22:00,0.051
1/3/2019 23:00,0.06
1/4/2019 0:00,0.055
1/4/2019 1:00,0.078
1/4/2019 2:00,0.149
1/4/2019 3:00,0.169
1/4/2019 4:00,0.182
1/4/2019 5:00,0.214
1/4/2019 6:00,0.27
1/4/2019 7:00,0.298
1/4/2019 8:00,0.158
1/4/2019 9:00,0.076
1/4/2019 10:00,0.136
1/4/2019 11:00,0.185
1/4/2019 12:00,0.179
1/4/2019 13:00,0.121
1/4/2019 14:00,0.071
1/4/2019 15:00,0.133
1/4/2019 16:00,0.253
1/4/2019 17:00,0.253
1/4/2019 18:00,0.277
1/4/2019 19:00,0.295
1/4/2019 20:00,0.315
1/4/2019 21:00,0.341
1/4/2019 22:00,0.251
1/4/2019 23:00,0.155
1/5/2019 0:00,0.211
1/5/2019 1:00,0.251
1/5/2019 2:00,0.352
1/5/2019 3:00,0.436
1/5/2019 4:00,0.437
1/5/2019 5:00,0.396
1/5/2019 6:00,0.201
1/5/2019 7:00,0.152
1/5/2019 8:00,0.17
1/5/2019 9:00,0.205
1/5/2019 10:00,0.335
1/5/2019 11:00,0.386
1/5/2019 12:00,0.374
1/5/2019 13:00,0.404
1/5/2019 14:00,0.515
1/5/2019 15:00,0.583
1/5/2019 16:00,0.653
1/5/2019 17:00,0.674
1/5/2019 18:00,0.649
1/5/2019 19:00,0.544
1/5/2019 20:00,0.513
1/5/2019 21:00,0.472
1/5/2019 22:00,0.462
1/5/2019 23:00,0.457
1/6/2019 0:00,0.434
1/6/2019 1:00,0.391
1/6/2019 2:00,0.382
1/6/2019 3:00,0.358
1/6/2019 4:00,0.345
1/6/2019 5:00,0.36
1/6/2019 6:00,0.556
1/6/2019 7:00,0.608
1/6/2019 8:00,0.617
1/6/2019 9:00,0.69
1/6/2019 10:00,0.778
1/6/2019 11:00,0.814
1/6/2019 12:00,0.844
1/6/2019 13:00,0.84
1/6/2019 14:00,0.812
1/6/2019 15:00,0.762
1/6/2019 16:00,0.757
1/6/2019 17:00,0.768
1/6/2019 18:00,0.768
1/6/2019 19:00,0.743
1/6/2019 20:00,0.708
1/6/2019 21:00,0.668
1/6/2019 22:00,0.605
1/6/2019 23:00,0.507
1/7/2019 0:00,0.432
1/7/2019 1:00,0.369
1/7/2019 2:00,0.31
1/7/2019 3:00,0.269
1/7/2019 4:00,0.219
1/7/2019 5:00,0.174
1/7/2019 6:00,0.137
1/7/2019 7:00,0.098
1/7/2019 8:00,0.109
1/7/2019 9:00,0.123
1/7/2019 10:00,0.11
1/7/2019 11:00,0.059
1/7/2019 12:00,0.025
1/7/2019 13:00,0.018
1/7/2019 14:00,0.02
1/7/2019 15:00,0.025
1/7/2019 16:00,0.048
1/7/2019 17:00,0.123
1/7/2019 18:00,0.163
1/7/2019 19:00,0.164
1/7/2019 20:00,0.187
1/7/2019 21:00,0.232
1/7/2019 22:00,0.23
1/7/2019 23:00,0.179
1/8/2019 0:00,0.189
1/8/2019 1:00,0.266
1/8/2019 2:00,0.264
1/8/2019 3:00,0.259
1/8/2019 4:00,0.291
1/8/2019 5:00,0.252
1/8/2019 6:00,0.23
1/8/2019 7:00,0.162
1/8/2019 8:00,0.062
1/8/2019 9:00,0.004
1/8/2019 10:00,0.002
1/8/2019 11:00,0.002
1/8/2019 12:00,0.009
1/8/2019 13:00,0.011
1/8/2019 14:00,0.02
1/8/2019 15:00,0.045
1/8/2019 16:00,0.091
1/8/2019 17:00,0.104
1/8/2019 18:00,0.064
1/8/2019 19:00,0.02
1/8/2019 20:00,0.025
1/8/2019 21:00,0.261
1/8/2019 22:00,0.448
1/8/2019 23:00,0.749
1/9/2019 0:00,0.952
1/9/2019 1:00,0.979
1/9/2019 2:00,0.982
1/9/2019 3:00,0.97
1/9/2019 4:00,0.955
1/9/2019 5:00,0.924
1/9/2019 6:00,0.915
1/9/2019 7:00,0.881
1/9/2019 8:00,0.791
1/9/2019 9:00,0.739
1/9/2019 10:00,0.861
1/9/2019 11:00,0.901
1/9/2019 12:00,0.899
1/9/2019 13:00,0.892
1/9/2019 14:00,0.863
1/9/2019 15:00,0.829
1/9/2019 16:00,0.832
1/9/2019 17:00,0.847
1/9/2019 18:00,0.832
1/9/2019 19:00,0.822
1/9/2019 20:00,0.844
1/9/2019 21:00,0.862
1/9/2019 22:00,0.858
1/9/2019 23:00,0.858
1/10/2019 0:00,0.87
1/10/2019 1:00,0.877
1/10/2019 2:00,0.881
1/10/2019 3:00,0.88
1/10/2019 4:00,0.876
1/10/2019 5:00,0.881
1/10/2019 6:00,0.886
1/10/2019 7:00,0.895
1/10/2019 8:00,0.91
1/10/2019 9:00,0.928
1/10/2019 10:00,0.941
1/10/2019 11:00,0.951
1/10/2019 12:00,0.955
1/10/2019 13:00,0.953
1/10/2019 14:00,0.944
1/10/2019 15:00,0.928
1/10/2019 16:00,0.902
1/10/2019 17:00,0.878
1/10/2019 18:00,0.859
1/10/2019 19:00,0.839
1/10/2019 20:00,0.817
1/10/2019 21:00,0.791
1/10/2019 22:00,0.768
1/10/2019 23:00,0.766
1/11/2019 0:00,0.766
1/11/2019 1:00,0.768
1/11/2019 2:00,0.773
1/11/2019 3:00,0.759
1/11/2019 4:00,0.727
1/11/2019 5:00,0.694
1/11/2019 6:00,0.652
1/11/2019 7:00,0.648
1/11/2019 8:00,0.678
1/11/2019 9:00,0.68
1/11/2019 10:00,0.668
1/11/2019 11:00,0.635
1/11/2019 12:00,0.621
1/11/2019 13:00,0.593
1/11/2019 14:00,0.525
1/11/2019 15:00,0.425
1/11/2019 16:00,0.373
1/11/2019 17:00,0.35
1/11/2019 18:00,0.295
1/11/2019 19:00,0.258
1/11/2019 20:00,0.238
1/11/2019 21:00,0.208
1/11/2019 22:00,0.183
1/11/2019 23:00,0.16
1/12/2019 0:00,0.135
1/12/2019 1:00,0.093
1/12/2019 2:00,0.063
1/12/2019 3:00,0.045
1/12/2019 4:00,0.041
1/12/2019 5:00,0.045
1/12/2019 6:00,0.037
1/12/2019 7:00,0.026
1/12/2019 8:00,0.011
1/12/2019 9:00,0.006
1/12/2019 10:00,0.002
1/12/2019 11:00,0
1/12/2019 12:00,0.001
1/12/2019 13:00,0.002
1/12/2019 14:00,0.001
1/12/2019 15:00,0.001
1/12/2019 16:00,0
1/12/2019 17:00,0
1/12/2019 18:00,0
1/12/2019 19:00,0.001
1/12/2019 20:00,0.001
1/12/2019 21:00,0.002
1/12/2019 22:00,0
1/12/2019 23:00,0
1/13/2019 0:00,0
1/13/2019 1:00,0.003
1/13/2019 2:00,0.018
1/13/2019 3:00,0.035
1/13/2019 4:00,0.057
1/13/2019 5:00,0.093
1/13/2019 6:00,0.102
1/13/2019 7:00,0.133
1/13/2019 8:00,0.241
1/13/2019 9:00,0.338
1/13/2019 10:00,0.407
1/13/2019 11:00,0.415
1/13/2019 12:00,0.42
1/13/2019 13:00,0.429
1/13/2019 14:00,0.44
1/13/2019 15:00,0.433
1/13/2019 16:00,0.466
1/13/2019 17:00,0.499
1/13/2019 18:00,0.508
1/13/2019 19:00,0.507
1/13/2019 20:00,0.472
1/13/2019 21:00,0.418
1/13/2019 22:00,0.379
1/13/2019 23:00,0.341
1/14/2019 0:00,0.361
1/14/2019 1:00,0.392
1/14/2019 2:00,0.402
1/14/2019 3:00,0.379
1/14/2019 4:00,0.337
1/14/2019 5:00,0.311
1/14/2019 6:00,0.27
1/14/2019 7:00,0.233
1/14/2019 8:00,0.241
1/14/2019 9:00,0.256
1/14/2019 10:00,0.197
1/14/2019 11:00,0.131
1/14/2019 12:00,0.09
1/14/2019 13:00,0.07
1/14/2019 14:00,0.055
1/14/2019 15:00,0.032
1/14/2019 16:00,0.026
1/14/2019 17:00,0.058
1/14/2019 18:00,0.131
1/14/2019 19:00,0.23
1/14/2019 20:00,0.291
1/14/2019 21:00,0.282
1/14/2019 22:00,0.245
1/14/2019 23:00,0.219
1/15/2019 0:00,0.207
1/15/2019 1:00,0.221
1/15/2019 2:00,0.253
1/15/2019 3:00,0.277
1/15/2019 4:00,0.285
1/15/2019 5:00,0.309
1/15/2019 6:00,0.337
1/15/2019 7:00,0.344
1/15/2019 8:00,0.17
1/15/2019 9:00,0.152
1/15/2019 10:00,0.112
1/15/2019 11:00,0.062
1/15/2019 12:00,0.045
1/15/2019 13:00,0.043
1/15/2019 14:00,0.042
1/15/2019 15:00,0.055
1/15/2019 16:00,0.103
1/15/2019 17:00,0.133
1/15/2019 18:00,0.123
1/15/2019 19:00,0.095
1/15/2019 20:00,0.068
1/15/2019 21:00,0.056
1/15/2019 22:00,0.067
1/15/2019 23:00,0.108
1/16/2019 0:00,0.188
1/16/2019 1:00,0.286
1/16/2019 2:00,0.341
1/16/2019 3:00,0.317
1/16/2019 4:00,0.305
1/16/2019 5:00,0.324
1/16/2019 6:00,0.343
1/16/2019 7:00,0.332
1/16/2019 8:00,0.152
1/16/2019 9:00,0.107
1/16/2019 10:00,0.444
1/16/2019 11:00,0.506
1/16/2019 12:00,0.516
1/16/2019 13:00,0.513
1/16/2019 14:00,0.422
1/16/2019 15:00,0.38
1/16/2019 16:00,0.476
1/16/2019 17:00,0.535
1/16/2019 18:00,0.543
1/16/2019 19:00,0.534
1/16/2019 20:00,0.503
1/16/2019 21:00,0.483
1/16/2019 22:00,0.466
1/16/2019 23:00,0.43
1/17/2019 0:00,0.37
1/17/2019 1:00,0.292
1/17/2019 2:00,0.226
1/17/2019 3:00,0.167
1/17/2019 4:00,0.137
1/17/2019 5:00,0.152
1/17/2019 6:00,0.16
1/17/2019 7:00,0.147
1/17/2019 8:00,0.102
1/17/2019 9:00,0.074
1/17/2019 10:00,0.038
1/17/2019 11:00,0.024
1/17/2019 12:00,0.021
1/17/2019 13:00,0.017
1/17/2019 14:00,0.012
1/17/2019 15:00,0.01
1/17/2019 16:00,0.028
1/17/2019 17:00,0.074
1/17/2019 18:00,0.104
1/17/2019 19:00,0.127
1/17/2019 20:00,0.147
1/17/2019 21:00,0.123
1/17/2019 22:00,0.105
1/17/2019 23:00,0.079
1/18/2019 0:00,0.047
1/18/2019 1:00,0.041
1/18/2019 2:00,0.036
1/18/2019 3:00,0.031
1/18/2019 4:00,0.036
1/18/2019 5:00,0.05
1/18/2019 6:00,0.052
1/18/2019 7:00,0.026
1/18/2019 8:00,0.001
1/18/2019 9:00,0
1/18/2019 10:00,0
1/18/2019 11:00,0.005
1/18/2019 12:00,0.013
1/18/2019 13:00,0.025
1/18/2019 14:00,0.037
1/18/2019 15:00,0.05
1/18/2019 16:00,0.072
1/18/2019 17:00,0.107
1/18/2019 18:00,0.126
1/18/2019 19:00,0.096
1/18/2019 20:00,0.096
1/18/2019 21:00,0.133
1/18/2019 22:00,0.141
1/18/2019 23:00,0.127
1/19/2019 0:00,0.142
1/19/2019 1:00,0.185
1/19/2019 2:00,0.227
1/19/2019 3:00,0.245
1/19/2019 4:00,0.245
1/19/2019 5:00,0.272
1/19/2019 6:00,0.251
1/19/2019 7:00,0.194
1/19/2019 8:00,0.096
1/19/2019 9:00,0.039
1/19/2019 10:00,0.13
1/19/2019 11:00,0.149
1/19/2019 12:00,0.12
1/19/2019 13:00,0.087
1/19/2019 14:00,0.132
1/19/2019 15:00,0.281
1/19/2019 16:00,0.328
1/19/2019 17:00,0.42
1/19/2019 18:00,0.459
1/19/2019 19:00,0.537
1/19/2019 20:00,0.779
1/19/2019 21:00,0.865
1/19/2019 22:00,0.91
1/19/2019 23:00,0.935
1/20/2019 0:00,0.93
