" ""local_time"": ""America/New_York"""," ""electricity"": ""kW""}"
1/1/2019 0:00,0.493
1/1/2019 1:00,0.559
1/1/2019 2:00,0.633
1/1/2019 3:00,0.653
1/1/2019 4:00,0.606
1/1/2019 5:00,0.523
1/1/2019 6:00,0.594
1/1/2019 7:00,0.616
1/1/2019 8:00,0.638
1/1/2019 9:00,0.615
1/1/2019 10:00,0.583
1/1/2019 11:00,0.449
1/1/2019 12:00,0.353
1/1/2019 13:00,0.243
1/1/2019 14:00,0.192
1/1/2019 15:00,0.155
1/1/2019 16:00,0.185
1/1/2019 17:00,0.289
1/1/2019 18:00,0.379
1/1/2019 19:00,0.339
1/1/2019 20:00,0.294
1/1/2019 21:00,0.223
1/1/2019 22:00,0.172
1/1/2019 23:00,0.137
1/2/2019 0:00,0.102
1/2/2019 1:00,0.085
1/2/2019 2:00,0.068
1/2/2019 3:00,0.041
1/2/2019 4:00,0.033
1/2/2019 5:00,0.039
1/2/2019 6:00,0.041
1/2/2019 7:00,0.041
1/2/2019 8:00,0.019
1/2/2019 9:00,0.002
1/2/2019 10:00,0.001
1/2/2019 11:00,0.001
1/2/2019 12:00,0.006
1/2/2019 13:00,0.013
1/2/2019 14:00,0.017
1/2/2019 15:00,0.017
1/2/2019 16:00,0.033
1/2/2019 17:00,0.027
1/2/2019 18:00,0.035
1/2/2019 19:00,0.093
1/2/2019 20:00,0.13
1/2/2019 21:00,0.115
1/2/2019 22:00,0.112
1/2/2019 23:00,0.139
1/3/2019 0:00,0.238
1/3/2019 1:00,0.244
1/3/2019 2:00,0.276
1/3/2019 3:00,0.233
1/3/2019 4:00,0.133
1/3/2019 5:00,0.141
1/3/2019 6:00,0.231
1/3/2019 7:00,0.148
1/3/2019 8:00,0.105
1/3/2019 9:00,0.045
1/3/2019 10:00,0.028
1/3/2019 11:00,0.019
1/3/2019 12:00,0.035
1/3/2019 13:00,0.039
1/3/2019 14:00,0.021
1/3/2019 15:00,0.021
1/3/2019 16:00,0.03
1/3/2019 17:00,0.032
1/3/2019 18:00,0.034
1/3/2019 19:00,0.031
1/3/2019 20:00,0.052
1/3/2019 21:00,0.087
1/3/2019 22:00,0.122
1/3/2019 23:00,0.105
1/4/2019 0:00,0.102
1/4/2019 1:00,0.087
1/4/2019 2:00,0.056
1/4/2019 3:00,0.033
1/4/2019 4:00,0.018
1/4/2019 5:00,0.02
1/4/2019 6:00,0.024
1/4/2019 7:00,0.025
1/4/2019 8:00,0.028
1/4/2019 9:00,0.029
1/4/2019 10:00,0.021
1/4/2019 11:00,0.015
1/4/2019 12:00,0.012
1/4/2019 13:00,0.005
1/4/2019 14:00,0.005
1/4/2019 15:00,0.043
1/4/2019 16:00,0.093
1/4/2019 17:00,0.093
1/4/2019 18:00,0.087
1/4/2019 19:00,0.091
1/4/2019 20:00,0.169
1/4/2019 21:00,0.092
1/4/2019 22:00,0.149
1/4/2019 23:00,0.128
1/5/2019 0:00,0.07
1/5/2019 1:00,0.115
1/5/2019 2:00,0.093
1/5/2019 3:00,0.165
1/5/2019 4:00,0.195
1/5/2019 5:00,0.234
1/5/2019 6:00,0.327
1/5/2019 7:00,0.374
1/5/2019 8:00,0.362
1/5/2019 9:00,0.51
1/5/2019 10:00,0.596
1/5/2019 11:00,0.668
1/5/2019 12:00,0.729
1/5/2019 13:00,0.728
1/5/2019 14:00,0.697
1/5/2019 15:00,0.625
1/5/2019 16:00,0.655
1/5/2019 17:00,0.666
1/5/2019 18:00,0.624
1/5/2019 19:00,0.485
1/5/2019 20:00,0.366
1/5/2019 21:00,0.344
1/5/2019 22:00,0.335
1/5/2019 23:00,0.331
1/6/2019 0:00,0.322
1/6/2019 1:00,0.311
1/6/2019 2:00,0.311
1/6/2019 3:00,0.295
1/6/2019 4:00,0.291
1/6/2019 5:00,0.32
1/6/2019 6:00,0.323
1/6/2019 7:00,0.311
1/6/2019 8:00,0.136
1/6/2019 9:00,0.049
1/6/2019 10:00,0.144
1/6/2019 11:00,0.225
1/6/2019 12:00,0.263
1/6/2019 13:00,0.258
1/6/2019 14:00,0.212
1/6/2019 15:00,0.18
1/6/2019 16:00,0.265
1/6/2019 17:00,0.407
1/6/2019 18:00,0.454
1/6/2019 19:00,0.432
1/6/2019 20:00,0.367
1/6/2019 21:00,0.287
1/6/2019 22:00,0.302
1/6/2019 23:00,0.284
1/7/2019 0:00,0.235
1/7/2019 1:00,0.225
1/7/2019 2:00,0.231
1/7/2019 3:00,0.176
1/7/2019 4:00,0.121
1/7/2019 5:00,0.094
1/7/2019 6:00,0.087
1/7/2019 7:00,0.073
1/7/2019 8:00,0.055
1/7/2019 9:00,0.145
1/7/2019 10:00,0.075
1/7/2019 11:00,0.04
1/7/2019 12:00,0.026
1/7/2019 13:00,0.036
1/7/2019 14:00,0.068
1/7/2019 15:00,0.077
1/7/2019 16:00,0.139
1/7/2019 17:00,0.349
1/7/2019 18:00,0.274
1/7/2019 19:00,0.214
1/7/2019 20:00,0.17
1/7/2019 21:00,0.145
1/7/2019 22:00,0.149
1/7/2019 23:00,0.227
1/8/2019 0:00,0.212
1/8/2019 1:00,0.311
1/8/2019 2:00,0.328
1/8/2019 3:00,0.249
1/8/2019 4:00,0.279
1/8/2019 5:00,0.289
1/8/2019 6:00,0.208
1/8/2019 7:00,0.118
1/8/2019 8:00,0.049
1/8/2019 9:00,0.029
1/8/2019 10:00,0.098
1/8/2019 11:00,0.23
1/8/2019 12:00,0.305
1/8/2019 13:00,0.374
1/8/2019 14:00,0.382
1/8/2019 15:00,0.404
1/8/2019 16:00,0.516
1/8/2019 17:00,0.583
1/8/2019 18:00,0.574
1/8/2019 19:00,0.645
1/8/2019 20:00,0.708
1/8/2019 21:00,0.801
1/8/2019 22:00,0.829
1/8/2019 23:00,0.901
1/9/2019 0:00,0.938
1/9/2019 1:00,0.82
1/9/2019 2:00,0.718
1/9/2019 3:00,0.624
1/9/2019 4:00,0.535
1/9/2019 5:00,0.448
1/9/2019 6:00,0.412
1/9/2019 7:00,0.464
1/9/2019 8:00,0.33
1/9/2019 9:00,0.449
1/9/2019 10:00,0.663
1/9/2019 11:00,0.665
1/9/2019 12:00,0.666
1/9/2019 13:00,0.663
1/9/2019 14:00,0.649
1/9/2019 15:00,0.614
1/9/2019 16:00,0.633
1/9/2019 17:00,0.648
1/9/2019 18:00,0.642
1/9/2019 19:00,0.649
1/9/2019 20:00,0.661
1/9/2019 21:00,0.646
1/9/2019 22:00,0.618
1/9/2019 23:00,0.62
1/10/2019 0:00,0.637
1/10/2019 1:00,0.642
1/10/2019 2:00,0.635
1/10/2019 3:00,0.625
1/10/2019 4:00,0.613
1/10/2019 5:00,0.633
1/10/2019 6:00,0.63
1/10/2019 7:00,0.604
