" ""local_time"": ""America/New_York"""," ""electricity"": ""kW""}"
1/1/2019 0:00,0.26
1/1/2019 1:00,0.298
1/1/2019 2:00,0.263
1/1/2019 3:00,0.337
1/1/2019 4:00,0.311
1/1/2019 5:00,0.27
1/1/2019 6:00,0.248
1/1/2019 7:00,0.244
1/1/2019 8:00,0.102
1/1/2019 9:00,0.055
1/1/2019 10:00,0.128
1/1/2019 11:00,0.137
1/1/2019 12:00,0.124
1/1/2019 13:00,0.112
1/1/2019 14:00,0.1
1/1/2019 15:00,0.085
1/1/2019 16:00,0.061
1/1/2019 17:00,0.13
1/1/2019 18:00,0.214
1/1/2019 19:00,0.179
1/1/2019 20:00,0.157
1/1/2019 21:00,0.14
1/1/2019 22:00,0.118
1/1/2019 23:00,0.101
1/2/2019 0:00,0.089
1/2/2019 1:00,0.075
1/2/2019 2:00,0.057
1/2/2019 3:00,0.041
1/2/2019 4:00,0.022
1/2/2019 5:00,0.008
1/2/2019 6:00,0.003
1/2/2019 7:00,0.002
1/2/2019 8:00,0.003
1/2/2019 9:00,0.003
1/2/2019 10:00,0.024
1/2/2019 11:00,0.033
1/2/2019 12:00,0.035
1/2/2019 13:00,0.033
1/2/2019 14:00,0.025
1/2/2019 15:00,0.026
1/2/2019 16:00,0.025
1/2/2019 17:00,0.054
1/2/2019 18:00,0.136
1/2/2019 19:00,0.185
1/2/2019 20:00,0.169
1/2/2019 21:00,0.148
1/2/2019 22:00,0.108
1/2/2019 23:00,0.061
1/3/2019 0:00,0.084
1/3/2019 1:00,0.148
1/3/2019 2:00,0.259
1/3/2019 3:00,0.278
1/3/2019 4:00,0.284
1/3/2019 5:00,0.284
1/3/2019 6:00,0.283
1/3/2019 7:00,0.312
1/3/2019 8:00,0.293
1/3/2019 9:00,0.189
1/3/2019 10:00,0.131
1/3/2019 11:00,0.143
1/3/2019 12:00,0.148
1/3/2019 13:00,0.121
1/3/2019 14:00,0.089
1/3/2019 15:00,0.07
1/3/2019 16:00,0.061
1/3/2019 17:00,0.172
1/3/2019 18:00,0.254
1/3/2019 19:00,0.212
1/3/2019 20:00,0.203
1/3/2019 21:00,0.201
1/3/2019 22:00,0.207
1/3/2019 23:00,0.251
1/4/2019 0:00,0.218
1/4/2019 1:00,0.225
1/4/2019 2:00,0.256
1/4/2019 3:00,0.251
1/4/2019 4:00,0.266
1/4/2019 5:00,0.278
1/4/2019 6:00,0.297
1/4/2019 7:00,0.334
1/4/2019 8:00,0.378
1/4/2019 9:00,0.347
1/4/2019 10:00,0.491
1/4/2019 11:00,0.598
1/4/2019 12:00,0.35
1/4/2019 13:00,0.311
1/4/2019 14:00,0.459
1/4/2019 15:00,0.566
1/4/2019 16:00,0.586
1/4/2019 17:00,0.55
1/4/2019 18:00,0.518
1/4/2019 19:00,0.532
1/4/2019 20:00,0.538
1/4/2019 21:00,0.481
1/4/2019 22:00,0.473
1/4/2019 23:00,0.417
1/5/2019 0:00,0.332
1/5/2019 1:00,0.261
1/5/2019 2:00,0.201
1/5/2019 3:00,0.182
1/5/2019 4:00,0.2
1/5/2019 5:00,0.233
1/5/2019 6:00,0.224
1/5/2019 7:00,0.168
1/5/2019 8:00,0.238
1/5/2019 9:00,0.238
1/5/2019 10:00,0.191
1/5/2019 11:00,0.186
1/5/2019 12:00,0.199
1/5/2019 13:00,0.206
1/5/2019 14:00,0.193
1/5/2019 15:00,0.177
1/5/2019 16:00,0.13
1/5/2019 17:00,0.201
1/5/2019 18:00,0.337
1/5/2019 19:00,0.403
1/5/2019 20:00,0.399
1/5/2019 21:00,0.366
1/5/2019 22:00,0.313
1/5/2019 23:00,0.302
1/6/2019 0:00,0.352
1/6/2019 1:00,0.294
1/6/2019 2:00,0.241
1/6/2019 3:00,0.201
1/6/2019 4:00,0.196
1/6/2019 5:00,0.173
1/6/2019 6:00,0.17
1/6/2019 7:00,0.122
1/6/2019 8:00,0.011
1/6/2019 9:00,0
1/6/2019 10:00,0
1/6/2019 11:00,0
1/6/2019 12:00,0
1/6/2019 13:00,0
1/6/2019 14:00,0
1/6/2019 15:00,0
1/6/2019 16:00,0
1/6/2019 17:00,0
1/6/2019 18:00,0
1/6/2019 19:00,0
1/6/2019 20:00,0.001
1/6/2019 21:00,0.004
1/6/2019 22:00,0.005
1/6/2019 23:00,0.002
1/7/2019 0:00,0.001
1/7/2019 1:00,0
1/7/2019 2:00,0.001
1/7/2019 3:00,0.005
1/7/2019 4:00,0.018
1/7/2019 5:00,0.05
1/7/2019 6:00,0.106
1/7/2019 7:00,0.17
1/7/2019 8:00,0.089
1/7/2019 9:00,0.002
1/7/2019 10:00,0.001
1/7/2019 11:00,0.034
1/7/2019 12:00,0.071
1/7/2019 13:00,0.071
1/7/2019 14:00,0.033
1/7/2019 15:00,0.017
1/7/2019 16:00,0.014
1/7/2019 17:00,0.009
1/7/2019 18:00,0.006
1/7/2019 19:00,0.005
1/7/2019 20:00,0.006
1/7/2019 21:00,0.013
1/7/2019 22:00,0.023
1/7/2019 23:00,0.035
1/8/2019 0:00,0.075
1/8/2019 1:00,0.104
1/8/2019 2:00,0.045
1/8/2019 3:00,0.005
1/8/2019 4:00,0.011
1/8/2019 5:00,0.022
1/8/2019 6:00,0.01
1/8/2019 7:00,0.001
1/8/2019 8:00,0.004
1/8/2019 9:00,0.001
1/8/2019 10:00,0.02
1/8/2019 11:00,0.041
1/8/2019 12:00,0.033
1/8/2019 13:00,0.025
1/8/2019 14:00,0.022
1/8/2019 15:00,0.019
1/8/2019 16:00,0.023
1/8/2019 17:00,0.099
1/8/2019 18:00,0.242
1/8/2019 19:00,0.344
1/8/2019 20:00,0.361
1/8/2019 21:00,0.305
1/8/2019 22:00,0.3
1/8/2019 23:00,0.305
1/9/2019 0:00,0.336
1/9/2019 1:00,0.411
1/9/2019 2:00,0.432
1/9/2019 3:00,0.341
1/9/2019 4:00,0.352
1/9/2019 5:00,0.364
1/9/2019 6:00,0.342
1/9/2019 7:00,0.313
1/9/2019 8:00,0.196
1/9/2019 9:00,0.367
1/9/2019 10:00,0.374
1/9/2019 11:00,0.344
1/9/2019 12:00,0.349
1/9/2019 13:00,0.394
1/9/2019 14:00,0.426
1/9/2019 15:00,0.41
1/9/2019 16:00,0.346
1/9/2019 17:00,0.474
1/9/2019 18:00,0.59
1/9/2019 19:00,0.539
1/9/2019 20:00,0.513
1/9/2019 21:00,0.494
1/9/2019 22:00,0.398
1/9/2019 23:00,0.338
1/10/2019 0:00,0.313
1/10/2019 1:00,0.302
1/10/2019 2:00,0.294
1/10/2019 3:00,0.291
1/10/2019 4:00,0.282
1/10/2019 5:00,0.283
1/10/2019 6:00,0.278
1/10/2019 7:00,0.277
1/10/2019 8:00,0.171
1/10/2019 9:00,0.371
1/10/2019 10:00,0.325
1/10/2019 11:00,0.251
1/10/2019 12:00,0.2
1/10/2019 13:00,0.192
1/10/2019 14:00,0.196
1/10/2019 15:00,0.19
1/10/2019 16:00,0.14
1/10/2019 17:00,0.196
1/10/2019 18:00,0.283
1/10/2019 19:00,0.297
1/10/2019 20:00,0.291
1/10/2019 21:00,0.306
1/10/2019 22:00,0.328
1/10/2019 23:00,0.308
1/11/2019 0:00,0.251
1/11/2019 1:00,0.2
1/11/2019 2:00,0.162
1/11/2019 3:00,0.13
1/11/2019 4:00,0.102
1/11/2019 5:00,0.073
1/11/2019 6:00,0.059
1/11/2019 7:00,0.059
1/11/2019 8:00,0.015
1/11/2019 9:00,0.003
1/11/2019 10:00,0.058
