Time intervals,d,"(options: h-hours, d-days, w-weeks, m-months)",,
Time,Charlotte,Miami,Boston,Mobile
1,0,0,0,0
2,8771406.474,24655253.56,2431267.263,4685355.209
3,8771406.474,24655253.56,2431267.263,4685355.209
4,8771406.474,24655253.56,2431267.263,4685355.209
5,8771406.474,24655253.56,2431267.263,4685355.209
6,8771406.474,24655253.56,2431267.263,4685355.209
7,8771406.474,24655253.56,2431267.263,4685355.209
8,8771406.474,24655253.56,2431267.263,4685355.209
9,8771406.474,24655253.56,2431267.263,4685355.209
10,8771406.474,24655253.56,2431267.263,4685355.209
11,8771406.474,24655253.56,2431267.263,4685355.209
12,8771406.474,24655253.56,2431267.263,4685355.209
13,8771406.474,24655253.56,2431267.263,4685355.209
14,8771406.474,24655253.56,2431267.263,4685355.209
15,8771406.474,24655253.56,2431267.263,4685355.209
16,8771406.474,24655253.56,2431267.263,4685355.209
17,8771406.474,24655253.56,2431267.263,4685355.209
18,8771406.474,24655253.56,2431267.263,4685355.209
19,8771406.474,24655253.56,2431267.263,4685355.209
20,8771406.474,24655253.56,2431267.263,4685355.209
21,8771406.474,24655253.56,2431267.263,4685355.209
22,8771406.474,24655253.56,2431267.263,4685355.209
23,8771406.474,24655253.56,2431267.263,4685355.209
24,8771406.474,24655253.56,2431267.263,4685355.209
25,8771406.474,24655253.56,2431267.263,4685355.209
26,8771406.474,24655253.56,2431267.263,4685355.209
27,8771406.474,24655253.56,2431267.263,4685355.209
28,8771406.474,24655253.56,2431267.263,4685355.209
29,8771406.474,24655253.56,2431267.263,4685355.209
30,8771406.474,24655253.56,2431267.263,4685355.209
31,8771406.474,24655253.56,2431267.263,4685355.209
32,8771406.474,24655253.56,2431267.263,4685355.209
33,8771406.474,24655253.56,2431267.263,4685355.209
34,8771406.474,24655253.56,2431267.263,4685355.209
35,8771406.474,24655253.56,2431267.263,4685355.209
36,8771406.474,24655253.56,2431267.263,4685355.209
37,8771406.474,24655253.56,2431267.263,4685355.209
38,8771406.474,24655253.56,2431267.263,4685355.209
39,8771406.474,24655253.56,2431267.263,4685355.209
40,8771406.474,24655253.56,2431267.263,4685355.209
41,8771406.474,24655253.56,2431267.263,4685355.209
42,8771406.474,24655253.56,2431267.263,4685355.209
43,8771406.474,24655253.56,2431267.263,4685355.209
44,8771406.474,24655253.56,2431267.263,4685355.209
45,8771406.474,24655253.56,2431267.263,4685355.209
46,8771406.474,24655253.56,2431267.263,4685355.209
47,8771406.474,24655253.56,2431267.263,4685355.209
48,8771406.474,24655253.56,2431267.263,4685355.209
49,8771406.474,24655253.56,2431267.263,4685355.209
50,8771406.474,24655253.56,2431267.263,4685355.209
51,8771406.474,24655253.56,2431267.263,4685355.209
52,8771406.474,24655253.56,2431267.263,4685355.209
53,8771406.474,24655253.56,2431267.263,4685355.209
54,8771406.474,24655253.56,2431267.263,4685355.209
55,8771406.474,24655253.56,2431267.263,4685355.209
56,8771406.474,24655253.56,2431267.263,4685355.209
57,8771406.474,24655253.56,2431267.263,4685355.209
58,8771406.474,24655253.56,2431267.263,4685355.209
59,8771406.474,24655253.56,2431267.263,4685355.209
60,8771406.474,24655253.56,2431267.263,4685355.209
61,8771406.474,24655253.56,2431267.263,4685355.209
62,8771406.474,24655253.56,2431267.263,4685355.209
63,8771406.474,24655253.56,2431267.263,4685355.209
64,8771406.474,24655253.56,2431267.263,4685355.209
65,8771406.474,24655253.56,2431267.263,4685355.209
66,8771406.474,24655253.56,2431267.263,4685355.209
67,8771406.474,24655253.56,2431267.263,4685355.209
68,8771406.474,24655253.56,2431267.263,4685355.209
69,8771406.474,24655253.56,2431267.263,4685355.209
70,8771406.474,24655253.56,2431267.263,4685355.209
71,8771406.474,24655253.56,2431267.263,4685355.209
72,8771406.474,24655253.56,2431267.263,4685355.209
73,8771406.474,24655253.56,2431267.263,4685355.209
74,8771406.474,24655253.56,2431267.263,4685355.209
75,8771406.474,24655253.56,2431267.263,4685355.209
76,8771406.474,24655253.56,2431267.263,4685355.209
77,8771406.474,24655253.56,2431267.263,4685355.209
78,8771406.474,24655253.56,2431267.263,4685355.209
79,8771406.474,24655253.56,2431267.263,4685355.209
80,8771406.474,24655253.56,2431267.263,4685355.209
81,8771406.474,24655253.56,2431267.263,4685355.209
82,8771406.474,24655253.56,2431267.263,4685355.209
83,8771406.474,24655253.56,2431267.263,4685355.209
84,8771406.474,24655253.56,2431267.263,4685355.209
85,8771406.474,24655253.56,2431267.263,4685355.209
86,8771406.474,24655253.56,2431267.263,4685355.209
87,8771406.474,24655253.56,2431267.263,4685355.209
88,8771406.474,24655253.56,2431267.263,4685355.209
89,8771406.474,24655253.56,2431267.263,4685355.209
90,8771406.474,24655253.56,2431267.263,4685355.209
91,8771406.474,24655253.56,2431267.263,4685355.209
92,8771406.474,24655253.56,2431267.263,4685355.209
93,8771406.474,24655253.56,2431267.263,4685355.209
94,8771406.474,24655253.56,2431267.263,4685355.209
95,8771406.474,24655253.56,2431267.263,4685355.209
96,8771406.474,24655253.56,2431267.263,4685355.209
97,8771406.474,24655253.56,2431267.263,4685355.209
98,8771406.474,24655253.56,2431267.263,4685355.209
99,8771406.474,24655253.56,2431267.263,4685355.209
100,8771406.474,24655253.56,2431267.263,4685355.209
101,8771406.474,24655253.56,2431267.263,4685355.209
102,8771406.474,24655253.56,2431267.263,4685355.209
103,8771406.474,24655253.56,2431267.263,4685355.209
104,8771406.474,24655253.56,2431267.263,4685355.209
105,8771406.474,24655253.56,2431267.263,4685355.209
106,8771406.474,24655253.56,2431267.263,4685355.209
107,8771406.474,24655253.56,2431267.263,4685355.209
108,8771406.474,24655253.56,2431267.263,4685355.209
109,8771406.474,24655253.56,2431267.263,4685355.209
110,8771406.474,24655253.56,2431267.263,4685355.209
111,8771406.474,24655253.56,2431267.263,4685355.209
112,8771406.474,24655253.56,2431267.263,4685355.209
113,8771406.474,24655253.56,2431267.263,4685355.209
114,8771406.474,24655253.56,2431267.263,4685355.209
115,8771406.474,24655253.56,2431267.263,4685355.209
116,8771406.474,24655253.56,2431267.263,4685355.209
117,8771406.474,24655253.56,2431267.263,4685355.209
118,8771406.474,24655253.56,2431267.263,4685355.209
119,8771406.474,24655253.56,2431267.263,4685355.209
120,8771406.474,24655253.56,2431267.263,4685355.209
121,8771406.474,24655253.56,2431267.263,4685355.209
122,8771406.474,24655253.56,2431267.263,4685355.209
123,8771406.474,24655253.56,2431267.263,4685355.209
124,8771406.474,24655253.56,2431267.263,4685355.209
125,8771406.474,24655253.56,2431267.263,4685355.209
126,8771406.474,24655253.56,2431267.263,4685355.209
127,8771406.474,24655253.56,2431267.263,4685355.209
128,8771406.474,24655253.56,2431267.263,4685355.209
