Time intervals,w,"(options: h-hours, d-days, w-weeks, m-months)"
Time,Charlotte,
1,250000,
2,250000,
3,250000,
4,250000,
5,250000,
6,250000,
7,250000,
8,250000,
9,250000,
10,250000,
11,250000,
12,250000,
13,250000,
14,250000,
15,250000,
16,250000,
17,250000,
18,250000,
19,250000,
20,250000,
21,250000,
22,250000,
23,250000,
24,250000,
25,250000,
26,250000,
27,250000,
28,250000,
29,250000,
30,250000,
31,250000,
32,250000,
33,250000,
34,250000,
35,250000,
36,250000,
37,250000,
38,250000,
39,250000,
40,250000,
41,250000,
42,250000,
43,250000,
44,250000,
45,250000,
46,250000,
47,250000,
48,250000,
49,250000,
50,250000,
51,250000,
52,250000,
