City,Lat,Lon,Population
Atlanta,33.7488,84.3877,499127
Baltimore,39.2904,76.6122,556723
Boston,42.3601,71.0589,667120
Charlotte,35.2271,80.8431,920325
Columbus,32.461,84.9877,202616
DC,38.9072,77.0369,672738
Jacksonville,30.3322,81.6557,971319
Miami,25.7617,80.1918,449514
Mobile,30.6954,88.0399,179967
Montgomery,32.3792,86.3077,196986
NewYork,40.7128,74.006,8804190
Orlando,28.5383,81.3792,316081
PalmBeach,26.7144,80.055,9251
Philadelphia,39.9526,75.1652,1533916
Raleigh,35.7796,78.6382,488854
Richmond,37.5407,77.4361,231782
Savannah,32.0809,81.0912,148004
Tallahassee,30.4383,84.2807,201731
Tampa,27.9506,82.4572,398173
