City,Lat,Lon,Population
Savannah,32.0809,81.0912,148004
Atlanta,33.7488,84.3877,499127
Chattanooga,35.0458,85.3094,184086
Birmingham,33.5186,86.8104,196910
Nashville,36.1627,86.7816,683622
Charlotte,35.2271,80.8431,920325
Knoxville,35.9606,83.9207,195889
Boston,42.3601,71.0589,667120
New York,40.7128,74.006,8804190
Philadelphia,39.9526,75.1652,1533916
Baltimore,39.2904,76.6122,556723
Washington DC,38.9072,77.0369,672738
Richmond,37.5407,77.4361,231782
Raleigh,35.7796,78.6382,488854
Palm Beach,26.7144,80.055,9251
Miami,25.7617,80.1918,449514
Tampa,27.9506,82.4572,398173
Orlando,28.5383,81.3792,316081
Tallahassee,30.4383,84.2807,201731
Jacksonville,30.3322,81.6557,971319
Columbus,32.461,84.9877,202616
Montgomery,32.3792,86.3077,196986
Mobile,30.6954,88.0399,179967
Jackson,32.2988,90.1848,138998
Huntsville,34.7304,86.5861,227522
New Orleans,29.9511,90.0715,356280
Memphis,35.1495,90.049,610944
Little Rock,34.7465,92.2896,203106
Shreveport,32.5252,93.7502,327012
